城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
房山,阎村,160,29,450,24788元/平米,绿城百合公寓叠翠苑,4室2厅1厨3卫,顶层 (共5层),181.54㎡,暂无数据,165.18㎡,暂无数据,南 北,钢混结构,简装,一梯两户,自供暖,无,70年,null,null,null,2017-04-25,商品房,2008-11-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
房山,阎村,108,33,295,32741元/平米,天恒乐活城,2室2厅1厨1卫,低楼层 (共20层),90.1㎡,暂无数据,70.33㎡,板塔结合,南,钢混结构,精装,两梯五户,自供暖,有,70年,null,null,null,2017-05-04,商品房,2012-01-19,普通住宅,满五年,非共有,有抵押 70万元 工商银行 客户偿还,已上传房本照片,4,null
房山,阎村,226,79,549,32845元/平米,天恒乐活城,4室1厅1厨4卫,顶层 (共3层),167.15㎡,跃层,153.36㎡,板楼,南 北,钢混结构,简装,一梯两户,自供暖,无,70年,null,null,null,2017-03-15,商品房,2011-07-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
房山,阎村,7,1,530,35544元/平米,绿城百合公寓叠翠苑,3室2厅1厨2卫,中楼层 (共11层),149.11㎡,暂无数据,126.14㎡,暂无数据,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-09-01,商品房,2008-11-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
房山,阎村,54,21,305,34549元/平米,天恒乐活城,2室2厅1厨1卫,高楼层 (共18层),88.28㎡,暂无数据,72.4㎡,板塔结合,南,钢混结构,精装,两梯五户,自供暖,有,70年,null,null,null,2017-07-28,商品房,2011-09-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
房山,阎村,96,83,299,33318元/平米,天恒乐活城,2室2厅1厨1卫,中楼层 (共18层),89.74㎡,暂无数据,71.46㎡,塔楼,南,钢混结构,精装,两梯五户,自供暖,有,70年,null,null,null,2017-05-06,商品房,2013-01-24,普通住宅,满两年,共有,无抵押,已上传房本照片,8,null
房山,阎村,82,46,450,34391元/平米,绿城百合公寓天风苑,3室2厅1厨2卫,低楼层 (共11层),130.85㎡,平层,110.52㎡,板塔结合,南 北,钢混结构,精装,一梯两户,自供暖,有,未知,null,null,null,2017-03-19,私产,2008-09-28,普通住宅,满五年,非共有,有抵押,已上传房本照片,0,null
房山,阎村,38,31,520,28064元/平米,绿城百合公寓玉泉苑,4室2厅1厨2卫,高楼层 (共19层),185.29㎡,暂无数据,155.17㎡,暂无数据,南 北,钢混结构,毛坯,两梯两户,自供暖,有,40年,null,null,null,2017-07-29,商品房,2012-11-15,普通住宅,满两年,非共有,无抵押,已上传房本照片,0,null
房山,阎村,196,99,290,32409元/平米,天恒乐活城,2室1厅1厨1卫,高楼层 (共11层),89.48㎡,平层,72.14㎡,板塔结合,南,钢混结构,精装,一梯三户,自供暖,有,70年,null,null,null,2017-01-08,商品房,2015-07-22,普通住宅,满两年,非共有,有抵押 50万元 建行 客户偿还,已上传房本照片,7,null
房山,阎村,28,4,460,22272元/平米,绿城百合公寓桂雨苑,5室3厅1厨3卫,高楼层 (共6层),206.54㎡,暂无数据,186.41㎡,板楼,南 北,混合结构,毛坯,一梯两户,自供暖,无,70年,null,null,null,2017-09-01,商品房,2015-05-29,普通住宅,满两年,非共有,无抵押,已上传房本照片,1,null
房山,阎村,39,20,525,30181元/平米,天恒乐活城,3室2厅1厨2卫,中楼层 (共4层),173.95㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,精装,一梯四户,自供暖,无,70年,null,null,null,2017-07-19,商品房,2014-09-18,普通住宅,满两年,非共有,无抵押,已上传房本照片,1,null
