城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
昌平,东关,102,43,265,41844元/平米,东关北里小区,2室1厅1厨1卫,低楼层 (共6层),63.33㎡,暂无数据,暂无数据,板楼,东 西,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-06-09,商品房,2011-12-27,普通住宅,满五年,非共有,有抵押 30万元 中国农业银行 业主自还,已上传房本照片,4,null
昌平,东关,26,22,399,46699元/平米,金隅观澜时代,2室1厅1厨1卫,中楼层 (共21层),85.44㎡,平层,65.98㎡,板楼,南,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-07-05,商品房,2015-02-05,普通住宅,满两年,非共有,无抵押,已上传房本照片,9,null
昌平,东关,31,19,395,46465元/平米,金隅观澜时代,2室1厅1厨1卫,低楼层 (共21层),85.01㎡,暂无数据,63.19㎡,板楼,南,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-07-26,商品房,2014-07-29,普通住宅,满两年,共有,无抵押,已上传房本照片,13,null
昌平,东关,82,20,747,54951元/平米,果岭小镇,3室2厅1厨2卫,底层 (共4层),135.94㎡,暂无数据,118.01㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-04-16,私产,2009-02-23,普通住宅,满五年,非共有,有抵押 25万元 银行 业主自还,已上传房本照片,2,null
昌平,东关,19,3,745,50267元/平米,果岭小镇,3室2厅1厨2卫,底层 (共4层),148.21㎡,暂无数据,129.48㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-16,商品房,2011-01-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
昌平,东关,191,22,830,38894元/平米,富泉花园,4室2厅1厨3卫,顶层 (共6层),213.4㎡,暂无数据,187.96㎡,板楼,南 北,砖混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2016-12-10,商品房,2006-04-20,普通住宅,满五年,共有,无抵押,已上传房本照片,0,null
昌平,东关,24,6,650,34176元/平米,宁馨苑,4室2厅1厨2卫,中楼层 (共6层),190.19㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-21,一类经济适用房,2003-06-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
昌平,东关,35,6,335,43484元/平米,昌盛园一区,2室1厅1厨1卫,高楼层 (共6层),77.04㎡,暂无数据,77.04㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-16,私产,2004-08-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
昌平,东关,6,1,395,34667元/平米,水关新村,3室1厅1厨1卫,底层 (共6层),113.94㎡,暂无数据,暂无数据,板楼,东 西,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-09-05,已购公房,2006-06-09,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
昌平,东关,54,46,277,45151元/平米,水关新村,2室1厅1厨1卫,高楼层 (共6层),61.35㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-04-23,商品房,2012-07-25,普通住宅,满五年,非共有,有抵押 28万元 中国农业银行 客户偿还,已上传房本照片,10,null
