城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
昌平,南口,90,28,168,30882元/平米,南厂住宅西区,2室1厅1厨1卫,高楼层 (共6层),54.4㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,暂无数据,暂无数据,70年,null,null,null,2017-08-16,已购公房,1993-03-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,12,null
昌平,南口,185,47,160,31311元/平米,南厂东区,2室1厅1厨1卫,中楼层 (共5层),51.1㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯一户,暂无数据,暂无数据,70年,null,null,null,2017-06-24,私产,2004-04-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
昌平,南口,438,114,160,33970元/平米,南厂北区,2室1厅1厨1卫,中楼层 (共5层),47.1㎡,平层,暂无数据,暂无数据,南 北,钢结构,精装,一梯三户,暂无数据,暂无数据,70年,null,null,null,2017-03-17,已购公房,1993-03-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
昌平,南口,26,3,265,28553元/平米,丰景高苑,2室1厅1厨1卫,中楼层 (共6层),92.81㎡,暂无数据,82.33㎡,板楼,南 北,混合结构,简装,一梯两户,暂无数据,暂无数据,70年,null,null,null,2017-08-19,私产,2003-10-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
昌平,南口,67,5,152,31405元/平米,南厂住宅中区,2室1厅1厨1卫,中楼层 (共5层),48.4㎡,暂无数据,48㎡,暂无数据,南,混合结构,简装,一梯三户,暂无数据,暂无数据,70年,null,null,null,2017-09-01,已购公房,2010-03-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
昌平,南口,84,8,232,27841元/平米,鹿牌家园小区,3室1厅1厨1卫,中楼层 (共6层),83.33㎡,暂无数据,83.33㎡,板楼,南 北,混合结构,精装,一梯三户,暂无数据,暂无数据,70年,null,null,null,2017-07-29,已购公房,1999-03-09,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
昌平,南口,33,15,210,37037元/平米,南厂住宅西区,2室1厅1厨1卫,底层 (共6层),56.7㎡,暂无数据,56㎡,暂无数据,南 北,混合结构,简装,一梯两户,暂无数据,暂无数据,70年,null,null,null,2017-07-02,已购公房,1993-03-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
昌平,南口,120,45,175,30864元/平米,南厂住宅西区,2室1厅1厨1卫,中楼层 (共6层),56.7㎡,暂无数据,暂无数据,暂无数据,南 北,混合结构,简装,一梯一户,暂无数据,暂无数据,70年,null,null,null,2017-07-17,已购公房,1992-12-31,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
昌平,南口,16,0,210,30914元/平米,供电局家属楼,3室1厅1厨1卫,中楼层 (共6层),67.93㎡,暂无数据,暂无数据,暂无数据,东 西,混合结构,简装,一梯一户,集中供暖,暂无数据,70年,null,null,null,2017-09-03,已购公房,2005-04-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
昌平,南口,28,1,290,29409元/平米,玉龙嘉苑,2室1厅1厨1卫,中楼层 (共6层),98.61㎡,暂无数据,85.35㎡,板楼,南 北,混合结构,精装,一梯两户,暂无数据,暂无数据,40年,null,null,null,2017-08-25,商品房,2010-11-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
