城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
昌平,回龙观,259,202,415,57807元/平米,流星花园三区,1室1厅1厨1卫,顶层 (共6层),71.79㎡,平层,60.7㎡,板楼,南,混合结构,精装,一梯三户,自供暖,有,70年,null,null,null,2017-06-05,商品房,2012-04-12,普通住宅,满五年,共有,有抵押 65万元,已上传房本照片,0,距离13号线回龙观站731米
昌平,回龙观,154,130,410,42246元/平米,天露园二区,2室2厅1厨1卫,顶层 (共6层),97.05㎡,暂无数据,88.29㎡,板楼,南 北,混合结构,精装,一梯两户,自供暖,无,70年,null,null,null,2017-07-03,一类经济适用房,2010-01-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,16,null
昌平,回龙观,145,107,455,42892元/平米,三合庄园,3室2厅1厨2卫,顶层 (共5层),106.08㎡,平层,94.28㎡,板楼,南 北,混合结构,简装,一梯两户,自供暖,无,70年,null,null,null,2017-07-03,商品房,2010-04-26,普通住宅,满五年,非共有,有抵押 80万元 工商银行 业主自还,已上传房本照片,24,null
昌平,回龙观,41,29,390,55406元/平米,慧华苑,2室1厅1厨1卫,中楼层 (共6层),70.39㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-24,商品房,2009-03-31,普通住宅,满五年,非共有,无抵押,已上传房本照片,11,null
昌平,回龙观,79,54,515,51081元/平米,流星花园三区,2室1厅1厨1卫,底层 (共6层),100.82㎡,暂无数据,86.66㎡,板楼,南 北,混合结构,精装,一梯三户,自供暖,有,70年,null,null,null,2017-07-21,商品房,2009-09-15,普通住宅,满五年,非共有,有抵押 60万元 农业银行 业主自还,已上传房本照片,15,null
昌平,回龙观,54,74,525,44062元/平米,龙腾苑三区,3室1厅1厨1卫,中楼层 (共6层),119.15㎡,暂无数据,107.11㎡,板楼,南 北,混合结构,简装,一梯两户,自供暖,无,70年,null,null,null,2017-07-17,一类经济适用房,2003-04-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
昌平,回龙观,243,60,389,44930元/平米,龙兴园北区,2室2厅1厨1卫,顶层 (共6层),86.58㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-18,商品房,2011-06-16,普通住宅,满五年,非共有,暂无数据,已上传房本照片,6,null
昌平,回龙观,142,54,450,47579元/平米,北京人家,2室1厅1厨1卫,高楼层 (共6层),94.58㎡,平层,82.73㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-05-19,商品房,2012-09-11,普通住宅,满五年,共有,无抵押,已上传房本照片,22,null
昌平,回龙观,26,88,585,46147元/平米,龙回苑,3室1厅1厨2卫,低楼层 (共7层),126.77㎡,暂无数据,115.61㎡,板楼,南 北,混合结构,精装,一梯两户,自供暖,无,70年,null,null,null,2017-07-13,一类经济适用房,2005-06-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,16,null
昌平,回龙观,84,95,475,63878元/平米,矩阵三期,2室1厅1厨1卫,中楼层 (共10层),74.36㎡,暂无数据,63.44㎡,板楼,东 南 北,钢混结构,简装,一梯三户,自供暖,有,70年,null,null,null,2017-06-24,商品房,2009-10-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,21,null
昌平,回龙观,115,33,535,52323元/平米,新龙城,2室1厅1厨2卫,中楼层 (共20层),102.25㎡,平层,87.12㎡,板塔结合,南 北,钢混结构,精装,两梯六户,自供暖,有,70年,null,null,null,2017-07-13,商品房,2008-09-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,19,null
昌平,回龙观,81,26,700,43282元/平米,龙腾苑三区,4室2厅1厨2卫,中楼层 (共6层),161.73㎡,平层,暂无数据,板楼,南 北,砖混结构,精装,一梯两户,自供暖,无,70年,null,null,null,2017-02-18,一类经济适用房,2003-05-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
昌平,回龙观,93,51,625,57297元/平米,新龙城,3室2厅1厨2卫,中楼层 (共11层),109.08㎡,暂无数据,92.9㎡,板楼,南 北,钢混结构,精装,一梯三户,自供暖,有,70年,null,null,null,2017-08-06,商品房,2012-08-28,普通住宅,满五年,共有,无抵押,已上传房本照片,13,null
昌平,回龙观,172,118,580,58985元/平米,新龙城,2室1厅1厨1卫,高楼层 (共12层),98.33㎡,平层,78.22㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-05-10,商品房,2008-08-26,普通住宅,满五年,非共有,有抵押 223万元 招商银行 客户偿还,已上传房本照片,0,null
昌平,回龙观,121,150,505,49510元/平米,龙博苑一区,3室1厅1厨1卫,中楼层 (共6层),102㎡,暂无数据,91.08㎡,板楼,南 北,混合结构,精装,一梯两户,自供暖,无,70年,null,null,null,2017-06-26,商品房,2012-07-31,普通住宅,满五年,共有,无抵押,已上传房本照片,0,null
昌平,回龙观,43,36,545,48857元/平米,龙泽苑西区,3室1厅1厨1卫,高楼层 (共22层),111.55㎡,暂无数据,93.33㎡,板塔结合,东南,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-06-02,商品房,2012-02-21,普通住宅,满五年,共有,无抵押,已上传房本照片,10,null
昌平,回龙观,57,25,405,47098元/平米,云趣园一区,2室1厅1厨1卫,顶层 (共6层),85.99㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯两户,自供暖,无,70年,null,null,null,2017-08-09,私产,2000-12-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,11,null
昌平,回龙观,83,29,399,50019元/平米,龙博苑二区,2室1厅1厨1卫,中楼层 (共6层),79.77㎡,暂无数据,70.5㎡,板楼,南 北,混合结构,其他,一梯三户,自供暖,无,70年,null,null,null,2017-07-28,一类经济适用房,2006-10-08,普通住宅,满五年,非共有,暂无数据,已上传房本照片,6,null
昌平,回龙观,115,39,399,49351元/平米,龙华园,2室1厅1厨1卫,高楼层 (共6层),80.85㎡,暂无数据,80.85㎡,板楼,东 西,混合结构,其他,一梯两户,集中供暖,无,70年,null,null,null,2017-08-01,私产,2007-05-28,普通住宅,满五年,非共有,暂无数据,已上传房本照片,5,null
昌平,回龙观,112,26,335,56454元/平米,龙华园,1室1厅1厨1卫,高楼层 (共6层),59.34㎡,暂无数据,暂无数据,板楼,东 南,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-19,商品房,2012-05-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
昌平,回龙观,43,30,520,57977元/平米,首开智慧社,2室1厅1厨1卫,中楼层 (共21层),89.69㎡,平层,66.52㎡,板塔结合,东南,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-08-13,商品房,2014-03-18,普通住宅,满两年,非共有,无抵押,已上传房本照片,6,null
