城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
昌平,天通苑,352,89,550,24562元/平米,天通苑东二区,4室3厅1厨3卫,高楼层 (共7层),223.92㎡,暂无数据,195.21㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-04-19,一类经济适用房,2003-07-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,距离5号线天通苑南站715米
昌平,天通苑,80,34,640,43407元/平米,天通苑中苑,3室1厅1厨2卫,高楼层 (共10层),147.44㎡,平层,130.14㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-08-31,商品房,2010-11-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,20,null
昌平,天通苑,292,108,380,34442元/平米,天通苑东二区,2室1厅1厨2卫,中楼层 (共7层),110.33㎡,平层,90.03㎡,板楼,东 西,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-17,一类经济适用房,2005-11-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,11,null
昌平,天通苑,113,75,570,34743元/平米,天通西苑三区,3室2厅1厨2卫,中楼层 (共13层),164.06㎡,暂无数据,146.29㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-06-28,商品房,2009-08-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
昌平,天通苑,138,74,739,47360元/平米,天通苑中苑,3室2厅1厨2卫,底层 (共10层),156.04㎡,暂无数据,136.73㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-05-12,商品房,2009-08-12,普通住宅,满五年,非共有,有抵押 360万元 广发 客户偿还,已上传房本照片,14,null
昌平,天通苑,104,15,620,24700元/平米,天通苑北三区,6室3厅1厨3卫,高楼层 (共7层),251.01㎡,暂无数据,227.05㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-31,商品房,2011-10-14,普通住宅,满五年,非共有,有抵押 200万元 邮政 客户偿还,已上传房本照片,11,null
昌平,天通苑,27,33,421,37316元/平米,天通苑北三区,2室2厅1厨2卫,中楼层 (共7层),112.82㎡,暂无数据,100.4㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-08,一类经济适用房,2007-11-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,16,null
昌平,天通苑,156,136,500,37177元/平米,天通苑东三区,3室1厅1厨2卫,低楼层 (共7层),134.49㎡,平层,109.25㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-02-26,一类经济适用房,2003-08-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,10,null
昌平,天通苑,196,46,320,51705元/平米,天通西苑二区,1室1厅1厨1卫,低楼层 (共13层),61.89㎡,暂无数据,54.46㎡,板楼,南,钢混结构,精装,一梯四户,集中供暖,有,70年,null,null,null,2017-08-19,商品房,2012-04-10,普通住宅,满五年,共有,无抵押,已上传房本照片,13,null
昌平,天通苑,28,17,395,41999元/平米,天通苑北一区,2室1厅1厨1卫,高楼层 (共28层),94.05㎡,暂无数据,79.94㎡,塔楼,南,钢混结构,精装,三梯十户,集中供暖,有,70年,null,null,null,2017-09-01,一类经济适用房,2005-11-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,12,null
昌平,天通苑,42,13,505,37338元/平米,天通苑东一区,3室2厅1厨2卫,中楼层 (共6层),135.25㎡,平层,113.94㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-30,商品房,2009-11-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
昌平,天通苑,83,10,558,32950元/平米,天通苑东三区,3室2厅1厨2卫,顶层 (共6层),169.35㎡,暂无数据,155.46㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-24,私产,2008-11-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
昌平,天通苑,139,78,398,40105元/平米,天通苑北一区,2室1厅1厨1卫,高楼层 (共28层),99.24㎡,平层,84.35㎡,塔楼,西北,钢混结构,简装,三梯十户,集中供暖,有,70年,null,null,null,2017-07-10,商品房,2010-07-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,19,null
昌平,天通苑,344,81,481,25781元/平米,天通苑东一区,4室2厅1厨2卫,顶层 (共6层),186.57㎡,暂无数据,161.56㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-27,一类经济适用房,2002-08-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
昌平,天通苑,63,37,360,47182元/平米,天通苑东一区,2室1厅1厨1卫,低楼层 (共6层),76.3㎡,平层,61.2㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-03,一类经济适用房,2002-09-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,14,null
昌平,天通苑,144,34,368,41186元/平米,天通苑东三区,2室1厅1厨1卫,高楼层 (共6层),89.35㎡,平层,71.66㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-02-27,一类经济适用房,2003-08-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
昌平,天通苑,82,89,550,33619元/平米,天通西苑三区,3室1厅1厨2卫,中楼层 (共14层),163.6㎡,平层,131.06㎡,板塔结合,南 北,混合结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-05-14,一类经济适用房,2003-12-01,普通住宅,满五年,非共有,暂无数据,已上传房本照片,0,null
昌平,天通苑,173,63,390,42035元/平米,天通西苑三区,2室1厅1厨1卫,高楼层 (共32层),92.78㎡,平层,78.96㎡,塔楼,西南,混合结构,精装,三梯八户,集中供暖,有,70年,null,null,null,2017-07-09,商品房,2009-12-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
昌平,天通苑,74,23,398,48906元/平米,天通苑本五区,2室1厅1厨1卫,中楼层 (共7层),81.38㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-10,已购公房,2004-06-15,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
