城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
昌平,奥林匹克公园,49,66,1200,104121元/平米,京师园,3室1厅1厨2卫,低楼层 (共21层),115.25㎡,暂无数据,91.58㎡,板塔结合,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-06-09,私产,2008-01-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,20,距离8号线林萃桥站56米
昌平,奥林匹克公园,132,32,1500,86187元/平米,世茂奥临花园,3室2厅1厨2卫,中楼层 (共27层),174.04㎡,平层,137.38㎡,板塔结合,南 北,钢混结构,精装,两梯三户,集中供暖,有,70年,null,null,null,2017-05-24,商品房,2007-10-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,14,null
昌平,奥林匹克公园,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
昌平,奥林匹克公园,96,107,1800,110220元/平米,上林世家,3室2厅1厨3卫,低楼层 (共18层),163.31㎡,暂无数据,128.03㎡,板楼,南 北,钢混结构,毛坯,两梯两户,集中供暖,有,70年,null,null,null,2017-06-02,商品房,2014-12-09,普通住宅,满两年,非共有,无抵押,已上传房本照片,0,null
昌平,奥林匹克公园,62,13,1260,93548元/平米,澳林春天三期,3室2厅1厨2卫,高楼层 (共6层),134.69㎡,暂无数据,123.94㎡,板楼,南 北,混合结构,精装,一梯两户,自供暖,无,70年,null,null,null,2017-07-23,私产,2004-06-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
昌平,奥林匹克公园,105,269,1600,107081元/平米,澳林春天四期,3室2厅1厨2卫,底层 (共12层),149.42㎡,平层,131.39㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-04-04,私产,2007-10-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
昌平,奥林匹克公园,131,45,985,71814元/平米,学士居,3室2厅1厨2卫,顶层 (共5层),137.16㎡,暂无数据,117.64㎡,板楼,南 北,钢混结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-06-16,私产,2007-05-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
昌平,奥林匹克公园,45,123,950,74921元/平米,澳林春天二期,2室1厅1厨2卫,底层 (共24层),126.8㎡,暂无数据,104.22㎡,塔楼,东南,钢混结构,精装,三梯八户,集中供暖,有,70年,null,null,null,2017-03-14,私产,2003-07-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
昌平,奥林匹克公园,16,5,1680,129710元/平米,国奥村,2室2厅1厨2卫,高楼层 (共6层),129.52㎡,暂无数据,102.1㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-08-30,商品房,2010-03-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
昌平,奥林匹克公园,177,152,2950,121454元/平米,国奥村,4室2厅1厨4卫,低楼层 (共9层),242.89㎡,平层,202.95㎡,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,70年,null,null,null,2016-12-01,商品房,2011-05-23,普通住宅,满五年,非共有,有抵押 350万元 中信银行 客户偿还,已上传房本照片,0,null
昌平,奥林匹克公园,54,38,1250,95456元/平米,融域嘉园,3室1厅1厨2卫,底层 (共15层),130.95㎡,暂无数据,107.77㎡,板楼,南 北,钢混结构,精装,一梯一户,自供暖,有,70年,null,null,null,2017-08-09,商品房,2017-04-18,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,16,null
昌平,奥林匹克公园,33,16,1198,97629元/平米,澳景花庭,3室2厅1厨2卫,高楼层 (共11层),122.71㎡,暂无数据,102.4㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-08-21,私产,2008-08-13,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
昌平,奥林匹克公园,88,75,1330,100987元/平米,融域嘉园,3室2厅1厨2卫,中楼层 (共15层),131.7㎡,暂无数据,108㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-04-24,私产,2008-01-30,普通住宅,满五年,非共有,有抵押 50万元 交通银行 客户偿还,已上传房本照片,6,null
昌平,奥林匹克公园,38,59,760,74081元/平米,裕瑞轩,2室1厅1厨1卫,低楼层 (共15层),102.59㎡,暂无数据,85.24㎡,板塔结合,东,钢混结构,简装,一梯四户,集中供暖,有,70年,null,null,null,2017-06-14,私产,2004-01-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
昌平,奥林匹克公园,77,37,1270,102859元/平米,澳景花庭,3室1厅1厨2卫,低楼层 (共11层),123.47㎡,暂无数据,103.03㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-02-06,商品房,2012-05-11,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
昌平,奥林匹克公园,17,12,520,80037元/平米,林萃路10号院,2室1厅1厨1卫,底层 (共6层),64.97㎡,暂无数据,64.97㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-30,商品房,2010-03-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
昌平,奥林匹克公园,372,33,1490,80746元/平米,澳林春天三期,5室2厅1厨3卫,顶层 (共6层),184.53㎡,Loft,166.26㎡,板楼,东 南 北,钢混结构,精装,一梯两户,自供暖,无,70年,null,null,null,2017-02-19,商品房,2004-06-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
昌平,奥林匹克公园,43,5,948,101968元/平米,京师园,2室1厅1厨1卫,中楼层 (共23层),92.97㎡,暂无数据,74.47㎡,塔楼,西南,钢混结构,简装,两梯四户,集中供暖,有,70年,null,null,null,2017-08-30,私产,2008-03-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
昌平,奥林匹克公园,100,98,880,76568元/平米,裕瑞轩,3室1厅1厨1卫,高楼层 (共15层),114.93㎡,暂无数据,95.49㎡,板塔结合,东 西,钢混结构,简装,一梯四户,集中供暖,有,70年,null,null,null,2017-05-26,私产,2004-08-09,普通住宅,满五年,非共有,有抵押 240万元 北京银行 业主自还,已上传房本照片,3,null
昌平,奥林匹克公园,188,209,2700,121863元/平米,国奥村,3室2厅1厨3卫,中楼层 (共9层),221.56㎡,暂无数据,181.04㎡,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,70年,null,null,null,2016-03-21,商品房,2011-05-23,普通住宅,满五年,非共有,暂无数据,已上传房本照片,0,null
昌平,奥林匹克公园,37,42,1100,100392元/平米,融域嘉园,2室2厅1厨2卫,中楼层 (共15层),109.57㎡,平层,90.17㎡,板楼,南 北,钢混结构,其他,一梯两户,自供暖,有,70年,null,null,null,2017-05-15,私产,2008-03-12,普通住宅,满五年,非共有,暂无数据,已上传房本照片,2,null
昌平,奥林匹克公园,31,124,2700,140391元/平米,国奥村,3室1厅1厨3卫,底层 (共9层),192.32㎡,平层,160.57㎡,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,70年,null,null,null,2017-04-13,商品房,2012-11-26,普通住宅,满两年,非共有,无抵押,已上传房本照片,5,null
昌平,奥林匹克公园,5,0,688,83770元/平米,畅清园,2室2厅1厨1卫,中楼层 (共7层),82.13㎡,暂无数据,70.98㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-09-09,私产,2002-10-31,普通住宅,满五年,共有,无抵押,已上传房本照片,0,null
昌平,奥林匹克公园,26,19,1290,89633元/平米,澳景花庭,3室2厅1厨2卫,中楼层 (共11层),143.92㎡,暂无数据,120.1㎡,板楼,南 西 北,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-07-27,商品房,2009-05-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
昌平,奥林匹克公园,59,13,880,71376元/平米,世纪龙祥嘉园,3室2厅1厨2卫,高楼层 (共15层),123.29㎡,暂无数据,104.4㎡,板楼,南 北,钢混结构,简装,两梯四户,自供暖,有,70年,null,null,null,2017-08-11,商品房,2011-03-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,10,null
昌平,奥林匹克公园,66,3,2620,128564元/平米,国奥村,3室2厅1厨3卫,高楼层 (共9层),203.79㎡,平层,168.12㎡,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,70年,null,null,null,2017-04-29,商品房,2010-03-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
昌平,奥林匹克公园,206,22,1330,94939元/平米,澳林春天三期,3室2厅1厨2卫,中楼层 (共6层),140.09㎡,平层,122.48㎡,板楼,南 北,混合结构,精装,一梯两户,自供暖,无,70年,null,null,null,2017-02-26,商品房,2004-06-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
昌平,奥林匹克公园,14,1,610,67004元/平米,世纪龙祥嘉园,2室1厅1厨1卫,高楼层 (共11层),91.04㎡,平层,76.86㎡,板楼,西南,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-09-04,私产,2004-05-14,普通住宅,满五年,非共有,暂无数据,已上传房本照片,1,null
昌平,奥林匹克公园,8,4,602,84908元/平米,澳林春天五期,1室1厅1厨1卫,中楼层 (共24层),70.9㎡,暂无数据,56.78㎡,塔楼,东,钢混结构,精装,四梯十二户,集中供暖,有,70年,null,null,null,2017-09-03,私产,2006-08-09,普通住宅,满五年,共有,无抵押,已上传房本照片,2,null
昌平,奥林匹克公园,69,29,874,73016元/平米,澳林春天五期,2室2厅1厨2卫,低楼层 (共24层),119.7㎡,暂无数据,96.34㎡,塔楼,南,钢混结构,精装,四梯十二户,集中供暖,有,70年,null,null,null,2017-07-11,私产,2006-06-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
昌平,奥林匹克公园,430,27,629,86651元/平米,畅清园,3室2厅1厨1卫,顶层 (共7层),72.59㎡,暂无数据,63.13㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-03-19,商品房,2011-04-13,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
昌平,奥林匹克公园,41,7,2450,105114元/平米,倚林佳园,5室2厅1厨4卫,顶层 (共3层),233.08㎡,暂无数据,220.48㎡,暂无数据,南 北,钢混结构,其他,一梯两户,集中供暖,无,70年,null,null,null,2017-08-08,私产,2003-03-07,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
昌平,奥林匹克公园,46,76,580,76226元/平米,澳景花庭,1室1厅1厨1卫,中楼层 (共13层),76.09㎡,平层,62.99㎡,板楼,东 西,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-03-15,商品房,2009-04-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
