城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
昌平,小汤山,34,13,650,45608元/平米,汤HOUSE,4室2厅1厨3卫,底层 (共4层),142.52㎡,暂无数据,136.23㎡,暂无数据,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-17,私产,2008-02-15,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
昌平,小汤山,126,16,1200,39343元/平米,湾流汇三区,5室2厅1厨3卫, (共2层),305.01㎡,305.01㎡,东 南 西 北,钢混结构,毛坯,暂无数据,暂无数据,70年,null,null,null,null,null,null,2017-05-31,商品房,2010-12-15,别墅,满五年,非共有,无抵押,已上传房本照片,1,null
昌平,小汤山,7,0,490,40062元/平米,纳帕澜郡,3室2厅1厨2卫,高楼层 (共13层),122.31㎡,暂无数据,95.73㎡,暂无数据,南 北,钢混结构,精装,一梯三户,暂无数据,暂无数据,70年,null,null,null,2017-07-30,商品房,2014-03-20,普通住宅,满两年,非共有,有抵押 100万元 客户偿还,已上传房本照片,0,null
昌平,小汤山,18,3,370,41171元/平米,纳帕澜郡,2室1厅1厨1卫,高楼层 (共13层),89.87㎡,暂无数据,70.34㎡,暂无数据,南,钢混结构,简装,一梯三户,暂无数据,暂无数据,70年,null,null,null,2017-08-26,商品房,2014-04-01,普通住宅,满两年,非共有,有抵押 100万元,已上传房本照片,1,null
昌平,小汤山,49,8,1200,45280元/平米,湾流汇五区,3室3厅1厨3卫,底层 (共2层),265.02㎡,暂无数据,265.02㎡,暂无数据,东 南 西 北,钢混结构,精装,一梯一户,暂无数据,暂无数据,70年,null,null,null,2017-05-08,商品房,2009-05-15,普通住宅,满五年,非共有,有抵押 20万元 银行 客户偿还,已上传房本照片,0,null
昌平,小汤山,73,1,340,29262元/平米,沙顺路110号院,3室1厅1厨2卫,高楼层 (共6层),116.19㎡,暂无数据,104.73㎡,暂无数据,南 北,混合结构,简装,一梯一户,暂无数据,暂无数据,70年,null,null,null,2017-03-16,已购公房,2005-02-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
昌平,小汤山,3,1,430,40019元/平米,纳帕澜郡,3室2厅1厨1卫,中楼层 (共15层),107.45㎡,暂无数据,79.51㎡,暂无数据,南 北,钢混结构,精装,一梯四户,暂无数据,暂无数据,70年,null,null,null,2017-08-22,商品房,2014-01-13,普通住宅,满两年,非共有,有抵押 180万元 银行 客户偿还,已上传房本照片,0,null
昌平,小汤山,38,4,615,43738元/平米,金科天玺,3室1厅1厨1卫,中楼层 (共9层),140.61㎡,暂无数据,115.47㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-04-06,商品房,2015-07-14,普通住宅,满两年,非共有,有抵押 200万元 工商,已上传房本照片,1,null
昌平,小汤山,15,10,480,41251元/平米,纳帕澜郡,3室2厅1厨1卫,低楼层 (共13层),116.36㎡,暂无数据,92㎡,暂无数据,南 北,钢混结构,精装,一梯三户,暂无数据,暂无数据,70年,null,null,null,2017-07-01,商品房,2015-03-13,普通住宅,满两年,共有,有抵押 110万元 客户偿还,已上传房本照片,0,null
昌平,小汤山,35,25,580,49568元/平米,金科天玺,3室2厅1厨2卫,顶层 (共9层),117.01㎡,暂无数据,96.09㎡,板楼,南 西 北,钢混结构,毛坯,一梯两户,集中供暖,有,70年,null,null,null,2017-05-28,商品房,2017-04-07,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,1,null
昌平,小汤山,143,12,1630,49994元/平米,纳帕溪谷,3室3厅1厨3卫,底层 (共2层),326.04㎡,暂无数据,暂无数据,暂无数据,东 南 西 北,钢混结构,精装,一梯一户,自供暖,无,70年,null,null,null,2016-11-20,商品房,2010-04-15,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
昌平,小汤山,10,0,1500,76978元/平米,金科天玺,4室2厅2厨4卫,地下室 (共3层),194.86㎡,暂无数据,185.99㎡,暂无数据,南 北,钢混结构,精装,一梯一户,集中供暖,暂无数据,70年,null,null,null,2017-08-23,商品房,2016-01-07,普通住宅,暂无数据,非共有,有抵押 260万元 业主自还,已上传房本照片,0,null
昌平,小汤山,5,0,545,38951元/平米,纳帕澜郡,3室2厅1厨2卫,低楼层 (共12层),139.92㎡,暂无数据,110.54㎡,暂无数据,南 北,钢混结构,精装,一梯两户,暂无数据,暂无数据,70年,null,null,null,2017-09-10,商品房,2015-03-19,普通住宅,满两年,非共有,有抵押 70万元 建设银行 客户偿还,已上传房本照片,0,null
昌平,小汤山,5,5,510,41697元/平米,纳帕澜郡,2室2厅1厨2卫,中楼层 (共13层),122.31㎡,暂无数据,95.73㎡,暂无数据,南 北,钢混结构,精装,一梯三户,暂无数据,暂无数据,70年,null,null,null,2017-08-17,商品房,2016-06-01,普通住宅,暂无数据,共有,无抵押,已上传房本照片,0,null
昌平,小汤山,5,6,510,41697元/平米,纳帕澜郡,2室2厅1厨2卫,中楼层 (共13层),122.31㎡,暂无数据,95.73㎡,暂无数据,南 北,钢混结构,精装,一梯三户,暂无数据,暂无数据,70年,null,null,null,2017-07-29,商品房,2014-04-11,普通住宅,满两年,非共有,无抵押,已上传房本照片,0,null
昌平,小汤山,26,5,440,41064元/平米,纳帕澜郡,2室2厅1厨1卫,中楼层 (共15层),107.15㎡,暂无数据,79.76㎡,暂无数据,南 北,钢混结构,其他,一梯四户,暂无数据,暂无数据,70年,null,null,null,2017-05-29,商品房,2014-03-20,普通住宅,满两年,共有,有抵押 40万元 客户偿还,已上传房本照片,0,null
昌平,小汤山,21,1,430,39870元/平米,纳帕澜郡,3室2厅1厨1卫,中楼层 (共15层),107.85㎡,暂无数据,79.81㎡,暂无数据,南 北,钢混结构,精装,一梯四户,暂无数据,暂无数据,70年,null,null,null,2017-06-26,商品房,2013-11-22,普通住宅,满两年,共有,有抵押,已上传房本照片,0,null
昌平,小汤山,26,3,520,37407元/平米,纳帕澜郡,3室2厅1厨2卫,底层 (共13层),139.01㎡,暂无数据,109.91㎡,暂无数据,南 北,钢混结构,精装,一梯三户,暂无数据,暂无数据,70年,null,null,null,2017-05-28,商品房,2015-01-16,普通住宅,满两年,非共有,无抵押,已上传房本照片,0,null
昌平,小汤山,23,0,400,34406元/平米,沙顺路110号院,3室1厅1厨2卫,高楼层 (共6层),116.26㎡,平层,104.79㎡,暂无数据,南 北,混合结构,精装,一梯一户,暂无数据,暂无数据,70年,null,null,null,2017-03-06,已购公房,2005-07-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
昌平,小汤山,20,1,1600,34069元/平米,纳帕溪谷,4室3厅2厨3卫,底层 (共2层),469.64㎡,暂无数据,469.64㎡,暂无数据,东 南 西 北,钢混结构,精装,一梯一户,自供暖,无,70年,null,null,null,2017-09-01,私产,2007-03-13,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
昌平,小汤山,5,0,1150,55427元/平米,金科天玺,5室2厅1厨3卫,中楼层 (共4层),207.48㎡,暂无数据,177.57㎡,板楼,南 北,钢混结构,毛坯,一梯两户,集中供暖,有,70年,null,null,null,2017-08-23,商品房,2017-06-06,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,0,null
昌平,小汤山,6,0,1070,51529元/平米,金科天玺,4室3厅1厨3卫,中楼层 (共4层),207.65㎡,暂无数据,177.72㎡,板楼,南 北,钢混结构,毛坯,一梯两户,集中供暖,有,70年,null,null,null,2017-08-15,商品房,2016-01-15,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,0,null
昌平,小汤山,6,0,2300,53684元/平米,保利垄上九区,4室3厅1厨4卫, (共2层),428.43㎡,428.43㎡,东 南 西 北,未知结构,精装,暂无数据,暂无数据,70年,null,null,null,null,null,null,2017-08-08,商品房,2012-07-19,别墅,满五年,非共有,无抵押,已上传房本照片,0,null
昌平,小汤山,21,10,600,42787元/平米,金科天玺,3室2厅1厨2卫,中楼层 (共9层),140.23㎡,暂无数据,115.47㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-05-31,商品房,2016-03-11,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,0,null
昌平,小汤山,32,9,580,43284元/平米,金科天玺,3室2厅1厨2卫,高楼层 (共9层),134㎡,暂无数据,115.03㎡,板楼,南 北,钢混结构,毛坯,一梯两户,集中供暖,有,70年,null,null,null,2017-07-21,商品房,2016-12-05,普通住宅,暂无数据,共有,有抵押 200万元 农商银行 客户偿还,已上传房本照片,0,null
昌平,小汤山,25,2,950,34919元/平米,汤HOUSE,6室4厅1厨3卫,底层 (共3层),272.06㎡,暂无数据,255.61㎡,暂无数据,东 南 北,混合结构,简装,一梯八户,集中供暖,无,70年,null,null,null,2017-08-26,私产,2008-02-26,普通住宅,满五年,非共有,有抵押 40万元 业主自还,已上传房本照片,1,null
昌平,小汤山,18,5,620,44094元/平米,金科天玺,3室1厅1厨2卫,中楼层 (共9层),140.61㎡,暂无数据,115.47㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-06-18,商品房,2016-03-09,普通住宅,暂无数据,非共有,有抵押 200万元 北京 业主自还,已上传房本照片,0,null
昌平,小汤山,134,18,280,45536元/平米,纳帕澜郡,2室1厅1厨1卫,高楼层 (共15层),61.49㎡,平层,45.5㎡,暂无数据,南 北,钢混结构,精装,一梯四户,暂无数据,暂无数据,70年,null,null,null,2017-04-02,商品房,2016-06-06,普通住宅,暂无数据,共有,无抵押,已上传房本照片,0,null
昌平,小汤山,4,0,300,33293元/平米,沙顺路110号院,2室1厅1厨1卫,中楼层 (共6层),90.11㎡,暂无数据,79.05㎡,暂无数据,东 西,混合结构,简装,一梯一户,暂无数据,暂无数据,70年,null,null,null,2017-08-12,商品房,2016-06-06,普通住宅,暂无数据,非共有,有抵押 85万元 客户偿还,已上传房本照片,0,null
昌平,小汤山,6,0,900,66211元/平米,金科天玺,3室2厅1厨2卫,底层 (共9层),135.93㎡,暂无数据,116.21㎡,板楼,南 北,钢混结构,毛坯,一梯两户,集中供暖,有,70年,null,null,null,2017-08-03,商品房,2017-06-12,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,0,null
昌平,小汤山,8,0,266,29847元/平米,纳帕澜郡,3房间1卫,中楼层 (共15层),89.12㎡,暂无数据,56.42㎡,暂无数据,南 北,钢混结构,精装,一梯三户,暂无数据,暂无数据,40年,未知,未知,null,2017-07-27,商品房,2014-07-02,商业办公类,满两年,非共有,无抵押,已上传房本照片,0,null
昌平,小汤山,70,2,3900,72991元/平米,保利垄上五区,5室3厅1厨4卫, (共2层),534.31㎡,534.31㎡,东 南 西 北,钢混结构,精装,暂无数据,暂无数据,70年,null,null,null,null,null,null,2017-05-27,商品房,2013-05-17,别墅,满两年,非共有,无抵押,已上传房本照片,0,null
昌平,小汤山,68,5,1200,57790元/平米,金科天玺,4室2厅1厨4卫,中楼层 (共4层),207.65㎡,暂无数据,177.72㎡,暂无数据,南 北,钢混结构,精装,一梯两户,集中供暖,暂无数据,70年,null,null,null,2016-12-14,商品房,2016-01-06,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,0,null
昌平,小汤山,1,0,1800,30798元/平米,保利垄上九区,4室2厅1厨4卫, (共2层),584.45㎡,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,未知,null,null,null,null,null,null,2017-09-01,商品房,2016-01-22,别墅,暂无数据,非共有,暂无数据,已上传房本照片,0,null
