城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
昌平,沙河,76,58,416,46789元/平米,北街家园一区,3室1厅1厨1卫,低楼层 (共18层),88.91㎡,暂无数据,68.95㎡,板楼,南 北,钢混结构,精装,两梯三户,集中供暖,有,70年,null,null,null,2017-03-04,商品房,2012-10-31,普通住宅,满两年,非共有,有抵押 740000万元 农业银行 客户偿还,已上传房本照片,10,null
昌平,沙河,51,66,470,52596元/平米,北街家园五区,3室1厅1厨1卫,中楼层 (共18层),89.36㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,简装,两梯三户,集中供暖,有,70年,null,null,null,2017-06-28,商品房,2011-09-09,普通住宅,满五年,非共有,无抵押,已上传房本照片,null,
昌平,沙河,37,29,428,48521元/平米,北街家园五区,3室1厅1厨1卫,中楼层 (共17层),88.21㎡,暂无数据,71.61㎡,板楼,南 北,钢混结构,精装,一梯三户,集中供暖,有,70年,null,null,null,2017-08-08,商品房,2017-03-21,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,4,null
昌平,沙河,154,56,299.9,40040元/平米,民园小区,2室1厅1厨1卫,高楼层 (共6层),74.9㎡,暂无数据,58.05㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-04-18,私产,2006-01-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
昌平,沙河,116,49,385,50525元/平米,北街家园六区,3室1厅1厨1卫,中楼层 (共6层),76.2㎡,平层,65.97㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-25,商品房,2012-08-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
昌平,沙河,80,11,230,45231元/平米,善缘嘉园,2室1厅1厨1卫,中楼层 (共6层),50.85㎡,暂无数据,43.86㎡,板楼,南,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-24,商品房,2012-04-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
昌平,沙河,162,51,298,43778元/平米,民园小区,2室2厅1厨1卫,低楼层 (共6层),68.07㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-05-14,商品房,2010-10-22,普通住宅,满五年,非共有,有抵押 50万元 浦发 客户偿还,已上传房本照片,6,null
昌平,沙河,194,37,238,44411元/平米,民园小区,1室1厅1厨1卫,顶层 (共6层),53.59㎡,暂无数据,1㎡,板楼,东 西,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-06-28,商品房,2009-10-21,普通住宅,满五年,非共有,有抵押 10万元 农行 业主自还,已上传房本照片,9,null
昌平,沙河,15,0,300,34554元/平米,线材厂宿舍,2室1厅1厨1卫,中楼层 (共6层),86.82㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,暂无数据,暂无数据,40年,null,null,null,2017-09-08,已购公房,2001-05-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
昌平,沙河,158,23,280,35990元/平米,沙河镇南一村,3室1厅1厨1卫,中楼层 (共6层),77.8㎡,暂无数据,73㎡,板楼,南 北,混合结构,简装,一梯两户,暂无数据,暂无数据,70年,null,null,null,2017-04-15,私产,2002-08-07,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
昌平,沙河,12,0,1200,47190元/平米,北街家园四区,5室2厅1厨3卫,底层 (共3层),254.29㎡,跃层,244.55㎡,暂无数据,南 北,钢混结构,精装,一梯四户,自供暖,无,70年,null,null,null,2017-08-18,商品房,2012-09-04,普通住宅,满五年,非共有,有抵押 150万元 中国银行 客户偿还,已上传房本照片,0,null
昌平,沙河,65,11,350,49801元/平米,北街家园一区,2室1厅1厨1卫,底层 (共18层),70.28㎡,暂无数据,54.5㎡,板楼,南,钢混结构,精装,两梯三户,集中供暖,有,70年,null,null,null,2017-08-23,商品房,2012-08-21,普通住宅,满五年,非共有,有抵押 50万元,已上传房本照片,0,null
昌平,沙河,59,29,472,52667元/平米,北街家园五区,3室1厅1厨1卫,低楼层 (共18层),89.62㎡,暂无数据,69.07㎡,板楼,南 北,钢混结构,精装,两梯三户,集中供暖,有,70年,null,null,null,2017-04-27,商品房,2012-01-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
昌平,沙河,72,25,365,47133元/平米,北街家园六区,3室1厅1厨1卫,高楼层 (共18层),77.44㎡,平层,61.68㎡,板楼,东 西,钢混结构,精装,一梯三户,集中供暖,有,70年,null,null,null,2017-07-29,商品房,2013-01-17,普通住宅,满两年,非共有,无抵押,已上传房本照片,0,null
昌平,沙河,128,49,400,51348元/平米,北街家园六区,3室1厅1厨1卫,高楼层 (共6层),77.9㎡,平层,66.14㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-02-08,商品房,2012-07-13,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
昌平,沙河,40,79,298,51019元/平米,北街家园八区,1室1厅1厨1卫,中楼层 (共17层),58.41㎡,平层,42.43㎡,板楼,西,钢混结构,精装,两梯九户,集中供暖,有,70年,null,null,null,2017-07-31,商品房,2012-10-23,普通住宅,满两年,非共有,暂无数据,已上传房本照片,20,null
昌平,沙河,58,30,330,47847元/平米,北街家园六区,2室1厅1厨1卫,低楼层 (共18层),68.97㎡,暂无数据,50.35㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-08-03,商品房,2015-09-09,普通住宅,满两年,非共有,有抵押 85万元 邮政储蓄银行 业主自还,已上传房本照片,4,null
昌平,沙河,52,25,325,51859元/平米,北街家园六区,2室1厅1厨1卫,低楼层 (共18层),62.67㎡,平层,48.24㎡,板楼,东,钢混结构,精装,一梯七户,集中供暖,有,70年,null,null,null,2017-08-13,商品房,2012-11-22,普通住宅,满两年,非共有,有抵押 8万元 工商银行 业主自还,已上传房本照片,6,null
昌平,沙河,4,5,610,41792元/平米,北街家园二区,3室1厅1厨2卫,低楼层 (共9层),145.96㎡,暂无数据,127.56㎡,板楼,南 北,钢混结构,毛坯,一梯两户,自供暖,有,70年,null,null,null,2017-09-09,商品房,2010-05-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
昌平,沙河,74,23,420,47170元/平米,北街家园一区,2室1厅1厨1卫,中楼层 (共18层),89.04㎡,暂无数据,70.32㎡,板楼,南 北,钢混结构,精装,两梯三户,集中供暖,有,70年,null,null,null,2017-05-27,商品房,2011-08-18,普通住宅,满五年,非共有,有抵押 30万元 业主自还,已上传房本照片,1,null
昌平,沙河,24,34,410,47018元/平米,北街家园八区,2室1厅1厨1卫,高楼层 (共18层),87.2㎡,暂无数据,68.5㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-04-28,商品房,2014-08-14,普通住宅,满两年,非共有,无抵押,已上传房本照片,4,null
昌平,沙河,6,9,630,43373元/平米,北街家园二区,3室1厅1厨2卫,高楼层 (共9层),145.25㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,自供暖,有,70年,null,null,null,2017-08-24,商品房,2009-05-25,普通住宅,满五年,共有,无抵押,已上传房本照片,0,null
昌平,沙河,6,0,450,35782元/平米,善缘嘉园,3室2厅1厨2卫,高楼层 (共6层),125.76㎡,暂无数据,111.5㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-19,商品房,2011-02-15,普通住宅,满五年,非共有,有抵押 40万元,已上传房本照片,0,null
昌平,沙河,74,28,315,50263元/平米,北街家园六区,2室1厅1厨1卫,低楼层 (共18层),62.67㎡,暂无数据,48.24㎡,板楼,东,钢混结构,精装,一梯七户,集中供暖,有,70年,null,null,null,2017-08-12,商品房,2013-02-04,普通住宅,满两年,非共有,无抵押,已上传房本照片,5,null
