城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
昌平,立水桥,156,23,305,55404元/平米,北方明珠,2室1厅1厨1卫,低楼层 (共19层),55.05㎡,暂无数据,41.77㎡,塔楼,东,钢混结构,精装,三梯二十户,自供暖,有,70年,null,null,null,2017-08-25,私产,2008-10-28,普通住宅,满五年,非共有,有抵押 20万元 北京银行 业主自还,已上传房本照片,6,null
昌平,立水桥,180,39,365,46729元/平米,佳运园一期,2室1厅1厨1卫,顶层 (共6层),78.11㎡,暂无数据,71㎡,板楼,南,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-06-25,私产,2001-10-29,普通住宅,满五年,非共有,无抵押,已上传房本照片,10,null
昌平,立水桥,105,62,320,48855元/平米,东辰小区,2室1厅1厨1卫,低楼层 (共6层),65.5㎡,平层,60㎡,板楼,西南,混合结构,简装,一梯六户,集中供暖,无,70年,null,null,null,2017-06-10,私产,2007-03-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
昌平,立水桥,231,147,360,63955元/平米,北京北,1室1厅1厨1卫,高楼层 (共20层),56.29㎡,平层,42.68㎡,板塔结合,西北,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-01-04,商品房,2010-01-11,普通住宅,满五年,非共有,无抵押,已上传房本照片,26,null
昌平,立水桥,49,27,460,53833元/平米,佳运园二期,2室1厅1厨1卫,低楼层 (共6层),85.45㎡,暂无数据,74.1㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-05-14,私产,2005-05-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
昌平,立水桥,41,33,1200,81422元/平米,顶秀青溪,4室2厅1厨3卫,底层 (共7层),147.38㎡,暂无数据,135.03㎡,板楼,南 北,钢混结构,其他,一梯四户,自供暖,无,70年,null,null,null,2017-08-12,私产,2008-07-11,普通住宅,满五年,非共有,暂无数据,已上传房本照片,8,null
昌平,立水桥,62,66,375,53856元/平米,佳运园一期,2室1厅1厨1卫,中楼层 (共6层),69.63㎡,暂无数据,暂无数据,板楼,东 西,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-15,私产,2001-10-29,普通住宅,满五年,非共有,无抵押,已上传房本照片,12,null
昌平,立水桥,59,167,479,55978元/平米,佳运园二期,2室1厅1厨1卫,低楼层 (共6层),85.57㎡,暂无数据,75.24㎡,板楼,东南,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-05-12,私产,2005-05-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
昌平,立水桥,166,74,535,54877元/平米,明天第一城5号院,2室1厅1厨1卫,低楼层 (共10层),97.49㎡,平层,75.01㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-03-02,商品房,2008-11-28,普通住宅,满五年,非共有,有抵押 客户偿还,已上传房本照片,21,null
昌平,立水桥,90,30,348,59866元/平米,城建集团家属楼,2室1厅1厨1卫,顶层 (共6层),58.13㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-23,私产,2006-08-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,9,null
昌平,立水桥,66,72,389,49516元/平米,佳运园一期,2室1厅1厨1卫,高楼层 (共6层),78.56㎡,平层,78.56㎡,板楼,南,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-06-29,已购公房,2001-04-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
昌平,立水桥,114,39,670,35777元/平米,明天第一城5号院,3室2厅1厨2卫,底层 (共9层),187.27㎡,暂无数据,148.63㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-07-30,商品房,2010-12-02,普通住宅,满五年,非共有,有抵押 28万元 光大银行 业主自还,已上传房本照片,10,null
昌平,立水桥,14,7,1600,77844元/平米,塞纳维拉,4室2厅1厨3卫,底层 (共3层),205.54㎡,暂无数据,196.41㎡,暂无数据,南,钢混结构,简装,一梯六户,自供暖,无,70年,null,null,null,2017-08-17,商品房,2006-09-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
昌平,立水桥,62,42,490,59814元/平米,北京北,2室1厅1厨1卫,高楼层 (共20层),81.92㎡,暂无数据,62.11㎡,板塔结合,西南,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-08-09,商品房,2010-02-06,普通住宅,满五年,非共有,有抵押 20万元 北京银行 业主自还,已上传房本照片,8,null
昌平,立水桥,24,22,458,53182元/平米,佳运园二期,2室1厅1厨1卫,顶层 (共6层),86.12㎡,暂无数据,75.63㎡,板楼,东南,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-06-17,私产,2005-09-20,普通住宅,满五年,非共有,有抵押 10万元 浦发银行 业主自还,已上传房本照片,7,null
昌平,立水桥,334,291,480,56664元/平米,明天第一城5号院,2室1厅1厨1卫,顶层 (共6层),84.71㎡,平层,75.9㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-01-06,商品房,2008-06-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
昌平,立水桥,41,34,589,59937元/平米,明天第一城5号院,2室1厅1厨1卫,中楼层 (共9层),98.27㎡,暂无数据,77.99㎡,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,有,70年,null,null,null,2017-07-28,商品房,2009-07-23,普通住宅,满五年,共有,有抵押 20万元 建行 业主自还,已上传房本照片,8,null
昌平,立水桥,130,44,580,58568元/平米,北京北,3室2厅1厨1卫,中楼层 (共20层),99.03㎡,暂无数据,72.76㎡,板塔结合,南 北,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-06-04,商品房,2009-08-06,普通住宅,满五年,共有,无抵押,已上传房本照片,2,null
昌平,立水桥,17,13,482,55968元/平米,佳运园二期,2室1厅1厨1卫,中楼层 (共6层),86.12㎡,暂无数据,75.63㎡,板楼,西南,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-21,私产,2005-09-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,10,null
昌平,立水桥,95,90,369,55985元/平米,佳运园二期,1室1厅1厨1卫,底层 (共6层),65.91㎡,平层,57.95㎡,板楼,西北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-04-08,商品房,2009-11-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
昌平,立水桥,24,8,680,67487元/平米,顶秀青溪,2室1厅1厨1卫,高楼层 (共15层),100.76㎡,暂无数据,81.69㎡,板塔结合,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-08-18,商品房,2008-09-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
昌平,立水桥,11,12,510,52566元/平米,清水园二期,2室2厅1厨1卫,中楼层 (共7层),97.02㎡,暂无数据,88.28㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-16,私产,2004-11-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
昌平,立水桥,69,20,398,50954元/平米,佳运园一期,2室1厅1厨1卫,中楼层 (共6层),78.11㎡,平层,70㎡,板楼,南,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-13,商品房,2011-12-07,普通住宅,满五年,非共有,有抵押 57万元 华夏银行 客户偿还,已上传房本照片,2,null
昌平,立水桥,28,21,455,50866元/平米,佳运园三期,2室1厅1厨1卫,底层 (共6层),89.45㎡,暂无数据,77.88㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-13,私产,2004-08-30,普通住宅,满五年,非共有,暂无数据,已上传房本照片,6,null
昌平,立水桥,111,44,660,55913元/平米,清水园二期,3室2厅1厨2卫,中楼层 (共7层),118.04㎡,平层,106.92㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2016-11-08,私产,2004-10-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
昌平,立水桥,29,17,459,59556元/平米,北京北,2室1厅1厨1卫,高楼层 (共20层),77.07㎡,平层,56.62㎡,板塔结合,西北,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-08-18,商品房,2009-07-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
