城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
昌平,西三旗,494,96,378,42606元/平米,旗胜家园,2室1厅1厨1卫,中楼层 (共28层),88.72㎡,暂无数据,70.73㎡,板塔结合,南,钢混结构,精装,两梯四户,自供暖,有,70年,null,null,null,2017-08-17,限价商品房,2010-08-16,普通住宅,满五年,共有,无抵押,已上传房本照片,26,null
昌平,西三旗,54,32,549,56429元/平米,华鸿家园,2室2厅1厨1卫,底层 (共6层),97.29㎡,暂无数据,82.72㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-08-26,二类经济适用房,2011-09-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
昌平,西三旗,121,44,458,67721元/平米,知本时代,2室1厅1厨1卫,中楼层 (共15层),67.63㎡,平层,56.27㎡,板塔结合,南 北,钢混结构,精装,两梯六户,集中供暖,有,70年,null,null,null,2017-08-14,商品房,2009-07-06,普通住宅,满五年,共有,有抵押 30万元 业主自还,已上传房本照片,19,null
昌平,西三旗,128,28,639,50831元/平米,动街区,3室2厅1厨1卫,中楼层 (共12层),125.71㎡,平层,95.15㎡,板塔结合,南 北,钢混结构,精装,一梯三户,集中供暖,有,70年,null,null,null,2017-08-06,商品房,2011-05-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
昌平,西三旗,58,66,585,65305元/平米,富力桃园C区,2室1厅1厨1卫,中楼层 (共18层),89.58㎡,平层,72.54㎡,板塔结合,南 北,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-07-16,商品房,2010-07-26,普通住宅,满五年,共有,无抵押,已上传房本照片,0,null
昌平,西三旗,386,118,395,57421元/平米,建材城东二里,2室1厅1厨1卫,高楼层 (共22层),68.79㎡,暂无数据,暂无数据,塔楼,南 西,钢混结构,简装,两梯十户,集中供暖,有,70年,null,null,null,2017-04-10,商品房,2012-05-30,普通住宅,满五年,共有,有抵押 66万元 业主自还,已上传房本照片,15,null
昌平,西三旗,64,48,565,75535元/平米,育新花园,3室0厅1厨1卫,低楼层 (共18层),74.8㎡,暂无数据,暂无数据,塔楼,南,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-07-30,已购公房,2000-07-05,普通住宅,满五年,非共有,有抵押,已上传房本照片,6,null
昌平,西三旗,39,27,588,64340元/平米,富力桃园C区,2室1厅1厨1卫,低楼层 (共21层),91.39㎡,平层,69.45㎡,板塔结合,南 北,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-08-04,商品房,2011-12-17,普通住宅,满五年,非共有,有抵押 60万元 工商 客户偿还,已上传房本照片,10,null
昌平,西三旗,82,61,930,73303元/平米,金隅翡丽铂爵郡,3室2厅1厨2卫,低楼层 (共6层),126.87㎡,暂无数据,108.77㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-07-22,商品房,2015-07-15,普通住宅,满两年,共有,有抵押 60万元 公积金管理中心 客户偿还,已上传房本照片,15,null
昌平,西三旗,161,111,595,59405元/平米,新康园,3室1厅1厨2卫,中楼层 (共5层),100.16㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-20,商品房,2001-10-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
昌平,西三旗,104,70,695,55449元/平米,沁春家园,3室2厅1厨2卫,高楼层 (共21层),125.34㎡,暂无数据,100.81㎡,塔楼,东南,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-02-23,私产,2006-07-13,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
昌平,西三旗,24,33,600,69244元/平米,育新花园,2室1厅1厨1卫,高楼层 (共20层),86.65㎡,平层,60.91㎡,塔楼,南 西,钢混结构,简装,两梯十二户,集中供暖,有,70年,null,null,null,2017-07-29,已购公房,2002-08-26,普通住宅,满五年,非共有,暂无数据,已上传房本照片,5,null
昌平,西三旗,153,147,469,48641元/平米,金榜园,2室1厅1厨1卫,高楼层 (共6层),96.42㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-01,私产,2002-05-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,16,null
昌平,西三旗,330,92,399,45741元/平米,旗胜家园,2室1厅1厨1卫,中楼层 (共28层),87.23㎡,暂无数据,69.71㎡,板塔结合,南 北,钢混结构,其他,两梯五户,自供暖,有,70年,null,null,null,2017-06-27,商品房,2015-08-05,普通住宅,满两年,非共有,暂无数据,已上传房本照片,5,null
昌平,西三旗,455,71,290,47627元/平米,黄平路8号院,2室1厅1厨1卫,顶层 (共6层),60.89㎡,暂无数据,60㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-04-24,商品房,2013-10-29,普通住宅,满两年,非共有,无抵押,已上传房本照片,0,null
昌平,西三旗,48,67,420,48600元/平米,龙乡中区,3室1厅1厨1卫,高楼层 (共6层),86.42㎡,平层,86.42㎡,板楼,南 北,混合结构,毛坯,一梯两户,集中供暖,无,70年,null,null,null,2017-07-06,已购公房,2000-07-15,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
昌平,西三旗,30,28,500,46984元/平米,上奥世纪中心,2室1厅1厨1卫,中楼层 (共23层),106.42㎡,暂无数据,83.49㎡,板塔结合,南,钢混结构,精装,两梯九户,集中供暖,有,70年,null,null,null,2017-07-29,商品房,2009-11-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
昌平,西三旗,97,62,850,65234元/平米,枫丹丽舍,3室2厅1厨2卫,中楼层 (共5层),130.3㎡,暂无数据,125㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-04-25,私产,2006-07-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
昌平,西三旗,212,70,535,48876元/平米,新康园,2室1厅1厨1卫,低楼层 (共32层),109.46㎡,平层,90.97㎡,塔楼,东南,钢混结构,简装,三梯十户,集中供暖,有,70年,null,null,null,2017-05-25,商品房,2005-09-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
昌平,西三旗,45,37,575,59102元/平米,华鸿家园,2室2厅1厨1卫,底层 (共6层),97.29㎡,暂无数据,82.72㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-08-03,二类经济适用房,2011-09-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
昌平,西三旗,174,43,362,43996元/平米,旗胜家园,2室1厅1厨1卫,中楼层 (共13层),82.28㎡,平层,67.33㎡,板塔结合,东北,钢混结构,精装,两梯五户,自供暖,有,70年,null,null,null,2017-07-15,限价商品房,2010-09-01,普通住宅,满五年,非共有,暂无数据,已上传房本照片,4,null
昌平,西三旗,21,23,620,71511元/平米,富力桃园C区,2室1厅1厨1卫,低楼层 (共18层),86.7㎡,暂无数据,70.04㎡,板塔结合,南,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-08-22,商品房,2011-04-29,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
昌平,西三旗,226,81,1070,69907元/平米,富力桃园A区,4室2厅1厨2卫,顶层 (共11层),153.06㎡,跃层,118.63㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2016-11-20,商品房,2011-01-12,普通住宅,满五年,非共有,有抵押 60万元 业主自还,已上传房本照片,5,null
昌平,西三旗,10,14,690,46256元/平米,新康园,2室2厅1厨2卫,高楼层 (共24层),149.17㎡,平层,120.43㎡,塔楼,东 南,钢混结构,简装,四梯十六户,集中供暖,有,70年,null,null,null,2017-08-12,私产,2004-11-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
昌平,西三旗,77,18,369,41685元/平米,旗胜家园,2室1厅1厨1卫,中楼层 (共21层),88.52㎡,暂无数据,70.17㎡,板塔结合,南,钢混结构,精装,两梯五户,自供暖,有,70年,null,null,null,2017-08-26,限价商品房,2010-10-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
昌平,西三旗,42,5,890,67150元/平米,枫丹丽舍,3室2厅1厨2卫,顶层 (共5层),132.54㎡,暂无数据,120㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-19,商品房,2012-10-15,普通住宅,满两年,共有,无抵押,已上传房本照片,0,null
昌平,西三旗,12,3,650,49168元/平米,金榜园,3室1厅1厨2卫,中楼层 (共6层),132.2㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-09-08,私产,2002-10-24,普通住宅,满五年,共有,无抵押,已上传房本照片,3,null
昌平,西三旗,11,3,570,47217元/平米,金榜园,2室1厅1厨2卫,低楼层 (共11层),120.72㎡,暂无数据,105.59㎡,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,有,70年,null,null,null,2017-09-06,私产,2005-02-02,普通住宅,满五年,共有,无抵押,已上传房本照片,3,null
昌平,西三旗,47,6,365,62715元/平米,轮胎厂宿舍,2室1厅1厨1卫,中楼层 (共6层),58.2㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-09-07,已购公房,2001-03-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
昌平,西三旗,130,20,650,50881元/平米,沁春家园,3室2厅1厨2卫,顶层 (共6层),127.75㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯两户,自供暖,无,70年,null,null,null,2017-07-27,商品房,2012-06-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
