城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
昌平,西关环岛,51,12,290,31073元/平米,御路园,2室2厅1厨1卫,顶层 (共6层),93.33㎡,暂无数据,暂无数据,板楼,东 西,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-31,已购公房,2003-06-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
昌平,西关环岛,153,35,259,33167元/平米,郝庄家园,2室1厅1厨1卫,顶层 (共6层),78.09㎡,暂无数据,暂无数据,板楼,南 北,混合结构,其他,一梯两户,集中供暖,无,70年,null,null,null,2017-06-10,商品房,2009-07-16,普通住宅,满五年,非共有,有抵押 20万元 农业银行 客户偿还,已上传房本照片,7,null
昌平,西关环岛,158,57,210,39962元/平米,蓝郡国际花园,1室0厅1厨1卫,低楼层 (共15层),52.55㎡,平层,36.18㎡,塔楼,东,钢混结构,简装,四梯二十八户,集中供暖,有,70年,null,null,null,2017-03-05,商品房,2016-12-16,普通住宅,暂无数据,非共有,有抵押 45万元 中国银行,已上传房本照片,9,null
昌平,西关环岛,9,9,440,48056元/平米,蓝郡国际花园,2室1厅1厨1卫,中楼层 (共10层),91.56㎡,平层,74.21㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-08-22,私产,2008-04-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
昌平,西关环岛,134,73,323,37685元/平米,蓝郡国际花园,2室1厅1厨1卫,高楼层 (共15层),85.71㎡,暂无数据,59.01㎡,塔楼,东,钢混结构,简装,四梯二十八户,集中供暖,有,70年,null,null,null,2017-05-22,商品房,2010-04-21,公寓,满五年,非共有,无抵押,已上传房本照片,2,null
昌平,西关环岛,126,42,390,39490元/平米,建明里小区,3室1厅1厨1卫,高楼层 (共6层),98.76㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2016-10-21,商品房,2005-02-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
昌平,西关环岛,22,2,305,34135元/平米,郝庄家园东区,3室1厅1厨1卫,底层 (共6层),89.35㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-28,商品房,2009-11-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
昌平,西关环岛,219,72,275,28862元/平米,胜利嘉园,2室1厅1厨1卫,顶层 (共6层),95.28㎡,暂无数据,83.85㎡,暂无数据,南 北,混合结构,精装,一梯两户,暂无数据,暂无数据,40年,null,null,null,2017-03-28,已购公房,2003-12-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
昌平,西关环岛,47,7,450,33796元/平米,西环里,3室1厅1厨2卫,顶层 (共6层),133.15㎡,暂无数据,暂无数据,板楼,南 北,砖混结构,其他,一梯两户,集中供暖,无,70年,null,null,null,2017-02-18,商品房,2010-07-07,普通住宅,满五年,非共有,暂无数据,已上传房本照片,0,null
昌平,西关环岛,16,3,265,37690元/平米,郝庄家园南区,3室1厅1厨1卫,中楼层 (共6层),70.31㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-25,私产,2003-05-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
昌平,西关环岛,11,10,285,34735元/平米,郝庄家园西区,2室1厅1厨1卫,底层 (共6层),82.05㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-06,商品房,2009-04-15,普通住宅,满五年,共有,无抵押,已上传房本照片,2,null
昌平,西关环岛,31,26,250,42265元/平米,西环里,2室1厅1厨1卫,中楼层 (共6层),59.15㎡,暂无数据,暂无数据,板楼,南 北,混合结构,其他,一梯三户,集中供暖,无,70年,null,null,null,2017-07-19,商品房,2017-07-11,普通住宅,暂无数据,非共有,暂无数据,已上传房本照片,2,null
昌平,西关环岛,23,8,660,46131元/平米,蓝郡国际花园,3室2厅1厨2卫,中楼层 (共8层),143.07㎡,暂无数据,124.79㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-06-01,私产,2006-08-05,普通住宅,满五年,非共有,有抵押 400万元 客户偿还,已上传房本照片,1,null
昌平,西关环岛,36,21,300,33083元/平米,郝庄家园,2室1厅1厨1卫,中楼层 (共6层),90.68㎡,暂无数据,80.26㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-05-28,私产,2004-08-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
昌平,西关环岛,2,0,350,37254元/平米,秋实家园,2室1厅1厨2卫,中楼层 (共6层),93.95㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-18,已购公房,2002-01-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
昌平,西关环岛,9,2,288,33384元/平米,郝庄家园西区,2室1厅1厨1卫,顶层 (共6层),86.27㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-09-05,私产,2003-05-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
昌平,西关环岛,37,11,299,39888元/平米,西环里,2室1厅1厨1卫,中楼层 (共6层),74.96㎡,暂无数据,74.96㎡,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-06-24,私产,2004-12-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
昌平,西关环岛,45,19,228,33883元/平米,郝庄家园,2室1厅1厨1卫,中楼层 (共6层),67.29㎡,暂无数据,暂无数据,板楼,南,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-19,商品房,2013-01-31,普通住宅,满两年,非共有,暂无数据,已上传房本照片,7,null
昌平,西关环岛,5,1,360,39092元/平米,秋实家园,2室2厅1厨1卫,底层 (共6层),92.09㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-06,已购公房,2003-10-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
昌平,西关环岛,4,2,405,41436元/平米,西关北路,3室1厅1厨1卫,低楼层 (共6层),97.74㎡,暂无数据,暂无数据,板楼,东 西,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-10,已购公房,1996-05-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
昌平,西关环岛,216,16,350,29593元/平米,胜利嘉园,3室2厅1厨2卫,顶层 (共6层),118.27㎡,平层,105.32㎡,暂无数据,南 北,混合结构,精装,一梯两户,暂无数据,暂无数据,40年,null,null,null,2017-02-19,已购公房,2005-03-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
昌平,西关环岛,11,8,320,38018元/平米,御路园,2室1厅1厨1卫,中楼层 (共5层),84.17㎡,暂无数据,73.68㎡,板楼,南 北,钢混结构,其他,一梯两户,集中供暖,无,70年,null,null,null,2017-09-07,二类经济适用房,2009-09-17,普通住宅,满五年,非共有,暂无数据,已上传房本照片,8,null
昌平,西关环岛,214,17,275,40346元/平米,西环里35号院,2室1厅1厨1卫,低楼层 (共6层),68.16㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-02-13,商品房,2010-10-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
昌平,西关环岛,5,0,500,36982元/平米,建明里小区,3室2厅1厨2卫,中楼层 (共6层),135.2㎡,暂无数据,114.86㎡,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-15,私产,2005-06-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
昌平,西关环岛,7,0,370,38231元/平米,静心苑,2室2厅1厨1卫,中楼层 (共6层),96.78㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-01,商品房,2011-12-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
昌平,西关环岛,5,0,470,33933元/平米,瑞明路,3室1厅1厨2卫,高楼层 (共6层),138.51㎡,暂无数据,暂无数据,暂无数据,南 北,混合结构,精装,一梯两户,暂无数据,暂无数据,70年,null,null,null,2017-03-31,已购公房,2001-10-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
昌平,西关环岛,13,0,350,35243元/平米,建明里小区,2室2厅1厨1卫,高楼层 (共6层),99.31㎡,平层,90㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-05-28,私产,2005-04-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
昌平,西关环岛,235,41,215,33890元/平米,胜利嘉园,2室1厅1厨1卫,中楼层 (共4层),63.44㎡,暂无数据,47.07㎡,暂无数据,南 北,混合结构,简装,一梯一户,暂无数据,暂无数据,70年,null,null,null,2017-08-03,商品房,2012-11-28,普通住宅,满两年,非共有,无抵押,已上传房本照片,3,null
昌平,西关环岛,13,6,420,40416元/平米,建明里小区,2室2厅1厨1卫,高楼层 (共6层),103.92㎡,平层,95.89㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-03-12,商品房,2008-04-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
昌平,西关环岛,21,4,318,29997元/平米,水屯家园,3室1厅1厨1卫,顶层 (共4层),106.01㎡,暂无数据,94.46㎡,板楼,南 北,钢混结构,其他,一梯两户,集中供暖,无,70年,null,null,null,2017-07-09,私产,2008-10-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
昌平,西关环岛,174,7,190,20808元/平米,水屯家园,2室1厅1厨1卫,地下室 (共4层),91.31㎡,暂无数据,78.3㎡,板楼,南 北,混合结构,简装,一梯一户,集中供暖,无,70年,null,null,null,2017-06-12,商品房,2010-08-06,普通住宅,满五年,非共有,有抵押 10万元 建设银行 业主自还,已上传房本照片,1,null
昌平,西关环岛,85,39,270,30218元/平米,郝庄家园东区,3室1厅1厨1卫,底层 (共6层),89.35㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-04-14,商品房,2016-10-22,普通住宅,暂无数据,非共有,有抵押 140万元,已上传房本照片,3,null
昌平,西关环岛,28,4,400,37818元/平米,建明里小区,2室2厅1厨2卫,低楼层 (共6层),105.77㎡,平层,96.25㎡,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-02-23,商品房,2007-02-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
昌平,西关环岛,18,4,280,45359元/平米,蓝郡国际花园,1室0厅1厨1卫,高楼层 (共15层),61.73㎡,暂无数据,42.5㎡,塔楼,东,钢混结构,精装,四梯二十八户,集中供暖,有,70年,null,null,null,2017-08-06,商品房,2010-03-24,公寓,满五年,非共有,无抵押,已上传房本照片,0,null
昌平,西关环岛,6,0,350,34090元/平米,御路园,2室2厅1厨1卫,高楼层 (共6层),102.67㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-03,私产,2002-01-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
