城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
昌平,霍营,56,29,620,46449元/平米,紫金新干线,3室2厅1厨2卫,低楼层 (共10层),133.48㎡,暂无数据,115.2㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-09-03,商品房,2010-06-25,普通住宅,满五年,非共有,有抵押 50万元 公积金 客户偿还,已上传房本照片,21,距离8号线回龙观东大街站718米
昌平,霍营,124,306,466,37484元/平米,龙锦苑东一区,3室2厅1厨2卫,中楼层 (共6层),124.32㎡,暂无数据,113.56㎡,板楼,南 北,混合结构,简装,一梯两户,自供暖,无,70年,null,null,null,2017-03-18,一类经济适用房,2008-01-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
昌平,霍营,55,26,399,48481元/平米,慧龙居,2室1厅1厨1卫,高楼层 (共6层),82.3㎡,暂无数据,82.3㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-30,商品房,2012-03-28,普通住宅,满五年,共有,无抵押,已上传房本照片,22,null
昌平,霍营,46,69,499,40087元/平米,龙锦苑东四区,3室2厅1厨2卫,中楼层 (共6层),124.48㎡,平层,113.64㎡,板楼,南 北,混合结构,精装,一梯两户,自供暖,无,70年,null,null,null,2017-06-17,一类经济适用房,2010-10-29,普通住宅,满五年,非共有,无抵押,已上传房本照片,14,null
昌平,霍营,34,9,439,45114元/平米,天鑫家园,3室1厅1厨1卫,中楼层 (共6层),97.31㎡,暂无数据,85.65㎡,板楼,南 北,混合结构,毛坯,一梯两户,集中供暖,无,70年,null,null,null,2017-09-09,私产,2003-05-26,普通住宅,满五年,非共有,有抵押 50万元 中国工商银行 客户偿还,已上传房本照片,9,null
昌平,霍营,144,109,335,61536元/平米,天鑫家园,1室1厅1厨1卫,高楼层 (共6层),54.44㎡,平层,48.53㎡,板楼,西,混合结构,精装,一梯八户,自供暖,无,70年,null,null,null,2017-04-12,商品房,2009-10-29,普通住宅,满五年,非共有,有抵押 28万元 北京银行 客户偿还,已上传房本照片,0,null
昌平,霍营,47,54,499,37961元/平米,龙锦苑东四区,3室2厅1厨2卫,底层 (共6层),131.45㎡,暂无数据,120.28㎡,板楼,南 北,混合结构,简装,一梯两户,自供暖,无,70年,null,null,null,2017-07-29,商品房,2015-09-11,普通住宅,满两年,非共有,无抵押,已上传房本照片,14,null
昌平,霍营,732,205,410,34538元/平米,龙锦苑东一区,3室1厅1厨1卫,顶层 (共6层),118.71㎡,平层,108.31㎡,板楼,南 北,混合结构,简装,一梯两户,自供暖,无,70年,null,null,null,2017-05-09,商品房,2008-07-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
昌平,霍营,35,26,355,46254元/平米,龙旗广场,2室1厅1厨1卫,低楼层 (共28层),76.75㎡,暂无数据,63.03㎡,板塔结合,南 北,钢混结构,精装,两梯四户,自供暖,有,70年,null,null,null,2017-09-05,限价商品房,2012-09-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,26,null
昌平,霍营,96,33,384.7,53970元/平米,华龙苑南里,2室1厅1厨1卫,低楼层 (共6层),71.28㎡,暂无数据,68㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-30,私产,2007-01-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
昌平,霍营,50,45,699,38773元/平米,华龙苑北里,5室2厅1厨2卫,顶层 (共6层),180.28㎡,暂无数据,155.31㎡,塔楼,东 南,砖混结构,精装,一梯六户,集中供暖,有,70年,null,null,null,2017-07-05,私产,2007-12-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
昌平,霍营,28,46,516,56841元/平米,华龙苑北里,2室2厅1厨1卫,低楼层 (共6层),90.78㎡,暂无数据,77.25㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-07-09,商品房,2011-01-19,普通住宅,满五年,共有,有抵押 90万元 交通银行 业主自还,已上传房本照片,7,null
昌平,霍营,56,99,488,36207元/平米,龙锦苑东二区,3室1厅1厨2卫,中楼层 (共6层),134.78㎡,暂无数据,123.14㎡,板楼,南 北,混合结构,简装,一梯两户,自供暖,无,70年,null,null,null,2017-06-27,一类经济适用房,2012-07-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
昌平,霍营,655,217,335,55153元/平米,华龙苑南里,2室1厅1厨1卫,顶层 (共6层),60.74㎡,暂无数据,1㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-06-04,商品房,2010-04-02,普通住宅,满五年,共有,无抵押,已上传房本照片,0,null
昌平,霍营,24,13,498,54420元/平米,紫金新干线,2室2厅1厨1卫,低楼层 (共10层),91.51㎡,暂无数据,79.04㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-09-01,商品房,2010-11-03,普通住宅,满五年,非共有,有抵押 30万元 建行 业主自还,已上传房本照片,11,null
昌平,霍营,40,23,478,53450元/平米,紫金新干线,2室1厅1厨1卫,低楼层 (共9层),89.43㎡,平层,76.3㎡,板楼,南 北,钢混结构,精装,一梯三户,集中供暖,有,70年,null,null,null,2017-07-22,商品房,2010-11-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
昌平,霍营,635,188,363,49617元/平米,天鑫家园,2室1厅1厨2卫,顶层 (共6层),73.16㎡,跃层,64.26㎡,板塔结合,北,混合结构,精装,一梯七户,集中供暖,无,70年,null,null,null,2016-12-05,商品房,2012-07-16,普通住宅,满五年,共有,有抵押 70万元 中国 业主自还,已上传房本照片,0,null
昌平,霍营,31,35,495,39778元/平米,龙锦苑东五区,3室2厅1厨2卫,底层 (共6层),124.44㎡,平层,113.25㎡,板楼,南 北,混合结构,精装,一梯两户,自供暖,无,70年,null,null,null,2017-07-06,一类经济适用房,2007-08-13,普通住宅,满五年,共有,暂无数据,已上传房本照片,1,null
昌平,霍营,31,13,475,54749元/平米,紫金新干线,2室1厅1厨1卫,中楼层 (共10层),86.76㎡,暂无数据,74.95㎡,板楼,南 北,钢混结构,精装,一梯三户,集中供暖,有,70年,null,null,null,2017-08-23,商品房,2010-07-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
昌平,霍营,67,67,399,46930元/平米,天鑫家园,2室1厅1厨1卫,顶层 (共6层),85.02㎡,平层,75.38㎡,板楼,东 南,混合结构,简装,一梯三户,自供暖,无,70年,null,null,null,2017-04-21,商品房,2009-06-16,普通住宅,满五年,共有,有抵押 40万元 建设银行 业主自还,已上传房本照片,16,null
昌平,霍营,102,261,470,52880元/平米,紫金新干线,2室1厅1厨1卫,高楼层 (共10层),88.88㎡,暂无数据,76.78㎡,板楼,南 北,钢混结构,精装,一梯三户,集中供暖,有,70年,null,null,null,2017-05-01,商品房,2010-07-26,普通住宅,满五年,非共有,有抵押 20万元 建设银行 客户偿还,已上传房本照片,0,null
昌平,霍营,21,26,459,36873元/平米,龙锦苑东四区,3室2厅1厨2卫,高楼层 (共6层),124.48㎡,暂无数据,113.64㎡,板楼,南 北,混合结构,简装,一梯两户,自供暖,无,70年,null,null,null,2017-07-08,一类经济适用房,2012-05-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
昌平,霍营,96,16,420,49088元/平米,华龙苑南里,3室1厅1厨1卫,顶层 (共6层),85.56㎡,平层,80㎡,板楼,西南,混合结构,精装,一梯五户,集中供暖,无,70年,null,null,null,2017-08-14,商品房,2012-05-11,普通住宅,满五年,共有,无抵押,已上传房本照片,3,null
昌平,霍营,71,23,355,51472元/平米,华龙苑南里,2室1厅1厨1卫,顶层 (共6层),68.97㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-13,商品房,2012-09-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
昌平,霍营,272,363,410,40454元/平米,龙锦苑东二区,2室1厅1厨1卫,顶层 (共6层),101.35㎡,平层,86.41㎡,板楼,南 北,混合结构,简装,一梯两户,自供暖,无,70年,null,null,null,2016-11-07,一类经济适用房,2009-04-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
昌平,霍营,22,21,505,55598元/平米,华龙苑北里,2室1厅1厨1卫,中楼层 (共6层),90.83㎡,暂无数据,77.35㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-08-12,商品房,2010-12-03,普通住宅,满五年,非共有,有抵押 90万元 交通银行 业主自还,已上传房本照片,3,null
昌平,霍营,80,81,479,53675元/平米,紫金新干线,2室1厅1厨1卫,高楼层 (共10层),89.24㎡,平层,77.09㎡,板楼,南 北,钢混结构,精装,一梯三户,集中供暖,有,70年,null,null,null,2017-06-24,商品房,2010-01-07,普通住宅,满五年,非共有,有抵押 30万元 北京银行 业主自还,已上传房本照片,1,null
昌平,霍营,30,29,370,56871元/平米,天鑫家园,1室1厅1厨1卫,中楼层 (共6层),65.06㎡,暂无数据,57.88㎡,板楼,南 北,混合结构,精装,一梯四户,自供暖,无,70年,null,null,null,2017-08-05,商品房,2012-08-23,普通住宅,满五年,共有,无抵押,已上传房本照片,12,null
昌平,霍营,11,2,475,54623元/平米,紫金新干线,2室1厅1厨1卫,高楼层 (共6层),86.96㎡,暂无数据,77.63㎡,板楼,南 北,钢混结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-09-09,商品房,2010-08-20,普通住宅,满五年,非共有,有抵押 35万元 建设银行 业主自还,已上传房本照片,2,null
昌平,霍营,76,35,500,37045元/平米,华龙苑北里,3室2厅1厨2卫,底层 (共6层),134.97㎡,暂无数据,110㎡,板楼,南 北,砖混结构,简装,一梯两户,集中供暖,有,70年,null,null,null,2017-06-20,商品房,2005-08-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
昌平,霍营,129,39,415,33243元/平米,龙锦苑东四区,3室2厅1厨2卫,顶层 (共6层),124.84㎡,暂无数据,113.8㎡,板楼,南 北,混合结构,精装,一梯两户,自供暖,无,70年,null,null,null,2017-04-27,一类经济适用房,2010-10-29,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,距离8号线霍营站934米
昌平,霍营,21,20,670,52327元/平米,紫金新干线,3室1厅1厨2卫,高楼层 (共10层),128.04㎡,暂无数据,111.83㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-06-30,商品房,2011-08-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,13,null
昌平,霍营,68,60,665,49820元/平米,紫金新干线,3室2厅1厨2卫,顶层 (共10层),133.48㎡,暂无数据,115.2㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-05-12,商品房,2010-01-04,普通住宅,满五年,共有,暂无数据,已上传房本照片,2,null
昌平,霍营,63,76,436,34944元/平米,龙锦苑东五区,3室2厅1厨2卫,高楼层 (共6层),124.77㎡,平层,113.56㎡,板楼,南 北,混合结构,简装,一梯两户,自供暖,无,70年,null,null,null,2017-07-08,私产,2007-08-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,11,null
昌平,霍营,41,241,420,41278元/平米,龙锦苑东四区,3室1厅1厨1卫,中楼层 (共6层),101.75㎡,暂无数据,86.42㎡,板楼,南 北,混合结构,简装,一梯两户,自供暖,无,70年,null,null,null,2017-05-09,商品房,2010-12-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
昌平,霍营,54,61,385,39094元/平米,龙锦苑东一区,2室1厅1厨1卫,高楼层 (共6层),98.48㎡,暂无数据,88.46㎡,板楼,南 北,混合结构,精装,一梯两户,自供暖,无,70年,null,null,null,2017-07-08,一类经济适用房,2008-01-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,11,null
昌平,霍营,8,0,449,51473元/平米,华龙苑北里,2室1厅1厨1卫,中楼层 (共7层),87.23㎡,暂无数据,74.43㎡,板楼,东北,混合结构,精装,一梯三户,集中供暖,有,70年,null,null,null,2017-09-11,私产,2007-03-13,普通住宅,满五年,共有,无抵押,已上传房本照片,0,null
昌平,霍营,36,15,388,44711元/平米,华龙苑中里,3室1厅1厨1卫,顶层 (共5层),86.78㎡,暂无数据,80㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-28,商品房,2002-08-07,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
昌平,霍营,28,77,510,42897元/平米,龙锦苑东二区,3室1厅1厨1卫,高楼层 (共6层),118.89㎡,暂无数据,108.39㎡,板楼,南 北,混合结构,精装,一梯两户,自供暖,无,70年,null,null,null,2017-04-05,一类经济适用房,2008-01-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
昌平,霍营,21,1,410,50116元/平米,蓝天园,3室1厅1厨1卫,顶层 (共5层),81.81㎡,暂无数据,80㎡,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-09-02,商品房,2009-12-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
昌平,霍营,55,3,320,60343元/平米,霍营小区,2室1厅1厨1卫,顶层 (共6层),53.03㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-31,商品房,2010-12-23,普通住宅,满五年,非共有,有抵押,已上传房本照片,1,null
昌平,霍营,86,45,570,47715元/平米,华龙苑北里,3室2厅1厨2卫,中楼层 (共10层),119.46㎡,平层,100.78㎡,板楼,南 西 北,钢混结构,简装,一梯三户,集中供暖,有,70年,null,null,null,2017-01-17,商品房,2012-01-12,普通住宅,满五年,非共有,有抵押 客户偿还,已上传房本照片,2,null
昌平,霍营,55,48,480,43400元/平米,华龙苑北里,3室1厅1厨1卫,低楼层 (共6层),110.6㎡,暂无数据,95.28㎡,塔楼,东南,砖混结构,精装,一梯六户,集中供暖,有,70年,null,null,null,2017-03-20,商品房,2013-02-05,普通住宅,满两年,非共有,无抵押,已上传房本照片,17,null
昌平,霍营,10,7,490,39500元/平米,龙锦苑东一区,3室2厅1厨2卫,低楼层 (共6层),124.05㎡,平层,113.29㎡,板楼,南 北,混合结构,精装,一梯两户,自供暖,无,70年,null,null,null,2017-09-03,一类经济适用房,2008-05-08,普通住宅,满五年,非共有,有抵押 10万元 北京银行 业主自还,已上传房本照片,7,null
昌平,霍营,40,15,468,47926元/平米,天鑫家园,3室1厅1厨1卫,高楼层 (共6层),97.65㎡,暂无数据,85.65㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-14,私产,2007-07-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
昌平,霍营,17,4,489,54753元/平米,紫金新干线,2室1厅1厨1卫,中楼层 (共9层),89.31㎡,暂无数据,76.73㎡,板楼,南 北,钢混结构,其他,一梯三户,集中供暖,有,70年,null,null,null,2017-09-07,商品房,2010-10-27,普通住宅,满五年,非共有,暂无数据,已上传房本照片,4,null
昌平,霍营,35,47,298,67574元/平米,天鑫家园,1室0厅1厨1卫,高楼层 (共6层),44.1㎡,暂无数据,39.31㎡,板楼,北,混合结构,简装,一梯八户,自供暖,无,70年,null,null,null,2017-07-27,商品房,2015-06-02,普通住宅,满两年,非共有,有抵押 90万元 农行 业主自还,已上传房本照片,11,null
昌平,霍营,76,61,450,41709元/平米,天鑫家园,3室2厅1厨1卫,顶层 (共6层),107.89㎡,暂无数据,93.53㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-25,私产,2003-06-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
昌平,霍营,27,25,490,39304元/平米,龙锦苑东四区,3室2厅1厨2卫,高楼层 (共6层),124.67㎡,暂无数据,113.64㎡,板楼,南 北,混合结构,精装,一梯两户,自供暖,无,70年,null,null,null,2017-04-18,一类经济适用房,2010-10-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
昌平,霍营,108,18,380,53423元/平米,华龙苑南里,2室1厅1厨1卫,底层 (共6层),71.13㎡,平层,68㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-29,商品房,2012-06-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,10,null
昌平,霍营,60,3,415,43501元/平米,华龙苑南里,2室1厅1厨1卫,高楼层 (共6层),95.4㎡,暂无数据,88㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-26,商品房,2010-12-20,普通住宅,满五年,非共有,有抵押 80万元 招商 业主自还,已上传房本照片,0,null
昌平,霍营,42,34,480,38573元/平米,龙锦苑东五区,3室2厅1厨2卫,底层 (共6层),124.44㎡,平层,113.25㎡,板楼,南 北,混合结构,简装,一梯两户,自供暖,无,70年,null,null,null,2017-04-28,一类经济适用房,2008-01-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
昌平,霍营,103,32,425,34054元/平米,龙锦苑东五区,3室2厅1厨2卫,顶层 (共6层),124.8㎡,平层,113.56㎡,板楼,南 北,混合结构,精装,一梯两户,自供暖,无,70年,null,null,null,2017-04-02,一类经济适用房,2007-12-07,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
昌平,霍营,18,3,325,70591元/平米,紫金新干线,1室0厅1厨1卫,低楼层 (共10层),46.04㎡,暂无数据,39.77㎡,板楼,南,钢混结构,精装,一梯三户,集中供暖,有,70年,null,null,null,2017-08-16,商品房,2011-08-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
昌平,霍营,88,23,455,36599元/平米,龙锦苑东一区,3室2厅1厨2卫,顶层 (共6层),124.32㎡,暂无数据,113.64㎡,板楼,南 北,混合结构,其他,一梯两户,自供暖,无,70年,null,null,null,2017-02-15,一类经济适用房,2008-01-23,普通住宅,满五年,非共有,暂无数据,已上传房本照片,0,null
昌平,霍营,53,25,452.4,54996元/平米,紫金新干线,2室1厅1厨1卫,高楼层 (共10层),82.26㎡,暂无数据,71.05㎡,板楼,南,钢混结构,精装,一梯三户,集中供暖,有,70年,null,null,null,2017-07-23,商品房,2011-04-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
昌平,霍营,12,8,388,57575元/平米,华龙苑中里,2室1厅1厨1卫,中楼层 (共5层),67.39㎡,暂无数据,67.39㎡,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-19,商品房,2012-03-08,普通住宅,满五年,共有,无抵押,已上传房本照片,3,null
昌平,霍营,59,9,345,57242元/平米,霍营小区,2室1厅1厨1卫,中楼层 (共6层),60.27㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-27,商品房,2010-03-24,普通住宅,满五年,非共有,有抵押 30万元 北京银行,已上传房本照片,4,null
昌平,霍营,47,7,445,44643元/平米,龙锦苑东五区,2室1厅1厨1卫,顶层 (共6层),99.68㎡,平层,89.76㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,无,70年,null,null,null,2017-05-12,一类经济适用房,2010-10-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
