城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
昌平,鼓楼大街,112,26,200,48135元/平米,北环里小区,1室1厅1厨1卫,中楼层 (共5层),41.55㎡,平层,暂无数据,板楼,南,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-28,私产,2003-02-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
昌平,鼓楼大街,89,54,255,48323元/平米,南环里,2室1厅1厨1卫,中楼层 (共5层),52.77㎡,暂无数据,暂无数据,板楼,南,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-05-05,已购公房,2000-03-13,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
昌平,鼓楼大街,40,36,360,42204元/平米,新悦家园,2室1厅1厨1卫,低楼层 (共6层),85.3㎡,平层,74.99㎡,板楼,南 北,混合结构,简装,一梯四户,集中供暖,无,70年,null,null,null,2017-07-30,商品房,2009-09-09,普通住宅,满五年,非共有,暂无数据,已上传房本照片,5,null
昌平,鼓楼大街,8,13,390,42942元/平米,新悦家园,2室1厅1厨1卫,底层 (共6层),90.82㎡,暂无数据,80.88㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-26,私产,2005-08-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
昌平,鼓楼大街,61,16,475,52996元/平米,金隅万科城,3室1厅1厨1卫,高楼层 (共18层),89.63㎡,暂无数据,70.24㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-08-16,商品房,2011-08-15,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
昌平,鼓楼大街,28,7,390,45249元/平米,金隅万科城,2室1厅1厨1卫,中楼层 (共28层),86.19㎡,暂无数据,67.98㎡,板塔结合,东 西,钢混结构,其他,两梯五户,集中供暖,有,70年,null,null,null,2017-08-23,商品房,2013-08-20,普通住宅,满两年,非共有,暂无数据,已上传房本照片,5,null
昌平,鼓楼大街,23,1,360,39648元/平米,和平家园小区,2室1厅1厨1卫,高楼层 (共6层),90.8㎡,暂无数据,80.49㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-29,私产,2004-09-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
昌平,鼓楼大街,118,28,280,37343元/平米,七一宿舍,2室1厅1厨1卫,顶层 (共6层),74.98㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-08,商品房,2010-02-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
昌平,鼓楼大街,84,7,362,47985元/平米,金隅万科城,2室1厅1厨1卫,底层 (共7层),75.44㎡,平层,60.23㎡,板楼,东 西,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-08-17,商品房,2012-06-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
昌平,鼓楼大街,18,4,403,47891元/平米,金隅万科城,2室1厅1厨1卫,中楼层 (共26层),84.15㎡,暂无数据,65.55㎡,板塔结合,东 西,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-09-07,商品房,2012-06-25,普通住宅,满五年,共有,有抵押 40万元 建设银行 客户偿还,已上传房本照片,4,null
