城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
朝阳,CBD,12,11,950,67266元/平米,SOHO现代城,3室1厅1厨2卫,高楼层 (共28层),141.23㎡,暂无数据,119.2㎡,塔楼,东,钢混结构,精装,三梯八户,集中供暖,有,70年,null,null,null,2017-09-01,商品房,2009-12-28,普通住宅,满五年,非共有,有抵押 280万元 兴业银行 客户偿还,已上传房本照片,10,距离1号线国贸站421米
朝阳,CBD,77,22,1290,81858元/平米,盛世嘉园,3室2厅1厨2卫,低楼层 (共22层),157.59㎡,暂无数据,131.9㎡,塔楼,东南,钢混结构,精装,三梯六户,集中供暖,有,70年,null,null,null,2017-05-25,商品房,2009-12-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
朝阳,CBD,0,5,860,57912元/平米,SOHO现代城,3室1厅1厨2卫,低楼层 (共28层),148.5㎡,暂无数据,125.34㎡,塔楼,西,钢混结构,其他,三梯八户,集中供暖,有,70年,null,null,null,2017-08-24,商品房,2012-07-24,普通住宅,满五年,非共有,有抵押 300万元 担保公司 业主自还,已上传房本照片,1,null
朝阳,CBD,122,40,780,86724元/平米,温莎大道,1室1厅1厨1卫,低楼层 (共16层),89.94㎡,平层,69.91㎡,塔楼,北,钢混结构,简装,三梯九户,集中供暖,有,70年,null,null,null,2017-02-24,商品房,2006-06-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,CBD,54,41,1190,81809元/平米,阳光100,3室2厅1厨2卫,低楼层 (共30层),145.46㎡,平层,119.09㎡,塔楼,东南,钢混结构,简装,三梯十户,集中供暖,有,70年,null,null,null,2017-06-08,商品房,2009-09-16,公寓,满五年,非共有,无抵押,已上传房本照片,7,null
朝阳,CBD,90,17,690,57190元/平米,建外SOHO,2室1厅1厨1卫,中楼层 (共30层),120.65㎡,暂无数据,96.96㎡,塔楼,北,钢混结构,简装,两梯六户,集中供暖,有,70年,null,null,null,2017-08-03,商品房,2015-01-22,公寓,满两年,非共有,无抵押,已上传房本照片,0,null
朝阳,CBD,38,7,850,77810元/平米,阳光100,3室1厅1厨2卫,低楼层 (共33层),109.24㎡,暂无数据,90.72㎡,塔楼,西南,钢混结构,精装,三梯十户,集中供暖,有,70年,null,null,null,2017-07-30,商品房,2007-01-11,公寓,满五年,非共有,无抵押,已上传房本照片,3,null
朝阳,CBD,59,24,530,83530元/平米,光辉里小区,2室1厅1厨1卫,中楼层 (共14层),63.45㎡,暂无数据,暂无数据,塔楼,南,钢混结构,简装,一梯七户,集中供暖,有,70年,null,null,null,2017-05-24,央产房,2002-03-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
朝阳,CBD,4,0,600,81015元/平米,光辉南里,3室1厅1厨1卫,中楼层 (共6层),74.06㎡,平层,51.25㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-27,商品房,2009-04-28,普通住宅,满五年,共有,有抵押 20万元 工商银行 业主自还,已上传房本照片,0,null
朝阳,CBD,96,155,1500,90432元/平米,蓝堡国际公寓,3室1厅1厨2卫,高楼层 (共16层),165.87㎡,暂无数据,131.47㎡,板塔结合,东,钢混结构,精装,三梯六户,集中供暖,有,70年,null,null,null,2016-09-14,商品房,2009-12-09,公寓,满五年,非共有,无抵押,已上传房本照片,0,null
