城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
朝阳,三元桥,37,57,1470,99878元/平米,UHN国际村,3室2厅1厨2卫,中楼层 (共28层),147.18㎡,暂无数据,114.75㎡,板塔结合,南 北,钢混结构,精装,两梯两户,集中供暖,有,70年,null,null,null,2017-06-07,私产,2005-12-10,普通住宅,满五年,非共有,有抵押 45万元 工商银行 业主自还,已上传房本照片,2,null
朝阳,三元桥,122,52,950,81587元/平米,UHN国际村,2室1厅1厨2卫,中楼层 (共27层),116.44㎡,暂无数据,86.58㎡,板楼,南,钢混结构,精装,两梯三户,集中供暖,有,70年,null,null,null,2017-05-14,商品房,2012-12-27,普通住宅,满两年,非共有,有抵押 120万元 北京银行 业主自还,已上传房本照片,15,null
朝阳,三元桥,99,70,1280,88294元/平米,凤凰城一期,3室1厅1厨2卫,高楼层 (共34层),144.97㎡,暂无数据,118.54㎡,塔楼,南 北,钢混结构,简装,两梯六户,集中供暖,有,70年,null,null,null,2017-05-11,商品房,2008-11-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
朝阳,三元桥,8,9,1050,106426元/平米,金星园,2室2厅1厨1卫,高楼层 (共21层),98.66㎡,暂无数据,82.56㎡,塔楼,西,钢混结构,精装,两梯六户,集中供暖,有,70年,null,null,null,2017-08-19,商品房,2009-12-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
朝阳,三元桥,96,17,415,67910元/平米,曙光里,2室1厅1厨1卫,中楼层 (共6层),61.11㎡,暂无数据,暂无数据,板楼,东南,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-18,商品房,2013-09-09,普通住宅,满两年,非共有,有抵押 100万元 交通银行,已上传房本照片,6,null
朝阳,三元桥,179,86,393,67329元/平米,曙光里,2室1厅1厨1卫,中楼层 (共6层),58.37㎡,暂无数据,1㎡,板楼,西南 东北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-20,商品房,2009-12-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,17,null
朝阳,三元桥,47,30,430,75851元/平米,曙光里,2室1厅1厨1卫,中楼层 (共6层),56.69㎡,暂无数据,39.53㎡,板楼,东 南 西北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-31,商品房,2009-05-19,普通住宅,满五年,非共有,有抵押 20万元 中国银行 业主自还,已上传房本照片,6,null
朝阳,三元桥,71,59,2100,112360元/平米,凤凰城三期,3室2厅1厨2卫,高楼层 (共31层),186.9㎡,平层,145.92㎡,板楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-04-05,私产,2008-04-15,普通住宅,满五年,非共有,无抵押,已上传房本照片,9,null
朝阳,三元桥,70,83,1130,114384元/平米,金星园,2室1厅1厨1卫,中楼层 (共21层),98.79㎡,平层,82.74㎡,塔楼,东,钢混结构,精装,两梯六户,集中供暖,有,70年,null,null,null,2017-04-07,商品房,2010-07-31,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
朝阳,三元桥,15,1,1450,95476元/平米,UHN国际村,3室1厅1厨2卫,高楼层 (共28层),151.87㎡,暂无数据,113.19㎡,板楼,南 北,钢混结构,精装,两梯三户,集中供暖,有,70年,null,null,null,2017-09-07,私产,2008-01-31,普通住宅,满五年,非共有,有抵押 650万元 未知 客户偿还,已上传房本照片,1,null
朝阳,三元桥,10,2,1700,92830元/平米,凤凰城一期,3室1厅1厨2卫,中楼层 (共34层),183.13㎡,暂无数据,148.22㎡,塔楼,西南,钢混结构,简装,两梯三户,集中供暖,有,70年,null,null,null,2017-08-29,私产,2006-04-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
朝阳,三元桥,12,0,416,72600元/平米,曙光里,2室1厅1厨1卫,顶层 (共6层),57.3㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-09-05,商品房,2010-03-30,普通住宅,满五年,非共有,有抵押 60万元 光大银行,已上传房本照片,0,null
朝阳,三元桥,9,0,445,81892元/平米,尚家楼48号院,1室1厅1厨1卫,高楼层 (共6层),54.34㎡,暂无数据,34.67㎡,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-09-04,商品房,2010-12-29,普通住宅,满五年,非共有,有抵押 60万元 工商银行 业主自还,已上传房本照片,0,null
朝阳,三元桥,15,33,450,74001元/平米,曙光西里,2室1厅1厨1卫,低楼层 (共6层),60.81㎡,平层,暂无数据,板楼,西南 东北,混合结构,毛坯,一梯三户,集中供暖,无,70年,null,null,null,2017-04-29,央产房,2017-05-02,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,5,null
朝阳,三元桥,35,45,1780,89664元/平米,UHN国际村,4室1厅1厨2卫,低楼层 (共28层),198.52㎡,暂无数据,148.78㎡,板塔结合,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-04-30,商品房,2012-08-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,三元桥,37,6,1460,96682元/平米,UHN国际村,3室2厅1厨2卫,中楼层 (共28层),151.01㎡,暂无数据,113.61㎡,板楼,南 北,钢混结构,精装,两梯三户,集中供暖,有,70年,null,null,null,2017-08-20,私产,2004-09-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
