城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
朝阳,三里屯,22,18,500,84846元/平米,白家庄北里,2室1厅1厨1卫,高楼层 (共6层),58.93㎡,暂无数据,40.23㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-12,私产,2006-11-09,普通住宅,满五年,非共有,无抵押,已上传房本照片,10,距离10号线团结湖站424米
朝阳,三里屯,12,3,1310,71970元/平米,三里屯SOHO,3室1厅1厨4卫,中楼层 (共28层),182.02㎡,暂无数据,142.6㎡,塔楼,东,钢混结构,精装,四梯六户,集中供暖,有,70年,null,null,null,2017-08-29,商品房,2011-09-13,公寓,满五年,非共有,有抵押 300万元 北京银行,已上传房本照片,1,null
朝阳,三里屯,16,13,430,76882元/平米,三里屯南,2室1厅1厨1卫,中楼层 (共5层),55.93㎡,暂无数据,39.86㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-22,已购公房,2000-09-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
朝阳,三里屯,21,6,505,74583元/平米,三里屯北,3室1厅1厨1卫,顶层 (共6层),67.71㎡,暂无数据,51.77㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-04,已购公房,2005-09-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,三里屯,18,13,475,77273元/平米,三里屯南,2室1厅1厨1卫,中楼层 (共5层),61.47㎡,暂无数据,43.56㎡,板楼,南,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-22,已购公房,2014-07-28,普通住宅,满两年,非共有,无抵押,已上传房本照片,1,null
朝阳,三里屯,37,30,730,75765元/平米,三里屯南,3室1厅1厨1卫,顶层 (共4层),96.35㎡,平层,69.27㎡,板楼,东 西 北,混合结构,简装,一梯四户,集中供暖,无,70年,null,null,null,2017-06-01,已购公房,2010-05-22,普通住宅,满五年,共有,无抵押,已上传房本照片,1,null
朝阳,三里屯,31,2,1400,72355元/平米,三里屯SOHO,3室1厅1厨2卫,高楼层 (共28层),193.49㎡,平层,151.86㎡,塔楼,东南,钢混结构,精装,四梯六户,集中供暖,有,70年,null,null,null,2017-08-07,商品房,2011-09-26,公寓,满五年,非共有,有抵押 300万元 中国银行 客户偿还,已上传房本照片,0,null
朝阳,三里屯,67,38,1045,79997元/平米,康堡花园,2室1厅1厨1卫,中楼层 (共20层),130.63㎡,暂无数据,107.46㎡,板楼,西,钢混结构,精装,两梯五户,集中供暖,有,70年,null,null,null,2017-05-26,商品房,2009-08-05,普通住宅,满五年,非共有,暂无数据,已上传房本照片,1,null
朝阳,三里屯,10,4,447,75379元/平米,三里屯东,2室1厅1厨1卫,顶层 (共5层),59.3㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-09-06,商品房,2017-07-24,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,4,null
朝阳,三里屯,14,4,470,81385元/平米,幸福三村,2室1厅1厨1卫,低楼层 (共6层),57.75㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-30,已购公房,2000-08-29,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
