城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
朝阳,东坝,74,44,839,61321元/平米,奥林匹克花园三期,3室1厅1厨2卫,低楼层 (共8层),136.82㎡,平层,122.04㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-08-19,商品房,2009-09-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,24,null
朝阳,东坝,334,104,780,63741元/平米,奥林匹克花园三期,3室2厅1厨2卫,高楼层 (共9层),122.37㎡,平层,108.49㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-07-26,私产,2007-09-11,普通住宅,满五年,非共有,无抵押,已上传房本照片,20,null
朝阳,东坝,92,81,896,75765元/平米,奥林匹克花园一期,3室2厅1厨2卫,中楼层 (共4层),118.26㎡,暂无数据,107.44㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,无,70年,null,null,null,2017-07-24,商品房,2009-04-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
朝阳,东坝,209,91,780,63798元/平米,奥林匹克花园四期,3室1厅1厨2卫,低楼层 (共8层),122.26㎡,平层,108.26㎡,板塔结合,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-05-29,商品房,2014-11-03,普通住宅,满两年,非共有,有抵押 73万元 公积金担保 客户偿还,已上传房本照片,7,null
朝阳,东坝,58,40,620,49656元/平米,朝阳新城二区,3室1厅1厨1卫,低楼层 (共6层),124.86㎡,平层,110.05㎡,板楼,东 南 北,混合结构,简装,一梯两户,自供暖,无,70年,null,null,null,2017-08-11,商品房,2009-12-11,普通住宅,满五年,非共有,有抵押 190万元 招商银行 客户偿还,已上传房本照片,9,null
朝阳,东坝,180,165,1200,52831元/平米,奥林匹克花园四期,3室3厅1厨2卫,高楼层 (共10层),227.14㎡,暂无数据,203.65㎡,板楼,南 北,钢混结构,毛坯,一梯两户,自供暖,有,70年,null,null,null,2017-02-17,商品房,2012-07-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
朝阳,东坝,19,27,765,77926元/平米,奥林匹克花园一期,2室2厅1厨1卫,中楼层 (共4层),98.17㎡,暂无数据,88.96㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,无,70年,null,null,null,2017-08-21,商品房,2011-11-09,普通住宅,满五年,非共有,无抵押,已上传房本照片,11,null
朝阳,东坝,20,35,456,52980元/平米,朝阳新城五区,2室1厅1厨1卫,中楼层 (共6层),86.07㎡,暂无数据,76.91㎡,板楼,南 北,混合结构,简装,一梯两户,自供暖,无,70年,null,null,null,2017-08-17,一类经济适用房,2009-02-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,9,null
朝阳,东坝,124,24,256,53333元/平米,康静里,1室1厅1厨1卫,低楼层 (共6层),48㎡,暂无数据,38.4㎡,板楼,南,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-02,商品房,2012-10-31,普通住宅,满两年,共有,有抵押 35万元 中国农业银行 客户偿还,已上传房本照片,6,null
朝阳,东坝,17,12,1050,63698元/平米,奥林匹克花园一期,5室2厅1厨2卫,顶层 (共4层),164.84㎡,暂无数据,148.75㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,无,40年,null,null,null,2017-08-26,商品房,2009-04-24,普通住宅,满五年,共有,无抵押,已上传房本照片,5,null
朝阳,东坝,365,90,650,68013元/平米,首开常青藤一期,3室2厅1厨1卫,高楼层 (共9层),95.57㎡,平层,80.24㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-07-16,商品房,2011-08-22,普通住宅,满五年,共有,有抵押 20万元 建设银行 业主自还,已上传房本照片,3,null
朝阳,东坝,73,56,700,63120元/平米,奥林匹克花园三期,2室1厅1厨1卫,中楼层 (共10层),110.9㎡,平层,93.97㎡,塔楼,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-07-21,商品房,2009-05-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,9,null
