城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
朝阳,东大桥,14,1,459,74975元/平米,工体东路,2室1厅1厨1卫,中楼层 (共5层),61.22㎡,暂无数据,暂无数据,板楼,东 西,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-09-03,私产,2007-08-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
朝阳,东大桥,33,19,487,84888元/平米,核桃园北里,2室1厅1厨1卫,顶层 (共6层),57.37㎡,暂无数据,暂无数据,板楼,南,钢混结构,其他,一梯三户,集中供暖,无,70年,null,null,null,2017-08-27,已购公房,2001-04-10,普通住宅,满五年,非共有,暂无数据,已上传房本照片,14,null
朝阳,东大桥,51,19,1999,111788元/平米,新城国际,3室2厅1厨2卫,低楼层 (共29层),178.82㎡,暂无数据,138.05㎡,塔楼,西南,钢混结构,精装,三梯五户,集中供暖,有,70年,null,null,null,2017-07-04,私产,2008-01-16,公寓,满五年,非共有,无抵押,已上传房本照片,5,null
朝阳,东大桥,22,14,522.9,75000元/平米,工体东路,2室1厅1厨1卫,顶层 (共14层),69.72㎡,暂无数据,暂无数据,板塔结合,西南,钢混结构,精装,一梯七户,集中供暖,有,70年,null,null,null,2017-08-26,商品房,2015-05-26,普通住宅,满两年,非共有,有抵押,已上传房本照片,6,null
朝阳,东大桥,79,65,630.9,85000元/平米,核桃园北里,2室1厅1厨1卫,中楼层 (共6层),74.22㎡,暂无数据,暂无数据,板楼,东 西,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-24,商品房,2011-07-07,普通住宅,满五年,非共有,无抵押,已上传房本照片,11,null
朝阳,东大桥,61,73,1590,119729元/平米,新城国际,2室1厅1厨2卫,低楼层 (共31层),132.8㎡,暂无数据,114.25㎡,塔楼,东 北,钢混结构,精装,三梯六户,集中供暖,有,70年,null,null,null,2017-06-10,私产,2007-01-09,公寓,满五年,非共有,无抵押,已上传房本照片,16,null
朝阳,东大桥,63,38,473,84934元/平米,关东店北街,3室1厅1厨1卫,中楼层 (共5层),55.69㎡,暂无数据,1㎡,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-21,已购公房,2017-06-12,普通住宅,暂无数据,共有,无抵押,已上传房本照片,17,null
朝阳,东大桥,53,14,1230,101443元/平米,新城国际,2室1厅1厨2卫,中楼层 (共32层),121.25㎡,平层,95.14㎡,塔楼,西北,钢混结构,精装,三梯四户,集中供暖,有,70年,null,null,null,2017-06-26,商品房,2014-01-15,公寓,满两年,非共有,暂无数据,已上传房本照片,1,null
朝阳,东大桥,43,9,1340,93491元/平米,北京财富中心,2室1厅1厨2卫,低楼层 (共42层),143.33㎡,平层,104.72㎡,塔楼,南,钢混结构,精装,七梯十六户,集中供暖,有,70年,null,null,null,2017-07-05,私产,2006-09-25,公寓,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,东大桥,31,7,2000,104767元/平米,世贸国际公寓,3室2厅1厨2卫,低楼层 (共30层),190.9㎡,暂无数据,156㎡,板楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-04-07,商品房,2010-02-23,公寓,满五年,非共有,无抵押,已上传房本照片,1,null
朝阳,东大桥,9,10,2650,102973元/平米,世贸国际公寓,3室2厅1厨2卫,中楼层 (共31层),257.35㎡,暂无数据,214.58㎡,板楼,南 北,钢混结构,简装,两梯三户,集中供暖,有,70年,null,null,null,2017-07-20,商品房,2008-12-09,公寓,满五年,非共有,无抵押,已上传房本照片,1,null
朝阳,东大桥,9,3,1355,94868元/平米,北京财富中心,3室1厅1厨2卫,低楼层 (共42层),142.83㎡,平层,104.36㎡,塔楼,西 北,钢混结构,精装,七梯二十二户,集中供暖,有,70年,null,null,null,2017-09-01,私产,2007-09-21,公寓,满五年,非共有,有抵押 150万元 渣打银行 公司垫资,已上传房本照片,0,null
