城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
朝阳,亚运村,36,33,820,70320元/平米,阳光新干线,2室2厅1厨1卫,中楼层 (共16层),116.61㎡,暂无数据,95.59㎡,板塔结合,东 西,钢混结构,简装,一梯两户,集中供暖,有,70年,null,null,null,2017-08-22,私产,2006-01-16,普通住宅,满五年,非共有,有抵押 680万元,已上传房本照片,15,距离5号线大屯路东站1169米
朝阳,亚运村,230,249,528,75375元/平米,安慧里二区,2室2厅1厨1卫,中楼层 (共25层),70.05㎡,平层,暂无数据,塔楼,东 东南,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-03-08,已购公房,2001-09-07,普通住宅,满五年,非共有,无抵押,已上传房本照片,18,null
朝阳,亚运村,114,59,832,65517元/平米,安慧北里逸园,3室2厅1厨2卫,中楼层 (共26层),126.99㎡,暂无数据,104.79㎡,塔楼,东南,钢混结构,简装,两梯十户,集中供暖,有,70年,null,null,null,2017-08-26,商品房,2009-03-04,普通住宅,满五年,非共有,暂无数据,已上传房本照片,20,null
朝阳,亚运村,38,27,560,85405元/平米,大屯里小区,2室1厅1厨1卫,底层 (共6层),65.57㎡,平层,46㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-25,已购公房,2000-11-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
朝阳,亚运村,20,19,1450,86064元/平米,润枫德尚苑,3室2厅1厨2卫,中楼层 (共21层),168.48㎡,暂无数据,137.93㎡,塔楼,东 西 北,钢混结构,精装,两梯五户,集中供暖,有,70年,null,null,null,2017-08-15,私产,2005-07-11,普通住宅,满五年,共有,无抵押,已上传房本照片,1,null
朝阳,亚运村,51,10,540,81620元/平米,安慧里一区,2室1厅1厨1卫,低楼层 (共25层),66.16㎡,暂无数据,暂无数据,塔楼,东南,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-09-01,已购公房,1998-08-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
朝阳,亚运村,45,50,585,78745元/平米,安慧里二区,3室1厅1厨1卫,中楼层 (共25层),74.29㎡,暂无数据,74.29㎡,塔楼,西南,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-08-20,央产房,1996-06-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,20,null
朝阳,亚运村,34,29,1068,91768元/平米,保利金泉,2室2厅1厨1卫,中楼层 (共30层),116.38㎡,暂无数据,暂无数据,塔楼,西南,钢混结构,精装,四梯十户,集中供暖,有,70年,null,null,null,2017-08-15,商品房,2010-04-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
朝阳,亚运村,65,27,1185,80948元/平米,保利金泉,3室2厅1厨2卫,中楼层 (共30层),146.39㎡,平层,115.57㎡,板塔结合,东 西,钢混结构,精装,两梯三户,集中供暖,有,70年,null,null,null,2017-04-30,商品房,2011-05-17,普通住宅,满五年,非共有,有抵押 400000万元 中信银行 业主自还,已上传房本照片,2,null
朝阳,亚运村,227,20,560,64605元/平米,慧忠北里第二社区,3室1厅1厨1卫,中楼层 (共9层),86.68㎡,暂无数据,暂无数据,板楼,东 西,钢混结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-19,已购公房,2011-05-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
朝阳,亚运村,34,37,960,84604元/平米,保利金泉,2室1厅1厨1卫,中楼层 (共30层),113.47㎡,暂无数据,88.87㎡,塔楼,西北,钢混结构,精装,四梯十户,集中供暖,有,70年,null,null,null,2017-08-10,商品房,2011-06-13,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
朝阳,亚运村,67,53,680,50978元/平米,天创世缘,2室1厅1厨1卫,中楼层 (共22层),133.39㎡,暂无数据,98.98㎡,塔楼,南,钢混结构,简装,两梯六户,集中供暖,有,70年,null,null,null,2017-07-28,私产,2002-03-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,15,null
朝阳,亚运村,102,33,520,79988元/平米,安慧里一区,2室1厅1厨1卫,高楼层 (共25层),65.01㎡,平层,50㎡,塔楼,南,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-08-01,商品房,2013-09-23,普通住宅,满两年,非共有,无抵押,已上传房本照片,6,null
朝阳,亚运村,218,69,1280,76720元/平米,卧龙小区,4室2厅1厨2卫,高楼层 (共14层),166.84㎡,暂无数据,105.66㎡,板塔结合,南 北,钢混结构,精装,三梯十户,集中供暖,有,70年,null,null,null,2017-07-04,商品房,2008-11-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
朝阳,亚运村,53,36,780,52621元/平米,慧忠北里,3室2厅1厨2卫,低楼层 (共22层),148.23㎡,暂无数据,120.81㎡,塔楼,西北,钢混结构,简装,三梯十二户,集中供暖,有,70年,null,null,null,2017-08-18,私产,2004-11-18,普通住宅,满五年,非共有,暂无数据,已上传房本照片,11,null
朝阳,亚运村,220,97,770,67823元/平米,亚奥观典,3室1厅1厨1卫,低楼层 (共21层),113.53㎡,暂无数据,91.31㎡,塔楼,东 东北,钢混结构,精装,三梯十二户,集中供暖,有,70年,null,null,null,2017-07-25,商品房,2009-07-27,公寓,满五年,非共有,无抵押,已上传房本照片,10,null
朝阳,亚运村,116,179,760,55466元/平米,慧忠北里,3室1厅1厨2卫,中楼层 (共24层),137.02㎡,暂无数据,107.03㎡,塔楼,西北,钢混结构,简装,三梯八户,集中供暖,有,70年,null,null,null,2017-06-05,商品房,2004-01-20,普通住宅,满五年,非共有,暂无数据,已上传房本照片,12,null
朝阳,亚运村,108,54,480,79880元/平米,慧忠里,2室1厅1厨1卫,底层 (共6层),60.09㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-20,已购公房,2002-03-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,11,null
朝阳,亚运村,37,23,1080,73350元/平米,荣尊堡国际俱乐部公寓,2室2厅1厨2卫,中楼层 (共24层),147.24㎡,暂无数据,121.81㎡,塔楼,东,钢混结构,精装,三梯六户,集中供暖,有,70年,null,null,null,2017-08-12,商品房,2011-01-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
朝阳,亚运村,112,11,1300,72054元/平米,卧龙小区,4室2厅1厨3卫,高楼层 (共24层),180.42㎡,暂无数据,130.42㎡,塔楼,南 西北,钢混结构,精装,三梯四户,集中供暖,有,70年,null,null,null,2017-04-25,央产房,2000-03-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
朝阳,亚运村,69,59,950,81615元/平米,安慧里四区,3室2厅1厨2卫,低楼层 (共20层),116.4㎡,暂无数据,暂无数据,塔楼,东南,钢混结构,精装,两梯六户,集中供暖,有,70年,null,null,null,2017-07-05,央产房,1997-11-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
朝阳,亚运村,120,78,805,66589元/平米,慧忠北里第一社区,2室2厅1厨1卫,中楼层 (共6层),120.89㎡,暂无数据,120.89㎡,板楼,东 南 西,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-04-26,私产,2005-01-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
朝阳,亚运村,74,4,550,72809元/平米,安苑北里,3室1厅1厨1卫,中楼层 (共25层),75.54㎡,暂无数据,暂无数据,塔楼,西南,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-08-30,商品房,2013-11-07,普通住宅,满两年,非共有,无抵押,已上传房本照片,3,null
朝阳,亚运村,34,7,1100,53468元/平米,慧忠北里,4室1厅1厨2卫,高楼层 (共24层),205.73㎡,平层,160.7㎡,塔楼,东南,钢混结构,精装,三梯八户,集中供暖,有,70年,null,null,null,2017-09-06,私产,2006-02-27,普通住宅,满五年,非共有,有抵押 420万元 光大 业主自还,已上传房本照片,7,null
朝阳,亚运村,111,136,2200,91370元/平米,润枫德尚苑,4室2厅1厨3卫,低楼层 (共24层),240.78㎡,平层,199.41㎡,塔楼,南 北,钢混结构,精装,两梯三户,集中供暖,有,70年,null,null,null,2016-06-15,私产,2005-10-31,普通住宅,满五年,共有,无抵押,已上传房本照片,2,null
朝阳,亚运村,128,87,695,71282元/平米,安慧北里逸园,2室1厅1厨1卫,高楼层 (共26层),97.5㎡,暂无数据,80.46㎡,塔楼,南,钢混结构,其他,两梯十户,集中供暖,有,70年,null,null,null,2017-08-01,商品房,2009-02-25,普通住宅,满五年,共有,暂无数据,已上传房本照片,14,null
朝阳,亚运村,220,181,608,77521元/平米,安慧里二区,3室1厅1厨1卫,中楼层 (共25层),78.43㎡,平层,暂无数据,塔楼,东南,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-02-13,已购公房,1999-08-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
