城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
朝阳,亚运村小营,168,115,1150,87894元/平米,嘉铭桐城B区,3室2厅1厨2卫,高楼层 (共14层),130.84㎡,暂无数据,106.89㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-03-10,私产,2003-11-17,普通住宅,满五年,非共有,暂无数据,已上传房本照片,13,距离5号线惠新西街北口站730米
朝阳,亚运村小营,196,177,1850,105455元/平米,亚运新新家园林澜园,3室2厅1厨2卫,高楼层 (共7层),175.43㎡,平层,156.34㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-02-07,商品房,2011-06-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
朝阳,亚运村小营,16,33,980,117141元/平米,远洋万和城B区,2室1厅1厨1卫,低楼层 (共18层),83.66㎡,暂无数据,65.67㎡,板塔结合,东北,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-07-11,商品房,2012-08-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
朝阳,亚运村小营,27,20,980,88672元/平米,欧陆经典,2室1厅1厨1卫,高楼层 (共26层),110.52㎡,暂无数据,86.17㎡,塔楼,西南,钢混结构,精装,两梯五户,集中供暖,有,70年,null,null,null,2017-07-13,私产,2007-07-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
朝阳,亚运村小营,10,8,1180,74298元/平米,嘉铭桐城F区,4房间2卫,低楼层 (共9层),158.82㎡,暂无数据,126.08㎡,塔楼,西北,钢混结构,精装,两梯四户,自供暖,有,70年,民水,民电,2.28元/m3,2017-08-12,商品房,2009-09-03,商业办公类,满五年,非共有,有抵押 50万元 业主自还,已上传房本照片,7,null
朝阳,亚运村小营,30,18,323,79911元/平米,育慧里二区,1室1厅1厨1卫,中楼层 (共6层),40.42㎡,暂无数据,40.42㎡,板楼,南,砖混结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-28,商品房,2014-01-02,普通住宅,满两年,非共有,有抵押 120万元 工商银行 业主自还,已上传房本照片,3,null
朝阳,亚运村小营,104,68,799,58923元/平米,亚运花园,3室2厅1厨2卫,底层 (共18层),135.6㎡,暂无数据,暂无数据,塔楼,东北,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-06-29,商品房,2006-11-08,公寓,满五年,非共有,无抵押,已上传房本照片,12,null
朝阳,亚运村小营,25,55,560,84682元/平米,三空间,1室1厅1厨1卫,低楼层 (共10层),66.13㎡,暂无数据,51.75㎡,板楼,西,钢混结构,精装,两梯七户,集中供暖,有,70年,null,null,null,2017-07-07,私产,2006-06-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
朝阳,亚运村小营,22,46,1580,96183元/平米,凯旋城,3室1厅1厨2卫,中楼层 (共18层),164.27㎡,暂无数据,135.94㎡,板塔结合,东南,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-07-14,商品房,2009-11-17,普通住宅,满五年,非共有,有抵押 150万元,已上传房本照片,9,null
朝阳,亚运村小营,98,61,1250,87960元/平米,嘉铭桐城B区,3室2厅1厨2卫,低楼层 (共14层),142.11㎡,暂无数据,116.1㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-06-18,私产,2004-07-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
朝阳,亚运村小营,107,115,735,71644元/平米,锦绣馨园,3室1厅1厨1卫,高楼层 (共16层),102.59㎡,平层,暂无数据,塔楼,西北,钢混结构,精装,两梯十户,集中供暖,有,70年,null,null,null,2017-01-09,商品房,2010-02-08,普通住宅,满五年,非共有,有抵押 260万元 客户偿还,已上传房本照片,6,null
朝阳,亚运村小营,70,55,620,77792元/平米,世纪村东区,2室1厅1厨1卫,底层 (共6层),79.7㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-25,私产,2007-03-13,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
朝阳,亚运村小营,39,24,1300,56311元/平米,世纪宝鼎,4室1厅1厨3卫,高楼层 (共24层),230.86㎡,暂无数据,180.85㎡,塔楼,东北,钢混结构,简装,两梯六户,集中供暖,有,70年,null,null,null,2017-05-10,私产,2000-12-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
朝阳,亚运村小营,140,45,420,76600元/平米,育慧里二区,2室1厅1厨1卫,顶层 (共6层),54.83㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-02-16,已购公房,2002-05-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
朝阳,亚运村小营,34,4,426,98840元/平米,主场,1室0厅1厨1卫,低楼层 (共24层),43.1㎡,暂无数据,35.09㎡,塔楼,北,钢混结构,精装,三梯十二户,集中供暖,有,70年,null,null,null,2017-06-04,商品房,2009-04-29,普通住宅,满五年,非共有,有抵押 业主自还,已上传房本照片,0,null
朝阳,亚运村小营,19,31,975,104918元/平米,保利香槟花园,2室2厅1厨1卫,低楼层 (共18层),92.93㎡,暂无数据,71.08㎡,板塔结合,南 北,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-05-31,商品房,2010-06-18,普通住宅,满五年,共有,无抵押,已上传房本照片,7,null
朝阳,亚运村小营,39,45,1048,116587元/平米,保利香槟花园,2室2厅1厨1卫,中楼层 (共18层),89.89㎡,平层,68.75㎡,板塔结合,南 北,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-05-18,商品房,2010-04-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
朝阳,亚运村小营,16,28,980,89818元/平米,欧陆经典,2室2厅1厨1卫,中楼层 (共26层),109.11㎡,暂无数据,85.52㎡,塔楼,西南,钢混结构,精装,两梯五户,集中供暖,有,70年,null,null,null,2017-07-14,私产,2003-10-15,普通住宅,满五年,非共有,有抵押 20万元 北京银行 业主自还,已上传房本照片,2,null
朝阳,亚运村小营,70,39,1100,79468元/平米,锦绣馨园,3室1厅1厨2卫,低楼层 (共24层),138.42㎡,平层,暂无数据,塔楼,东南,钢混结构,简装,三梯八户,集中供暖,有,70年,null,null,null,2017-04-05,已购公房,2004-12-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
