城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
朝阳,健翔桥,46,30,2000,67211元/平米,华亭嘉园,4室2厅1厨3卫,高楼层 (共32层),297.57㎡,暂无数据,253.92㎡,塔楼,南,钢混结构,简装,三梯七户,集中供暖,有,70年,null,null,null,2017-05-18,商品房,2008-08-27,公寓,满五年,非共有,无抵押,已上传房本照片,7,距离8号线奥体中心站1171米
朝阳,健翔桥,31,32,688,84293元/平米,华严北里中科院,3室1厅1厨1卫,高楼层 (共12层),81.62㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,简装,一梯两户,集中供暖,有,70年,null,null,null,2017-08-06,已购公房,1999-08-11,普通住宅,满五年,非共有,无抵押,已上传房本照片,9,null
朝阳,健翔桥,100,52,460,75521元/平米,华严北里中科院,2室1厅1厨1卫,中楼层 (共16层),60.91㎡,暂无数据,暂无数据,塔楼,东北,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-07-13,已购公房,2005-07-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,14,null
朝阳,健翔桥,89,113,825,77436元/平米,亚奥阳光,2室1厅1厨1卫,底层 (共12层),106.54㎡,暂无数据,89.02㎡,板塔结合,南 北,钢混结构,精装,一梯四户,集中供暖,有,70年,null,null,null,2017-06-07,私产,2008-04-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,13,null
朝阳,健翔桥,128,51,550,85404元/平米,华严北里中科院,2室1厅1厨1卫,中楼层 (共16层),64.4㎡,暂无数据,45.46㎡,塔楼,南 北,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-06-30,已购公房,2000-10-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
朝阳,健翔桥,104,60,550,73119元/平米,丝竹园小区,2室1厅1厨1卫,高楼层 (共16层),75.22㎡,暂无数据,1㎡,塔楼,西南,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-05-21,已购公房,2007-05-09,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
朝阳,健翔桥,20,3,1100,72183元/平米,华亭嘉园,2室1厅1厨2卫,高楼层 (共32层),152.39㎡,暂无数据,120.7㎡,塔楼,西南,钢混结构,精装,三梯六户,集中供暖,有,70年,null,null,null,2017-07-27,商品房,2008-11-13,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
朝阳,健翔桥,18,15,352,81975元/平米,华严北里小区,1室1厅1厨1卫,低楼层 (共6层),42.94㎡,平层,暂无数据,板楼,东,混合结构,其他,一梯四户,集中供暖,无,70年,null,null,null,2017-08-25,私产,2007-08-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
朝阳,健翔桥,133,72,367,80000元/平米,健翔国际公寓,1室0厅1厨1卫,高楼层 (共13层),45.87㎡,平层,31.2㎡,塔楼,东,钢混结构,精装,四梯三十七户,集中供暖,有,70年,null,null,null,2017-03-01,商品房,2011-01-25,公寓,满五年,非共有,有抵押 64万元 客户偿还,已上传房本照片,3,null
朝阳,健翔桥,19,14,1135,74480元/平米,华亭嘉园,2室2厅1厨2卫,高楼层 (共32层),152.39㎡,暂无数据,120.7㎡,塔楼,西南,钢混结构,精装,三梯六户,集中供暖,有,70年,null,null,null,2017-08-11,商品房,2009-08-26,公寓,满五年,非共有,有抵押 250万元 中信银行,已上传房本照片,3,null
