城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
朝阳,农展馆,94,16,1130,69117元/平米,景园大厦,2室1厅1厨2卫,中楼层 (共19层),163.49㎡,暂无数据,10㎡,塔楼,西南,钢混结构,精装,两梯五户,集中供暖,有,70年,null,null,null,2017-06-15,私产,1999-08-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,距离10号线农业展览馆站691米
朝阳,农展馆,46,15,435,68601元/平米,枣营南里,2室1厅1厨1卫,高楼层 (共6层),63.41㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-09,已购公房,1998-08-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
朝阳,农展馆,129,24,419,72857元/平米,麦子店街,2室1厅1厨1卫,高楼层 (共6层),57.51㎡,暂无数据,39.62㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-04,央产房,2003-12-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
朝阳,农展馆,84,46,419,71162元/平米,麦子店街,2室1厅1厨1卫,高楼层 (共6层),58.88㎡,暂无数据,暂无数据,板楼,南 北,混合结构,其他,一梯三户,集中供暖,无,70年,null,null,null,2017-07-06,商品房,2017-03-16,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,7,null
朝阳,农展馆,18,6,352,75928元/平米,朝阳公园西里北区,1室1厅1厨1卫,低楼层 (共6层),46.36㎡,暂无数据,37㎡,板楼,南,混合结构,简装,一梯四户,集中供暖,无,70年,null,null,null,2017-09-03,私产,2005-12-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
朝阳,农展馆,40,12,558,76976元/平米,枣营西里,2室1厅1厨1卫,高楼层 (共18层),72.49㎡,暂无数据,50.43㎡,塔楼,东南 北,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-08-17,央产房,2006-08-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
朝阳,农展馆,115,66,480,73182元/平米,枣营北里,2室1厅1厨1卫,高楼层 (共6层),65.59㎡,暂无数据,60㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-05-29,已购公房,2011-12-31,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
朝阳,农展馆,535,40,565,74538元/平米,朝阳公园西里北区,2室1厅1厨1卫,顶层 (共6层),75.8㎡,平层,75.8㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-03-27,已购公房,2008-10-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
朝阳,农展馆,92,50,602,76992元/平米,枣营南里,3室1厅1厨1卫,低楼层 (共6层),78.19㎡,平层,69㎡,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-23,商品房,2013-11-01,普通住宅,满两年,共有,无抵押,已上传房本照片,10,null
朝阳,农展馆,26,17,1225,80044元/平米,清境明湖,2室1厅1厨2卫,中楼层 (共10层),153.04㎡,暂无数据,暂无数据,板塔结合,东 南 西,钢混结构,精装,一梯一户,集中供暖,有,70年,null,null,null,2017-08-16,商品房,2009-04-15,公寓,满五年,非共有,有抵押 350万元 中信银行 客户偿还,已上传房本照片,7,null
