城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
朝阳,劲松,56,62,515,59195元/平米,农光东里,2室1厅1厨1卫,低楼层 (共18层),87㎡,平层,69.53㎡,塔楼,西南,钢混结构,简装,两梯十户,集中供暖,有,70年,null,null,null,2017-05-05,私产,2005-01-31,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,距离10号线潘家园站849米
朝阳,劲松,77,17,292,62945元/平米,农光里,2室1厅1厨1卫,底层 (共5层),46.39㎡,暂无数据,暂无数据,板楼,西南,混合结构,毛坯,一梯四户,集中供暖,无,70年,null,null,null,2017-09-01,已购公房,2004-09-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,9,null
朝阳,劲松,98,36,830,63553元/平米,华腾园,3室1厅1厨2卫,低楼层 (共28层),130.6㎡,平层,108.28㎡,塔楼,南 西 北,钢混结构,简装,三梯十户,集中供暖,有,70年,null,null,null,2017-07-12,商品房,2012-05-04,普通住宅,满五年,非共有,有抵押 500万元 业主自还,已上传房本照片,4,null
朝阳,劲松,109,18,485,57959元/平米,农光里,3室1厅1厨1卫,底层 (共12层),83.68㎡,暂无数据,65.38㎡,板塔结合,南,钢混结构,毛坯,两梯十户,集中供暖,有,70年,null,null,null,2017-08-30,私产,2003-09-15,普通住宅,满五年,非共有,有抵押 8万元 建设银行 业主自还,已上传房本照片,12,null
朝阳,劲松,271,124,507,63709元/平米,农光里,3室1厅1厨1卫,中楼层 (共23层),79.58㎡,平层,暂无数据,塔楼,南 北,钢混结构,精装,两梯十户,集中供暖,有,70年,null,null,null,2017-06-12,已购公房,2013-10-29,普通住宅,满两年,非共有,无抵押,已上传房本照片,14,null
朝阳,劲松,88,28,330,61395元/平米,劲松三区,2室1厅1厨1卫,顶层 (共6层),53.75㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-18,商品房,2013-04-01,普通住宅,满两年,非共有,无抵押,已上传房本照片,7,null
朝阳,劲松,39,10,500,60038元/平米,农光东里,3室1厅1厨1卫,中楼层 (共18层),83.28㎡,平层,64㎡,塔楼,西南 北,钢混结构,简装,两梯十户,集中供暖,有,70年,null,null,null,2017-08-20,商品房,2012-03-28,普通住宅,满五年,共有,有抵押,已上传房本照片,2,null
朝阳,劲松,102,30,416,65030元/平米,农光东里,2室1厅1厨1卫,低楼层 (共18层),63.97㎡,暂无数据,60㎡,塔楼,西,钢混结构,简装,两梯十户,集中供暖,有,70年,null,null,null,2017-08-18,已购公房,2006-03-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
朝阳,劲松,170,48,430,63300元/平米,农光里,2室1厅1厨1卫,高楼层 (共23层),67.93㎡,平层,52.36㎡,塔楼,西,钢混结构,简装,两梯十户,集中供暖,有,70年,null,null,null,2017-05-24,已购公房,1999-09-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
朝阳,劲松,209,163,950,73913元/平米,华腾园,3室2厅1厨2卫,中楼层 (共28层),128.53㎡,平层,107.94㎡,塔楼,西南,钢混结构,精装,三梯十户,集中供暖,有,70年,null,null,null,2017-03-24,商品房,2006-08-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
朝阳,劲松,265,20,360,53603元/平米,农光里,2室1厅1厨1卫,高楼层 (共6层),67.16㎡,平层,45.1㎡,板楼,东 西,钢混结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-06-22,商品房,2009-12-30,普通住宅,满五年,非共有,有抵押 180万元 招商 客户偿还,已上传房本照片,1,null
朝阳,劲松,58,13,849,65257元/平米,华腾园,3室2厅1厨2卫,中楼层 (共28层),130.1㎡,暂无数据,108.28㎡,塔楼,东 南 北,钢混结构,简装,三梯十户,集中供暖,有,70年,null,null,null,2017-08-30,私产,2006-04-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
朝阳,劲松,14,10,520,64356元/平米,农光东里,3室1厅1厨1卫,高楼层 (共18层),80.8㎡,暂无数据,1㎡,塔楼,东南 西北,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-09-05,已购公房,2003-04-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,10,null
朝阳,劲松,27,6,700,71225元/平米,华腾园,2室2厅1厨1卫,低楼层 (共28层),98.28㎡,平层,82.15㎡,塔楼,东,钢混结构,精装,三梯十户,集中供暖,有,70年,null,null,null,2017-09-04,私产,2001-12-07,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
朝阳,劲松,31,4,365,62812元/平米,农光南里,2室1厅1厨1卫,低楼层 (共17层),58.11㎡,暂无数据,44㎡,塔楼,西北,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-09-05,已购公房,2010-06-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
朝阳,劲松,60,3,580,52489元/平米,农光里,2室2厅1厨1卫,中楼层 (共14层),110.5㎡,暂无数据,84.97㎡,板塔结合,东 西,钢混结构,简装,三梯两户,集中供暖,有,70年,null,null,null,2017-08-29,私产,2002-05-26,普通住宅,满五年,非共有,有抵押 450万元 个人 公司垫资,已上传房本照片,2,null
朝阳,劲松,105,55,723,72257元/平米,华腾园,2室1厅1厨1卫,低楼层 (共28层),100.06㎡,平层,82.3㎡,板塔结合,东南,钢混结构,精装,三梯十户,集中供暖,有,70年,null,null,null,2017-06-12,商品房,2011-07-25,普通住宅,满五年,非共有,有抵押 120万元 农业银行丰台支行 业主自还,已上传房本照片,1,null
朝阳,劲松,231,58,520,57389元/平米,农光里,2室1厅1厨1卫,高楼层 (共14层),90.61㎡,平层,69.67㎡,板塔结合,东 西,钢混结构,精装,三梯两户,集中供暖,有,70年,null,null,null,2017-03-09,商品房,2009-12-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
朝阳,劲松,223,48,463,64873元/平米,劲松南路,2室1厅1厨1卫,底层 (共18层),71.37㎡,暂无数据,50.54㎡,塔楼,东南,钢混结构,简装,两梯十户,集中供暖,有,70年,null,null,null,2017-05-05,已购公房,2001-12-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
朝阳,劲松,251,91,410,62893元/平米,劲松南路,2室1厅1厨1卫,高楼层 (共18层),65.19㎡,暂无数据,暂无数据,塔楼,西南,钢混结构,简装,两梯十户,集中供暖,有,70年,null,null,null,2017-03-17,已购公房,2001-02-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,12,null
朝阳,劲松,194,14,240,64395元/平米,农光里,1室1厅1厨1卫,底层 (共5层),37.27㎡,暂无数据,28㎡,板楼,南,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-09-02,已购公房,2001-05-31,普通住宅,满五年,非共有,无抵押,已上传房本照片,10,null
朝阳,劲松,26,1,428,62300元/平米,农光东里,2室1厅1厨1卫,顶层 (共6层),68.7㎡,暂无数据,46.63㎡,板楼,东 西,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-09-04,已购公房,2009-12-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
朝阳,劲松,25,30,320,65587元/平米,富顿,1室0厅1厨1卫,高楼层 (共23层),48.79㎡,暂无数据,39.37㎡,塔楼,东南,钢混结构,精装,三梯十七户,自供暖,有,70年,null,null,null,2017-08-12,商品房,2015-08-26,公寓,满两年,非共有,有抵押 90万元 工商银行 业主自还,已上传房本照片,8,null
朝阳,劲松,116,34,870,75586元/平米,华腾园,3室2厅1厨2卫,低楼层 (共28层),115.1㎡,平层,96.21㎡,塔楼,西南,钢混结构,精装,三梯十户,集中供暖,有,70年,null,null,null,2017-07-01,私产,2009-01-24,普通住宅,满五年,非共有,有抵押 90万元 邮政储蓄银行,已上传房本照片,2,null
朝阳,劲松,28,20,720,71957元/平米,华腾园,2室1厅1厨1卫,低楼层 (共28层),100.06㎡,平层,82.3㎡,板塔结合,西,钢混结构,其他,三梯十户,集中供暖,有,70年,null,null,null,2017-07-01,商品房,2009-05-20,普通住宅,满五年,非共有,有抵押 50万元 招商银行 业主自还,已上传房本照片,2,null
朝阳,劲松,103,40,800,54281元/平米,紫东苑,3室2厅1厨2卫,低楼层 (共22层),147.38㎡,暂无数据,121.96㎡,塔楼,东北,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-04-03,私产,2004-06-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
朝阳,劲松,309,31,440,54207元/平米,武圣东里,3室1厅1厨1卫,顶层 (共6层),81.17㎡,平层,70㎡,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-04-03,已购公房,2002-03-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
朝阳,劲松,169,70,673,66000元/平米,建业苑,3室2厅1厨2卫,中楼层 (共7层),101.97㎡,暂无数据,101.97㎡,板楼,东 南 北,砖混结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-01-09,已购公房,2001-10-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
朝阳,劲松,159,7,363,59852元/平米,劲松南路,2室2厅1厨1卫,底层 (共18层),60.65㎡,暂无数据,43.17㎡,塔楼,西南,钢混结构,简装,两梯十户,集中供暖,有,70年,null,null,null,2017-08-07,已购公房,2001-01-11,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
朝阳,劲松,613,48,365,57435元/平米,武圣西里,2室1厅1厨1卫,高楼层 (共6层),63.55㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯三户,暂无数据,暂无数据,70年,null,null,null,2017-07-10,已购公房,2007-07-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
朝阳,劲松,22,9,416,59934元/平米,武圣东里,2室2厅1厨1卫,中楼层 (共6层),69.41㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-09-08,商品房,2013-11-21,普通住宅,满两年,非共有,有抵押 57万元 交通银行 客户偿还,已上传房本照片,9,距离10号线双井站805米
朝阳,劲松,91,8,680,57696元/平米,建业苑,3室2厅1厨2卫,顶层 (共6层),117.86㎡,暂无数据,暂无数据,板楼,东 西,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-22,商品房,2009-09-28,普通住宅,满五年,非共有,有抵押 60万元 民生银行 业主自还,已上传房本照片,1,null
朝阳,劲松,53,29,920,76801元/平米,华腾园,3室2厅1厨2卫,低楼层 (共26层),119.79㎡,平层,101.21㎡,塔楼,东南,钢混结构,精装,三梯十二户,集中供暖,有,70年,null,null,null,2017-05-13,私产,2002-07-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,劲松,121,43,870,66872元/平米,华腾园,2室1厅1厨2卫,中楼层 (共28层),130.1㎡,平层,108.28㎡,塔楼,北,钢混结构,精装,三梯十户,集中供暖,有,70年,null,null,null,2016-12-08,私产,2002-06-19,普通住宅,满五年,非共有,有抵押 80万元 北京银行,已上传房本照片,0,null
朝阳,劲松,8,7,500,64733元/平米,建业苑,2室1厅1厨1卫,中楼层 (共7层),77.24㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-20,已购公房,2001-02-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
朝阳,劲松,84,8,380,58273元/平米,武圣东里,2室1厅1厨1卫,高楼层 (共6层),65.21㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-21,商品房,2012-08-31,普通住宅,满五年,共有,有抵押 55万元 工商银行 客户偿还,已上传房本照片,4,null
朝阳,劲松,33,2,375,60916元/平米,垂杨柳北里,3室1厅1厨1卫,高楼层 (共6层),61.56㎡,暂无数据,43.33㎡,板楼,南 北,砖混结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-27,已购公房,1979-08-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,劲松,72,27,365,61812元/平米,劲松三区,2室1厅1厨1卫,顶层 (共12层),59.05㎡,暂无数据,41㎡,板塔结合,南,混合结构,精装,一梯三户,集中供暖,有,70年,null,null,null,2017-07-14,商品房,2017-07-06,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,9,null
朝阳,劲松,37,0,455,61888元/平米,劲松三区,3室1厅1厨1卫,中楼层 (共16层),73.52㎡,暂无数据,47㎡,塔楼,东北,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-08-14,已购公房,2011-05-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,劲松,35,12,468,62886元/平米,农光里,2室1厅1厨1卫,高楼层 (共12层),74.42㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,简装,两梯十户,集中供暖,有,70年,null,null,null,2017-08-27,已购公房,2001-02-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
朝阳,劲松,40,11,750,72499元/平米,华腾园,2室2厅1厨1卫,中楼层 (共25层),103.45㎡,暂无数据,87.32㎡,塔楼,东南,钢混结构,简装,三梯十二户,集中供暖,有,70年,null,null,null,2017-06-11,商品房,2002-08-07,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,劲松,9,10,415,65385元/平米,农光东里,2室1厅1厨1卫,高楼层 (共6层),63.47㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-10,商品房,2012-06-29,普通住宅,满五年,共有,无抵押,已上传房本照片,2,null
朝阳,劲松,58,8,398,58911元/平米,武圣西里,3室1厅1厨1卫,底层 (共6层),67.56㎡,暂无数据,44.98㎡,板楼,南 西 北,混合结构,简装,一梯三户,暂无数据,暂无数据,70年,null,null,null,2017-08-09,已购公房,2000-04-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
朝阳,劲松,174,61,310,79835元/平米,富顿,1室0厅1厨1卫,高楼层 (共23层),38.83㎡,平层,31.33㎡,塔楼,南,钢混结构,简装,三梯十七户,自供暖,有,70年,null,null,null,2017-04-19,商品房,2013-01-22,普通住宅,满两年,非共有,无抵押,已上传房本照片,6,null
朝阳,劲松,107,48,467,61969元/平米,农光里,2室1厅1厨1卫,高楼层 (共13层),75.36㎡,暂无数据,55.59㎡,板塔结合,东 南,钢混结构,精装,一梯十户,集中供暖,有,70年,null,null,null,2017-04-09,商品房,2017-02-21,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,9,null
朝阳,劲松,84,1,915,79496元/平米,华腾园,3室1厅1厨2卫,高楼层 (共28层),115.1㎡,平层,96.21㎡,塔楼,西南,钢混结构,简装,三梯十户,集中供暖,有,70年,null,null,null,2017-04-07,私产,2005-10-19,普通住宅,满五年,非共有,暂无数据,已上传房本照片,0,null
朝阳,劲松,178,24,350,59132元/平米,劲松三区,2室1厅1厨1卫,中楼层 (共12层),59.19㎡,平层,暂无数据,板塔结合,东 西,钢混结构,简装,一梯三户,集中供暖,有,70年,null,null,null,2017-03-20,商品房,2005-10-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,劲松,30,0,650,49847元/平米,农光里,3室2厅1厨1卫,中楼层 (共14层),130.4㎡,平层,100.27㎡,板塔结合,东 西,钢混结构,精装,三梯两户,集中供暖,有,70年,null,null,null,2017-09-07,商品房,2014-01-17,普通住宅,满两年,非共有,有抵押 200万元 银行 业主自还,已上传房本照片,0,null
朝阳,劲松,55,34,529,57400元/平米,农光东里,2室1厅1厨1卫,底层 (共14层),92.16㎡,暂无数据,63.22㎡,板塔结合,东 西,钢混结构,简装,三梯两户,集中供暖,有,70年,null,null,null,2017-06-10,已购公房,2002-03-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
朝阳,劲松,185,68,330,57451元/平米,武圣东里,2室1厅1厨1卫,中楼层 (共6层),57.44㎡,暂无数据,40.95㎡,板楼,东 西,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-06-17,已购公房,2000-09-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
朝阳,劲松,48,26,420,57899元/平米,农光南里,2室1厅1厨1卫,高楼层 (共6层),72.54㎡,暂无数据,暂无数据,板楼,东 西,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-10,私产,2005-11-15,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
朝阳,劲松,40,4,350,61029元/平米,农光东里,1室1厅1厨1卫,高楼层 (共6层),57.35㎡,暂无数据,44.65㎡,板楼,东,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-09-02,商品房,2009-05-05,普通住宅,满五年,非共有,有抵押 33万元 交通银行 业主自还,已上传房本照片,3,null
朝阳,劲松,121,9,369,58646元/平米,武圣东里,2室1厅1厨1卫,中楼层 (共6层),62.92㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-23,商品房,2014-11-26,普通住宅,满两年,共有,无抵押,已上传房本照片,4,null
朝阳,劲松,71,5,680,77901元/平米,华腾园,2室1厅1厨1卫,底层 (共28层),87.29㎡,平层,73.3㎡,塔楼,西南,钢混结构,毛坯,三梯十户,集中供暖,有,70年,null,null,null,2016-10-10,私产,2003-06-19,普通住宅,满五年,非共有,有抵押 150万元 中信银行 客户偿还,已上传房本照片,0,null
朝阳,劲松,77,6,520,59998元/平米,农光东里,2室1厅1厨1卫,低楼层 (共18层),86.67㎡,暂无数据,1㎡,塔楼,东南,钢混结构,简装,两梯十户,集中供暖,有,70年,null,null,null,2017-04-05,已购公房,2001-09-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,劲松,39,4,830,64073元/平米,华腾园,3室1厅1厨2卫,高楼层 (共28层),129.54㎡,暂无数据,108.28㎡,塔楼,东南 北,钢混结构,简装,三梯十户,集中供暖,有,70年,null,null,null,2017-07-08,私产,2001-12-07,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
朝阳,劲松,87,14,430,57395元/平米,劲松八区,3室1厅1厨1卫,中楼层 (共16层),74.92㎡,暂无数据,暂无数据,塔楼,东北,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-07-02,已购公房,2000-06-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
朝阳,劲松,121,23,660,50267元/平米,建业苑,3室2厅1厨1卫,高楼层 (共7层),131.3㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-09,已购公房,2013-08-19,普通住宅,满两年,非共有,无抵押,已上传房本照片,2,null
朝阳,劲松,110,25,489,64992元/平米,建业苑,2室1厅1厨1卫,中楼层 (共7层),75.24㎡,暂无数据,56.4㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-04-23,已购公房,2001-02-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
朝阳,劲松,104,46,760,72429元/平米,华腾园,2室2厅1厨1卫,中楼层 (共25层),104.93㎡,平层,88.57㎡,塔楼,东南 北,钢混结构,精装,三梯十二户,集中供暖,有,70年,null,null,null,2017-03-24,商品房,2006-06-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
朝阳,劲松,300,16,316,59860元/平米,劲松五区,2室1厅1厨1卫,顶层 (共6层),52.79㎡,暂无数据,暂无数据,板楼,南,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-06-17,商品房,2013-11-20,普通住宅,满两年,非共有,无抵押,已上传房本照片,2,距离10号线劲松站486米
朝阳,劲松,16,8,820,56747元/平米,建业苑,3室2厅1厨2卫,高楼层 (共17层),144.5㎡,暂无数据,118.95㎡,塔楼,西南,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-08-08,私产,2003-09-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,劲松,79,56,495,77671元/平米,华腾园,1室1厅1厨1卫,中楼层 (共26层),63.73㎡,平层,53.84㎡,塔楼,北,钢混结构,精装,三梯十二户,集中供暖,有,70年,null,null,null,2017-02-06,商品房,2009-07-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
朝阳,劲松,73,0,380,62696元/平米,农光里,2室1厅1厨1卫,顶层 (共6层),60.61㎡,暂无数据,40.49㎡,板楼,南,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-22,商品房,2010-11-08,普通住宅,满五年,非共有,有抵押 60万元 公积金 客户偿还,已上传房本照片,0,null
朝阳,劲松,41,7,700,62825元/平米,建业苑,4室1厅1厨2卫,高楼层 (共7层),111.42㎡,平层,83㎡,板楼,东 西,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-03-15,已购公房,2001-02-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,劲松,186,10,480,59590元/平米,武圣东里,3室1厅1厨1卫,低楼层 (共16层),80.55㎡,暂无数据,暂无数据,塔楼,南 北,钢混结构,精装,两梯七户,集中供暖,有,70年,null,null,null,2017-05-17,已购公房,2005-05-11,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,劲松,116,9,365,62877元/平米,农光东里,2室1厅1厨1卫,高楼层 (共6层),58.05㎡,平层,40.02㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-14,商品房,2011-05-10,普通住宅,满五年,非共有,有抵押 40万元 工商银行 业主自还,已上传房本照片,1,null
朝阳,劲松,6,1,385,63104元/平米,农光南里,2室1厅1厨1卫,低楼层 (共16层),61.01㎡,暂无数据,暂无数据,塔楼,东南,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-07-27,商品房,2011-02-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
朝阳,劲松,91,14,382,59931元/平米,农光南路,2室1厅1厨1卫,底层 (共4层),63.74㎡,暂无数据,47.82㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-07,已购公房,2009-04-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
朝阳,劲松,9,2,365,61760元/平米,劲松二区,2室1厅1厨1卫,顶层 (共6层),59.1㎡,暂无数据,41.6㎡,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-26,商品房,2013-12-16,普通住宅,满两年,非共有,无抵押,已上传房本照片,1,null
