城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
朝阳,北工大,107,18,350,63799元/平米,磨房北里,2室1厅1厨1卫,高楼层 (共6层),54.86㎡,平层,50㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,暂无数据,70年,null,null,null,2017-08-21,商品房,2009-05-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,距离14号线(东段)北工大西门站847米
朝阳,北工大,69,2,1217,89995元/平米,禧福汇,3室1厅1厨2卫,高楼层 (共20层),135.23㎡,平层,107.14㎡,板塔结合,南,钢混结构,精装,两梯三户,集中供暖,有,70年,null,null,null,2017-06-26,商品房,2010-04-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
朝阳,北工大,41,2,1220,87355元/平米,禧福汇,3室1厅1厨2卫,高楼层 (共20层),139.66㎡,暂无数据,110.65㎡,板塔结合,南 北,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-08-30,商品房,2010-06-28,普通住宅,满五年,非共有,有抵押 150万元 招商银行 客户偿还,已上传房本照片,1,null
朝阳,北工大,59,52,450,64879元/平米,磨房北里,3室1厅1厨1卫,中楼层 (共18层),69.36㎡,暂无数据,49.71㎡,塔楼,西北 东北,钢混结构,简装,两梯七户,集中供暖,有,70年,null,null,null,2017-06-10,已购公房,2017-06-09,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,2,null
朝阳,北工大,147,45,845,81824元/平米,禧福汇,2室2厅1厨1卫,低楼层 (共20层),103.27㎡,平层,83.01㎡,板塔结合,东南,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-05-17,商品房,2010-06-18,普通住宅,满五年,非共有,有抵押 500万元 业主自还,已上传房本照片,3,null
朝阳,北工大,176,88,363,62879元/平米,磨房南里,2室1厅1厨1卫,中楼层 (共6层),57.73㎡,暂无数据,暂无数据,板楼,南 北,砖混结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-04-16,已购公房,2000-06-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
朝阳,北工大,74,6,529,64996元/平米,磨房北里,2室1厅1厨1卫,顶层 (共18层),81.39㎡,暂无数据,70㎡,塔楼,西北,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-07-21,商品房,2012-05-11,普通住宅,满五年,共有,无抵押,已上传房本照片,1,null
朝阳,北工大,13,17,267,62339元/平米,磨房南里,1室1厅1厨1卫,底层 (共6层),42.83㎡,暂无数据,暂无数据,板楼,南,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-13,已购公房,2005-02-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,10,null
朝阳,北工大,22,2,343,59986元/平米,潘道庙,1室1厅1厨1卫,底层 (共6层),57.18㎡,暂无数据,52.35㎡,板楼,南,钢混结构,精装,一梯四户,集中供暖,无,70年,null,null,null,2017-08-28,一类经济适用房,2007-11-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,北工大,68,4,280,59804元/平米,平乐园小区,1室1厅1厨1卫,顶层 (共6层),46.82㎡,暂无数据,暂无数据,板楼,南 北,砖混结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-09-03,商品房,2010-12-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
