城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
朝阳,十八里店,16,4,425,45184元/平米,鸿博家园六区,2室1厅1厨1卫,高楼层 (共6层),94.06㎡,暂无数据,81.88㎡,板楼,南 北,混合结构,简装,一梯两户,自供暖,无,70年,null,null,null,2017-08-31,商品房,2012-07-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
朝阳,十八里店,136,26,300,47491元/平米,君堂好园,1室1厅1厨1卫,中楼层 (共6层),63.17㎡,平层,54.86㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-20,商品房,2009-12-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,十八里店,34,2,454,51892元/平米,恋日绿岛,2室1厅1厨1卫,中楼层 (共16层),87.49㎡,平层,70.19㎡,塔楼,西南,钢混结构,简装,两梯六户,集中供暖,有,70年,null,null,null,2017-08-11,商品房,2012-01-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,十八里店,477,73,335,49666元/平米,君堂好园,2室1厅1厨1卫,高楼层 (共6层),67.45㎡,平层,59㎡,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-02-04,商品房,2008-08-23,普通住宅,满五年,非共有,有抵押 业主自还,已上传房本照片,0,null
朝阳,十八里店,53,8,579,47658元/平米,恋日绿岛,3室1厅1厨1卫,中楼层 (共16层),121.49㎡,暂无数据,97.47㎡,板塔结合,南 北,钢混结构,精装,两梯六户,集中供暖,有,70年,null,null,null,2017-06-05,私产,2007-01-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,十八里店,5,0,471.9,50000元/平米,鸿博家园六区,2室2厅1厨1卫,低楼层 (共6层),94.38㎡,暂无数据,83.23㎡,板楼,南 北,混合结构,简装,一梯两户,自供暖,无,70年,null,null,null,2017-08-14,商品房,2012-02-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,十八里店,30,5,460,48739元/平米,鸿博家园六区,2室1厅1厨1卫,低楼层 (共6层),94.38㎡,暂无数据,82.31㎡,板楼,南 北,混合结构,其他,一梯两户,自供暖,无,70年,null,null,null,2017-06-02,二类经济适用房,2010-02-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,十八里店,32,2,540,44780元/平米,燕归宁馨园,3室2厅1厨2卫,高楼层 (共6层),120.59㎡,暂无数据,109.18㎡,板楼,南 北,砖混结构,简装,一梯两户,自供暖,无,70年,null,null,null,2017-08-16,私产,2006-10-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
朝阳,十八里店,57,2,330,46564元/平米,世豪花园,2室1厅1厨1卫,顶层 (共2层),70.87㎡,平层,62.07㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-06-22,商品房,2010-06-08,普通住宅,满五年,非共有,有抵押 30万元 业主自还,已上传房本照片,0,null
朝阳,十八里店,331,20,500,41463元/平米,燕归宁馨园,3室2厅1厨2卫,顶层 (共6层),120.59㎡,平层,109.18㎡,板楼,南 北,砖混结构,简装,一梯两户,自供暖,无,70年,null,null,null,2017-02-11,商品房,2006-10-27,普通住宅,满五年,非共有,有抵押 15万元 业主自还,已上传房本照片,0,null
