城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
朝阳,双井,43,42,1010,102496元/平米,富力城A区,2室1厅1厨2卫,低楼层 (共28层),98.54㎡,暂无数据,81.41㎡,板塔结合,东北,钢混结构,精装,两梯六户,集中供暖,有,70年,null,null,null,2017-08-16,私产,2007-07-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,10,距离10号线双井站543米
朝阳,双井,25,28,535,87950元/平米,苹果社区南区,1室1厅1厨1卫,低楼层 (共26层),60.83㎡,平层,49.91㎡,板塔结合,北,钢混结构,精装,两梯七户,集中供暖,有,70年,null,null,null,2017-08-26,商品房,2009-09-15,普通住宅,满五年,非共有,有抵押 50万元 中信银行 客户偿还,已上传房本照片,17,null
朝阳,双井,86,70,738,68428元/平米,九龙花园,2室2厅1厨1卫,中楼层 (共23层),107.85㎡,平层,87.16㎡,塔楼,西,钢混结构,精装,三梯十三户,集中供暖,有,70年,null,null,null,2017-05-07,私产,2004-12-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,10,null
朝阳,双井,70,45,920,67227元/平米,双花园南里一区,3室1厅1厨1卫,低楼层 (共22层),136.85㎡,平层,112.02㎡,塔楼,东南,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-06-21,商品房,2011-08-25,普通住宅,满五年,非共有,有抵押 80万元,已上传房本照片,8,null
朝阳,双井,72,38,995,94997元/平米,合生国际花园,2室2厅1厨2卫,高楼层 (共18层),104.74㎡,暂无数据,84.81㎡,板楼,南,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-07-05,商品房,2011-01-26,普通住宅,满五年,非共有,有抵押,已上传房本照片,7,null
朝阳,双井,80,48,825,85884元/平米,苹果社区南区,2室1厅1厨1卫,低楼层 (共22层),96.06㎡,平层,78.21㎡,板塔结合,南,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-06-28,商品房,2009-01-08,普通住宅,满五年,共有,有抵押 260万元 银行 客户偿还,已上传房本照片,12,null
朝阳,双井,88,73,880,80690元/平米,时代国际嘉园,2室2厅1厨1卫,低楼层 (共21层),109.06㎡,平层,84.81㎡,板楼,南,钢混结构,精装,两梯五户,集中供暖,有,70年,null,null,null,2017-05-20,商品房,2009-04-07,普通住宅,满五年,非共有,无抵押,已上传房本照片,15,null
朝阳,双井,333,216,850,91427元/平米,富力城A区,2室1厅1厨1卫,低楼层 (共18层),92.97㎡,平层,74.6㎡,板塔结合,南 北,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-04-23,私产,2004-11-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,双井,30,11,1099,101020元/平米,乐成国际,2室2厅1厨1卫,高楼层 (共16层),108.79㎡,暂无数据,89.33㎡,板塔结合,南,钢混结构,其他,两梯四户,集中供暖,有,70年,null,null,null,2017-08-28,私产,2008-05-08,普通住宅,满五年,非共有,暂无数据,已上传房本照片,3,null
朝阳,双井,65,33,665,69919元/平米,苹果社区北区,3室1厅1厨1卫,高楼层 (共33层),95.11㎡,暂无数据,77.18㎡,塔楼,东北,钢混结构,精装,四梯十二户,集中供暖,有,70年,null,null,null,2017-03-01,商品房,2009-11-17,普通住宅,满五年,非共有,有抵押 60万元 兴业银行 客户偿还,已上传房本照片,2,null
朝阳,双井,70,56,1080,99329元/平米,乐成国际,2室2厅1厨1卫,低楼层 (共21层),108.73㎡,暂无数据,89.4㎡,板楼,南,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-07-25,商品房,2007-12-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
朝阳,双井,93,45,908,97761元/平米,A派公寓,2室1厅1厨1卫,中楼层 (共16层),92.88㎡,平层,76.97㎡,板塔结合,南,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-08-14,商品房,2011-11-16,普通住宅,满五年,非共有,有抵押 70万元 中信银行 业主自还,已上传房本照片,8,null
朝阳,双井,160,106,605,63152元/平米,百环家园,2室1厅1厨1卫,中楼层 (共28层),95.8㎡,平层,79.37㎡,塔楼,西南,钢混结构,简装,四梯十二户,集中供暖,有,70年,null,null,null,2017-06-12,一类经济适用房,2006-11-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
朝阳,双井,53,47,3080,111712元/平米,富力城D区,4室2厅1厨3卫,高楼层 (共17层),275.71㎡,平层,232.95㎡,板楼,东南 北,钢混结构,精装,两梯两户,集中供暖,有,70年,null,null,null,2017-05-13,商品房,2009-11-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
朝阳,双井,3,5,968,79921元/平米,天之骄子,2室1厅1厨2卫,中楼层 (共17层),121.12㎡,平层,97.61㎡,板塔结合,东 西,钢混结构,精装,两梯六户,集中供暖,有,70年,null,null,null,2017-07-03,商品房,2010-06-02,普通住宅,满五年,共有,无抵押,已上传房本照片,0,null
朝阳,双井,117,136,1179,102969元/平米,富力城C区,2室1厅1厨2卫,中楼层 (共16层),114.5㎡,暂无数据,94.64㎡,板塔结合,西南,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-04-23,私产,2006-07-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
朝阳,双井,17,10,1750,102802元/平米,富力城C区,3室2厅1厨2卫,低楼层 (共17层),170.23㎡,平层,145.25㎡,板塔结合,南,钢混结构,精装,两梯三户,集中供暖,有,70年,null,null,null,2017-07-30,私产,2006-01-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
