城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
朝阳,团结湖,243,89,399,71957元/平米,团结湖北头条,2室1厅1厨1卫,低楼层 (共6层),55.45㎡,暂无数据,暂无数据,板楼,南,钢混结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-31,商品房,2011-01-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,43,距离10号线团结湖站572米
朝阳,团结湖,58,11,346,69899元/平米,团结湖路,2室1厅1厨1卫,低楼层 (共10层),49.5㎡,暂无数据,38.2㎡,板塔结合,东,钢混结构,简装,一梯四户,集中供暖,有,70年,null,null,null,2017-08-28,私产,2004-05-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
朝阳,团结湖,63,55,588,74895元/平米,团结湖北四条,3室1厅1厨1卫,中楼层 (共18层),78.51㎡,暂无数据,60㎡,塔楼,东南,钢混结构,精装,两梯六户,集中供暖,有,70年,null,null,null,2017-07-30,央产房,2003-04-15,普通住宅,满五年,非共有,无抵押,已上传房本照片,51,null
朝阳,团结湖,53,6,398,72907元/平米,水碓子西里,2室1厅1厨1卫,高楼层 (共12层),54.59㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,一梯八户,集中供暖,有,70年,null,null,null,2017-08-26,已购公房,1999-08-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
朝阳,团结湖,179,151,399,73999元/平米,团结湖中路南二条,2室1厅1厨1卫,中楼层 (共6层),53.92㎡,暂无数据,37.9㎡,板楼,南,钢混结构,精装,一梯五户,集中供暖,无,70年,null,null,null,2017-05-14,商品房,2009-09-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
朝阳,团结湖,43,15,585,74513元/平米,团结湖北四条,3室1厅1厨1卫,顶层 (共18层),78.51㎡,暂无数据,56.05㎡,塔楼,东南,钢混结构,精装,两梯六户,集中供暖,有,70年,null,null,null,2017-08-26,商品房,2012-04-11,普通住宅,满五年,共有,有抵押 70万元 建设银行 业主自还,已上传房本照片,9,null
朝阳,团结湖,149,45,377,71960元/平米,团结湖北三条,2室1厅1厨1卫,低楼层 (共12层),52.39㎡,暂无数据,50㎡,板楼,南,钢混结构,简装,一梯四户,集中供暖,有,70年,null,null,null,2017-07-03,已购公房,2006-04-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
朝阳,团结湖,25,6,530,71855元/平米,团结湖东里,2室1厅1厨1卫,中楼层 (共16层),73.76㎡,暂无数据,51.2㎡,塔楼,南,钢混结构,毛坯,两梯七户,集中供暖,有,70年,null,null,null,2017-08-29,已购公房,2000-02-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
朝阳,团结湖,109,132,520,77740元/平米,团结湖北里,3室1厅1厨1卫,低楼层 (共12层),66.89㎡,暂无数据,47.63㎡,塔楼,南 北,钢混结构,简装,一梯六户,集中供暖,有,70年,null,null,null,2017-08-06,央产房,2009-11-07,普通住宅,满五年,共有,无抵押,已上传房本照片,16,null
朝阳,团结湖,103,20,350,65225元/平米,团结湖南里,2室1厅1厨1卫,顶层 (共5层),53.66㎡,暂无数据,暂无数据,板楼,东 西,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-06-23,已购公房,2015-01-07,普通住宅,满两年,非共有,无抵押,已上传房本照片,2,null
朝阳,团结湖,221,30,490,64145元/平米,白家庄东里,3室2厅1厨1卫,低楼层 (共6层),76.39㎡,暂无数据,57.2㎡,板楼,东 西,钢混结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-05-13,央产房,1995-09-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
朝阳,团结湖,58,174,430,74074元/平米,水碓子西里,2室1厅1厨1卫,低楼层 (共12层),58.05㎡,暂无数据,暂无数据,板塔结合,东南,钢混结构,简装,一梯八户,集中供暖,有,70年,null,null,null,2017-05-26,已购公房,1999-08-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,12,null
朝阳,团结湖,83,50,625,69918元/平米,团结湖北五条,2室1厅1厨1卫,高楼层 (共18层),89.39㎡,暂无数据,暂无数据,塔楼,西,钢混结构,简装,两梯十户,集中供暖,有,70年,null,null,null,2017-06-02,已购公房,2002-02-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,团结湖,216,49,750,61475元/平米,团结湖公寓,3室1厅1厨2卫,底层 (共21层),122㎡,暂无数据,101.27㎡,塔楼,南,钢混结构,简装,两梯六户,自供暖,有,70年,null,null,null,2017-07-16,私产,2006-12-13,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
朝阳,团结湖,38,20,470,73277元/平米,团结湖公寓,1室1厅1厨1卫,中楼层 (共21层),64.14㎡,暂无数据,51.56㎡,塔楼,西北,钢混结构,精装,两梯十二户,自供暖,有,70年,null,null,null,2017-08-27,商品房,2010-02-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,9,null
朝阳,团结湖,162,38,410,67601元/平米,团结湖路,2室1厅1厨1卫,顶层 (共6层),60.65㎡,暂无数据,45㎡,板楼,南 北,钢混结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-06-05,商品房,2010-03-31,普通住宅,满五年,非共有,有抵押 48万元 北京银行 业主自还,已上传房本照片,1,null
朝阳,团结湖,77,11,1400,49995元/平米,中海紫荆豪庭,4室2厅1厨2卫,高楼层 (共30层),280.03㎡,暂无数据,226.5㎡,塔楼,西南 西,钢混结构,简装,三梯八户,集中供暖,有,70年,null,null,null,2017-06-23,私产,2008-07-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
朝阳,团结湖,133,102,630,72008元/平米,团结湖东里,3室2厅1厨1卫,高楼层 (共16层),87.49㎡,暂无数据,66㎡,塔楼,西南,钢混结构,简装,两梯七户,集中供暖,有,70年,null,null,null,2017-07-17,已购公房,2017-07-07,普通住宅,暂无数据,共有,无抵押,已上传房本照片,3,null
朝阳,团结湖,83,35,410,71930元/平米,白家庄东里,2室1厅1厨1卫,中楼层 (共5层),57㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-06-09,商品房,2005-05-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,团结湖,68,29,450,73350元/平米,团结湖北四条,2室1厅1厨1卫,高楼层 (共6层),61.35㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-04-10,已购公房,2002-03-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,团结湖,82,7,465,72183元/平米,团结湖北三条,3室1厅1厨1卫,顶层 (共5层),64.42㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-06-29,已购公房,2000-06-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,团结湖,127,11,322,74901元/平米,团结湖中路北一条,2室1厅1厨1卫,中楼层 (共5层),42.99㎡,暂无数据,29.7㎡,板楼,南,砖混结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-20,已购公房,2013-10-21,普通住宅,满两年,非共有,无抵押,已上传房本照片,3,null
朝阳,团结湖,24,13,464,74851元/平米,团结湖中路南二条,2室1厅1厨1卫,中楼层 (共6层),61.99㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-20,已购公房,1999-08-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
朝阳,团结湖,56,1,473,69898元/平米,团结湖路,3室1厅1厨1卫,顶层 (共5层),67.67㎡,暂无数据,暂无数据,板楼,东 西,混合结构,其他,一梯三户,集中供暖,无,70年,null,null,null,2017-07-28,已购公房,2012-08-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,团结湖,8,5,412,74382元/平米,水碓子西里,2室1厅1厨1卫,高楼层 (共12层),55.39㎡,暂无数据,38.4㎡,板塔结合,南 北,钢混结构,简装,一梯八户,集中供暖,有,70年,null,null,null,2017-09-05,商品房,2015-08-03,普通住宅,满两年,非共有,无抵押,已上传房本照片,5,null
朝阳,团结湖,74,3,450,70170元/平米,团结湖北口,2室1厅1厨1卫,顶层 (共16层),64.13㎡,暂无数据,50㎡,塔楼,东南,钢混结构,简装,一梯八户,集中供暖,有,70年,null,null,null,2017-06-16,私产,2005-10-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
朝阳,团结湖,76,7,380,68778元/平米,团结湖北三条,2室1厅1厨1卫,高楼层 (共6层),55.25㎡,暂无数据,42.2㎡,板楼,南,钢混结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-29,商品房,2016-08-20,普通住宅,暂无数据,非共有,有抵押 86万元 建设银行 客户偿还,已上传房本照片,3,null
朝阳,团结湖,32,10,380,67508元/平米,团结湖中路北二条,3室1厅1厨1卫,顶层 (共5层),56.29㎡,暂无数据,39.9㎡,板楼,南 北,砖混结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-28,已购公房,2011-01-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
朝阳,团结湖,29,10,485,74938元/平米,团结湖路,2室1厅1厨1卫,低楼层 (共6层),64.72㎡,暂无数据,43㎡,板楼,东 西,钢混结构,其他,一梯三户,集中供暖,无,70年,null,null,null,2017-08-31,已购公房,1999-08-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
朝阳,团结湖,48,0,400,70759元/平米,团结湖路,2室1厅1厨1卫,中楼层 (共6层),56.53㎡,暂无数据,48㎡,板楼,东北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-06-08,已购公房,2002-03-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,团结湖,97,18,430,64857元/平米,水碓子社区,2室1厅1厨1卫,中楼层 (共5层),66.3㎡,暂无数据,暂无数据,板楼,东 西,钢混结构,其他,一梯三户,集中供暖,无,70年,null,null,null,2017-03-04,已购公房,2010-09-13,普通住宅,满五年,非共有,暂无数据,已上传房本照片,3,距离10号线团结湖站1065米
朝阳,团结湖,147,5,302,69924元/平米,团结湖南里,2室1厅1厨1卫,低楼层 (共15层),43.19㎡,暂无数据,暂无数据,板塔结合,东,钢混结构,简装,两梯七户,集中供暖,有,70年,null,null,null,2017-08-12,已购公房,2015-08-06,普通住宅,满两年,共有,暂无数据,已上传房本照片,0,null
朝阳,团结湖,64,4,405,66777元/平米,团结湖路,2室1厅1厨1卫,顶层 (共6层),60.65㎡,暂无数据,46.4㎡,板楼,东 西,钢混结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-30,私产,2008-01-07,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,团结湖,22,2,440,71954元/平米,团结湖北四条,2室1厅1厨1卫,高楼层 (共6层),61.15㎡,平层,61.15㎡,板楼,南 北,钢混结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-06,已购公房,1999-08-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,团结湖,180,8,387,69919元/平米,团结湖东里,1室1厅1厨1卫,底层 (共16层),55.35㎡,暂无数据,39.12㎡,塔楼,东北,钢混结构,精装,两梯七户,集中供暖,有,70年,null,null,null,2017-05-08,商品房,2012-07-20,普通住宅,满五年,非共有,有抵押 业主自还,已上传房本照片,0,null
朝阳,团结湖,24,3,472,74226元/平米,团结湖中路北一条,3室1厅1厨1卫,顶层 (共5层),63.59㎡,平层,暂无数据,板楼,南 北,砖混结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-06-21,私产,2006-08-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
朝阳,团结湖,9,1,550,70486元/平米,团结湖水利局宿舍,3室1厅1厨1卫,底层 (共6层),78.03㎡,暂无数据,54.91㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-25,商品房,2009-05-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,团结湖,147,8,380,74002元/平米,摩码大厦,1室1厅1厨1卫,中楼层 (共20层),51.35㎡,平层,39.88㎡,塔楼,南,钢混结构,精装,三梯三十五户,集中供暖,有,70年,null,null,null,2017-03-28,私产,2004-09-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,团结湖,11,4,450,71214元/平米,团结湖公寓,1室1厅1厨1卫,中楼层 (共21层),63.19㎡,暂无数据,50.8㎡,塔楼,北,钢混结构,精装,两梯十二户,自供暖,有,70年,null,null,null,2017-09-06,商品房,2017-03-07,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,4,null
朝阳,团结湖,88,14,377,74816元/平米,团结湖中路北二条,2室1厅1厨1卫,底层 (共5层),50.39㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-29,商品房,2015-07-01,普通住宅,满两年,非共有,有抵押 120万元 中国建设银行 客户偿还,已上传房本照片,2,null
朝阳,团结湖,35,23,380,71888元/平米,团结湖北口,2室1厅1厨1卫,中楼层 (共16层),52.86㎡,平层,45㎡,塔楼,西,钢混结构,毛坯,一梯八户,集中供暖,有,70年,null,null,null,2017-08-06,央产房,2017-06-13,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,5,null
朝阳,团结湖,43,2,410,70629元/平米,水碓子西里,2室1厅1厨1卫,低楼层 (共12层),58.05㎡,暂无数据,暂无数据,板塔结合,西南,钢混结构,简装,一梯八户,集中供暖,有,70年,null,null,null,2017-08-24,商品房,2009-04-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
