城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
朝阳,国展,61,31,378,69677元/平米,左家庄北里,2室1厅1厨1卫,顶层 (共6层),54.25㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-12,已购公房,1996-12-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,12,null
朝阳,国展,111,34,450,73722元/平米,柳芳北里,2室1厅1厨1卫,底层 (共16层),61.04㎡,暂无数据,45.79㎡,塔楼,南,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-05-19,私产,2007-02-09,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
朝阳,国展,163,301,570,83578元/平米,左家庄,3室1厅1厨1卫,底层 (共6层),68.2㎡,暂无数据,暂无数据,板楼,东南 西北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2016-11-24,已购公房,2009-07-13,普通住宅,满五年,非共有,无抵押,已上传房本照片,9,null
朝阳,国展,52,44,495,74571元/平米,左家庄北里,2室1厅1厨1卫,中楼层 (共21层),66.38㎡,暂无数据,66.38㎡,塔楼,东 南,钢混结构,简装,两梯十户,集中供暖,有,70年,null,null,null,2017-08-24,已购公房,2001-08-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,12,null
朝阳,国展,123,11,760,54127元/平米,左家庄东里,3室2厅1厨2卫,顶层 (共6层),140.41㎡,暂无数据,140.41㎡,板楼,南 北,砖混结构,精装,一梯四户,集中供暖,无,70年,null,null,null,2017-08-07,私产,2008-12-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
朝阳,国展,166,26,380,56997元/平米,MASTER领域,1室1厅1厨1卫,中楼层 (共20层),66.67㎡,跃层,41.54㎡,塔楼,东北,钢混结构,精装,六梯二十户,自供暖,有,70年,null,null,null,2017-04-06,商品房,2012-08-06,公寓,满五年,非共有,无抵押,已上传房本照片,3,null
朝阳,国展,26,82,495,76471元/平米,柳芳南里,2室1厅1厨1卫,底层 (共18层),64.73㎡,暂无数据,暂无数据,塔楼,西南,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-07-05,已购公房,2001-02-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
朝阳,国展,55,62,899,79762元/平米,润民柳芳居,2室2厅1厨1卫,顶层 (共16层),112.71㎡,暂无数据,93.43㎡,板塔结合,南 西,钢混结构,简装,两梯三户,集中供暖,有,70年,null,null,null,2017-06-18,私产,2005-01-13,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
朝阳,国展,334,119,305,72343元/平米,左家庄北里,1室1厅1厨1卫,顶层 (共6层),42.16㎡,暂无数据,36㎡,板楼,南,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-04-05,商品房,2011-07-20,普通住宅,满五年,非共有,有抵押 70万元 工商银行 客户偿还,已上传房本照片,8,null
朝阳,国展,17,33,840,77541元/平米,静安苑,2室1厅1厨1卫,低楼层 (共7层),108.33㎡,暂无数据,97.67㎡,板楼,南 北,钢混结构,简装,一梯两户,自供暖,无,70年,null,null,null,2017-08-18,商品房,2015-02-25,普通住宅,满两年,共有,无抵押,已上传房本照片,8,null
朝阳,国展,39,39,390,77907元/平米,柳芳南里,1室1厅1厨1卫,高楼层 (共18层),50.06㎡,平层,38㎡,塔楼,南,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-07-22,央产房,1994-02-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,11,null
朝阳,国展,154,65,580,82480元/平米,左家庄西街5号院,3室1厅1厨1卫,低楼层 (共6层),70.32㎡,暂无数据,70.32㎡,板楼,东 西,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-05,央产房,2011-06-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
朝阳,国展,73,112,830,73686元/平米,润民柳芳居,2室1厅1厨1卫,低楼层 (共16层),112.64㎡,平层,93.37㎡,板塔结合,东 西,钢混结构,简装,两梯两户,集中供暖,有,70年,null,null,null,2017-05-28,私产,2005-01-13,普通住宅,满五年,非共有,有抵押 30万元 华夏银行北京东四支行 业主自还,已上传房本照片,1,null
朝阳,国展,42,31,518,86118元/平米,柳芳北里,2室1厅1厨1卫,高楼层 (共16层),60.15㎡,暂无数据,暂无数据,塔楼,南,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-04-22,商品房,2012-08-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
朝阳,国展,35,15,416,72702元/平米,左家庄北里,2室1厅1厨1卫,高楼层 (共6层),57.22㎡,暂无数据,39.55㎡,板楼,东南 西北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-02,私产,2007-07-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
朝阳,国展,44,14,420,67470元/平米,左家庄西街,2室1厅1厨1卫,顶层 (共7层),62.25㎡,暂无数据,暂无数据,板楼,东 西,混合结构,精装,一梯四户,集中供暖,无,70年,null,null,null,2017-08-20,私产,2003-01-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
朝阳,国展,83,19,410,63536元/平米,左家庄西街,2室1厅1厨1卫,中楼层 (共8层),64.53㎡,平层,45.71㎡,板楼,东 西,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2016-07-12,商品房,2014-08-21,普通住宅,满两年,非共有,有抵押 100万元 中信银行 客户偿还,已上传房本照片,9,null
朝阳,国展,57,27,530,75477元/平米,柳芳南里,3室1厅1厨1卫,顶层 (共6层),70.22㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-29,已购公房,2000-07-13,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
朝阳,国展,102,96,550,79884元/平米,左家庄,3室1厅1厨1卫,低楼层 (共6层),68.85㎡,暂无数据,暂无数据,板楼,南 北,砖混结构,精装,一梯四户,集中供暖,无,70年,null,null,null,2017-03-03,已购公房,2000-06-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
朝阳,国展,7,0,545,74494元/平米,香河园中里,3室1厅1厨1卫,中楼层 (共16层),73.16㎡,暂无数据,1㎡,塔楼,西北,钢混结构,简装,两梯九户,集中供暖,有,70年,null,null,null,2017-09-08,已购公房,2001-01-04,普通住宅,满五年,非共有,暂无数据,已上传房本照片,0,null
朝阳,国展,22,7,1100,80263元/平米,浩鸿园,2室2厅1厨2卫,高楼层 (共16层),137.05㎡,平层,113.21㎡,塔楼,西,钢混结构,简装,两梯六户,集中供暖,有,70年,null,null,null,2017-05-09,商品房,2006-11-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
朝阳,国展,4,20,760,84117元/平米,力鸿花园,2室1厅1厨1卫,中楼层 (共24层),90.35㎡,暂无数据,暂无数据,塔楼,东,钢混结构,简装,三梯十户,集中供暖,有,70年,null,null,null,2017-07-07,已购公房,2005-01-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,17,null
朝阳,国展,23,7,900,66865元/平米,瑞福楼,2室1厅1厨1卫,中楼层 (共14层),134.6㎡,暂无数据,111㎡,板塔结合,南 北,钢混结构,精装,两梯十户,集中供暖,有,70年,null,null,null,2017-08-17,私产,2007-11-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
朝阳,国展,25,8,465,74940元/平米,左家庄南里,2室1厅1厨1卫,顶层 (共6层),62.05㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-17,已购公房,2008-02-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,国展,33,31,440,71347元/平米,左家庄北里,2室1厅1厨1卫,中楼层 (共12层),61.67㎡,暂无数据,43.19㎡,板塔结合,东 西,钢混结构,简装,两梯十二户,集中供暖,有,70年,null,null,null,2017-08-12,商品房,2016-11-07,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,6,null
朝阳,国展,91,40,450,79309元/平米,柳芳北里,2室1厅1厨1卫,高楼层 (共18层),56.74㎡,暂无数据,39.67㎡,塔楼,东南,钢混结构,精装,两梯七户,集中供暖,有,70年,null,null,null,2017-06-11,商品房,2011-09-09,普通住宅,满五年,非共有,无抵押,已上传房本照片,10,null
朝阳,国展,13,18,595,74843元/平米,静安东里,2室1厅1厨1卫,低楼层 (共18层),79.5㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯七户,集中供暖,有,70年,null,null,null,2017-07-22,私产,2006-06-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
朝阳,国展,148,46,395,75903元/平米,静安里,2室1厅1厨1卫,中楼层 (共6层),52.04㎡,暂无数据,36.64㎡,板楼,南,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-05-06,商品房,2009-08-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,国展,1,0,265,54159元/平米,静安东里,2室1厅1厨1卫,地下室 (共6层),48.93㎡,暂无数据,暂无数据,板楼,南,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-29,已购公房,2006-06-29,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,国展,32,28,900,70660元/平米,静安苑,3室1厅1厨1卫,底层 (共7层),127.37㎡,暂无数据,114.84㎡,板楼,东 西,钢混结构,精装,一梯两户,自供暖,暂无数据,70年,null,null,null,2017-05-26,私产,2002-01-22,普通住宅,满五年,非共有,有抵押 100万元 中国工商银行 客户偿还,已上传房本照片,0,null
朝阳,国展,91,8,2000,79650元/平米,浩鸿园,4室2厅1厨2卫,底层 (共26层),251.1㎡,暂无数据,207.33㎡,塔楼,南,钢混结构,精装,三梯七户,集中供暖,有,70年,null,null,null,2017-03-27,商品房,2009-12-10,普通住宅,满五年,非共有,有抵押 客户偿还,已上传房本照片,0,距离机场线三元桥站994米
朝阳,国展,422,33,375,73863元/平米,香河园中里,2室1厅1厨1卫,顶层 (共6层),50.77㎡,平层,暂无数据,板楼,南,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-04-02,已购公房,1998-01-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,国展,114,215,335,76240元/平米,左家庄南里,1室1厅1厨1卫,底层 (共6层),43.94㎡,暂无数据,43.94㎡,板楼,南,砖混结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-05-26,已购公房,2001-08-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
朝阳,国展,49,4,670,54185元/平米,左家庄西街,4室1厅1厨1卫,顶层 (共6层),123.65㎡,暂无数据,84㎡,板楼,东 西,混合结构,简装,一梯四户,集中供暖,无,70年,null,null,null,2017-08-12,已购公房,2008-03-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
朝阳,国展,14,11,430,79763元/平米,左家庄北里,2室1厅1厨1卫,低楼层 (共6层),53.91㎡,平层,37.52㎡,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-09-08,已购公房,2008-12-16,普通住宅,满五年,共有,无抵押,已上传房本照片,11,null
