城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
朝阳,垡头,510,80,350,47821元/平米,翠成馨园,2室1厅1厨1卫,中楼层 (共28层),73.19㎡,暂无数据,60.73㎡,塔楼,东南,钢混结构,精装,两梯八户,自供暖,有,70年,null,null,null,2017-08-19,一类经济适用房,2010-12-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,22,距离7号线欢乐谷景区站859米
朝阳,垡头,40,23,608,47201元/平米,翠成馨园,3室2厅1厨2卫,高楼层 (共18层),128.81㎡,平层,104.35㎡,板塔结合,南 北,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-08-03,一类经济适用房,2012-05-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
朝阳,垡头,70,40,650,54234元/平米,翠成馨园,2室1厅1厨1卫,底层 (共6层),119.85㎡,暂无数据,100㎡,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-05,商品房,2006-03-22,普通住宅,满五年,非共有,暂无数据,已上传房本照片,7,null
朝阳,垡头,47,73,475,52163元/平米,翠成馨园,2室1厅1厨1卫,中楼层 (共16层),91.06㎡,暂无数据,72.42㎡,板塔结合,南,钢混结构,简装,两梯三户,集中供暖,有,70年,null,null,null,2017-07-16,一类经济适用房,2008-03-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,12,null
朝阳,垡头,123,48,265,48112元/平米,翠成馨园,1室0厅1厨1卫,低楼层 (共16层),55.08㎡,暂无数据,41.66㎡,板塔结合,东,钢混结构,简装,两梯十六户,集中供暖,有,70年,null,null,null,2017-07-24,一类经济适用房,2012-07-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,11,null
朝阳,垡头,21,26,475,54057元/平米,翠成馨园,2室1厅1厨1卫,中楼层 (共16层),87.87㎡,暂无数据,69.88㎡,板塔结合,南 西 北,钢混结构,精装,两梯三户,集中供暖,有,70年,null,null,null,2017-08-23,一类经济适用房,2007-09-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
朝阳,垡头,46,28,740,69739元/平米,格林莱雅,2室1厅1厨1卫,中楼层 (共17层),106.11㎡,暂无数据,89.28㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-05-03,商品房,2010-12-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,垡头,17,0,620,49960元/平米,翠成馨园,3室2厅1厨2卫,高楼层 (共6层),124.1㎡,暂无数据,112.35㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-09-03,一类经济适用房,2005-04-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,垡头,21,0,850,45576元/平米,翠成馨园,4室2厅1厨2卫,高楼层 (共7层),186.5㎡,暂无数据,163.81㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-19,一类经济适用房,2004-08-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,垡头,140,58,315,52995元/平米,金蝉北里21号院,2室1厅1厨1卫,中楼层 (共6层),59.44㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-23,已购公房,2012-02-20,普通住宅,满五年,共有,无抵押,已上传房本照片,12,null
朝阳,垡头,137,46,290,49974元/平米,垡头北里,2室1厅1厨1卫,中楼层 (共6层),58.03㎡,暂无数据,40.08㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-02,商品房,2009-08-03,普通住宅,满五年,共有,无抵押,已上传房本照片,5,null
朝阳,垡头,30,19,460,50455元/平米,翠成馨园,2室1厅1厨1卫,低楼层 (共28层),91.17㎡,平层,75.35㎡,塔楼,西南,钢混结构,精装,三梯八户,自供暖,有,70年,null,null,null,2017-08-23,商品房,2015-11-06,普通住宅,暂无数据,非共有,暂无数据,已上传房本照片,10,null
朝阳,垡头,17,3,485,54889元/平米,翠成馨园,2室1厅1厨1卫,顶层 (共11层),88.36㎡,暂无数据,73.38㎡,板塔结合,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-09-06,一类经济适用房,2009-01-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
朝阳,垡头,15,3,326,51878元/平米,垡头西里二区,2室1厅1厨1卫,低楼层 (共13层),62.84㎡,暂无数据,暂无数据,板塔结合,西北,钢混结构,其他,一梯八户,集中供暖,有,70年,null,null,null,2017-09-07,已购公房,2011-07-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
朝阳,垡头,13,2,460,49875元/平米,翠成馨园,2室1厅1厨1卫,中楼层 (共28层),92.23㎡,暂无数据,76.14㎡,塔楼,西南,钢混结构,精装,三梯九户,自供暖,有,70年,null,null,null,2017-09-04,一类经济适用房,2010-10-21,普通住宅,满五年,非共有,暂无数据,已上传房本照片,2,null
朝阳,垡头,14,3,490,50946元/平米,翠成馨园,2室1厅1厨1卫,低楼层 (共16层),96.18㎡,平层,73.99㎡,板楼,东 西,钢混结构,简装,两梯四户,集中供暖,有,70年,null,null,null,2017-09-08,一类经济适用房,2008-03-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
朝阳,垡头,59,33,510,51625元/平米,翠成馨园,2室1厅1厨1卫,中楼层 (共13层),98.79㎡,暂无数据,78.98㎡,板楼,南,钢混结构,简装,两梯四户,集中供暖,有,70年,null,null,null,2017-07-03,商品房,2015-01-20,普通住宅,满两年,非共有,无抵押,已上传房本照片,6,null
朝阳,垡头,30,27,315,52334元/平米,翠成馨园,1室1厅1厨1卫,中楼层 (共11层),60.19㎡,暂无数据,50.34㎡,板塔结合,南,钢混结构,简装,一梯四户,集中供暖,有,70年,null,null,null,2017-08-01,一类经济适用房,2011-11-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,12,null
