城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
朝阳,大山子,31,12,850,61412元/平米,银枫家园,3室1厅1厨2卫,中楼层 (共9层),138.41㎡,暂无数据,113.4㎡,板楼,西南 东北,钢混结构,简装,一梯两户,自供暖,有,70年,null,null,null,2017-08-23,私产,2003-02-24,普通住宅,满五年,非共有,有抵押 320万元,已上传房本照片,3,null
朝阳,大山子,27,7,580,55572元/平米,宏源公寓,2室1厅1厨2卫,高楼层 (共22层),104.37㎡,暂无数据,83.63㎡,塔楼,东北,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-08-24,私产,2005-03-07,公寓,满五年,非共有,无抵押,已上传房本照片,3,null
朝阳,大山子,22,2,2300,46217元/平米,银枫家园,5室3厅1厨5卫,高楼层 (共23层),497.65㎡,暂无数据,410.6㎡,塔楼,西南 西北,钢混结构,精装,两梯四户,自供暖,有,70年,null,null,null,2017-08-24,私产,2007-07-03,普通住宅,满五年,非共有,有抵押 492万元 中国建设银行,已上传房本照片,1,null
朝阳,大山子,54,34,1280,59807元/平米,银枫家园,4室2厅1厨2卫,高楼层 (共9层),214.02㎡,平层,176.73㎡,板楼,东南 西北,钢混结构,精装,两梯两户,自供暖,有,70年,null,null,null,2017-03-20,商品房,2008-09-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
朝阳,大山子,162,99,800,59835元/平米,银枫家园,3室1厅1厨2卫,高楼层 (共9层),133.7㎡,平层,109.81㎡,板楼,东南 西北,钢混结构,简装,一梯三户,自供暖,有,70年,null,null,null,2017-04-21,私产,2005-08-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
朝阳,大山子,32,23,830,59967元/平米,银枫家园,3室1厅1厨2卫,低楼层 (共9层),138.41㎡,暂无数据,113.4㎡,板楼,西南 东北,钢混结构,简装,一梯两户,自供暖,有,70年,null,null,null,2017-08-10,商品房,2013-04-01,普通住宅,满两年,共有,暂无数据,已上传房本照片,0,null
朝阳,大山子,54,24,430,57889元/平米,北窑地,1室2厅1厨1卫,高楼层 (共6层),74.28㎡,暂无数据,56.56㎡,板楼,南 北,砖混结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-04-03,商品房,2009-07-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
朝阳,大山子,38,5,850,61563元/平米,银枫家园,3室1厅1厨2卫,中楼层 (共9层),138.07㎡,暂无数据,113.4㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-08-16,商品房,2008-10-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
朝阳,大山子,48,24,650,59420元/平米,宏源公寓,3室1厅1厨2卫,高楼层 (共22层),109.39㎡,暂无数据,87.65㎡,塔楼,东,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-07-07,私产,2007-05-31,公寓,满五年,非共有,无抵押,已上传房本照片,2,null
朝阳,大山子,110,0,350,56920元/平米,大山子北里,3室1厅1厨1卫,中楼层 (共6层),61.49㎡,暂无数据,暂无数据,板楼,东南 西北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-21,商品房,2010-05-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,大山子,37,21,1100,51397元/平米,银枫家园,4室2厅1厨2卫,低楼层 (共9层),214.02㎡,平层,176.73㎡,板楼,东南 西北,钢混结构,精装,两梯两户,自供暖,有,70年,null,null,null,2017-06-19,商品房,2014-04-02,普通住宅,满两年,非共有,无抵押,已上传房本照片,0,null
朝阳,大山子,3,1,920,59958元/平米,银枫家园,2室2厅1厨2卫,底层 (共23层),153.44㎡,暂无数据,126.6㎡,塔楼,东南,钢混结构,简装,两梯三户,自供暖,有,70年,null,null,null,2017-09-05,商品房,2009-10-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
朝阳,大山子,73,19,640,58506元/平米,宏源公寓,3室1厅1厨2卫,中楼层 (共22层),109.39㎡,暂无数据,87.65㎡,塔楼,东,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-03-15,商品房,2004-09-13,公寓,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,大山子,8,0,1250,45246元/平米,宏源公寓,8室2厅1厨5卫,顶层 (共22层),276.27㎡,暂无数据,221.36㎡,塔楼,东北,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-08-11,商品房,2010-08-11,公寓,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,大山子,42,7,415,60145元/平米,北窑地,3室1厅1厨2卫,底层 (共5层),69㎡,暂无数据,50㎡,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-05-28,已购公房,2010-07-29,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,大山子,88,3,399,56967元/平米,北窑地,2室1厅1厨1卫,顶层 (共6层),70.04㎡,暂无数据,54.34㎡,板楼,东 南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-06-02,商品房,2010-10-12,普通住宅,满五年,非共有,有抵押 80万元 中国银行 业主自还,已上传房本照片,0,null
朝阳,大山子,31,11,730,62753元/平米,银枫家园,2室1厅1厨2卫,中楼层 (共9层),116.33㎡,暂无数据,95.54㎡,板楼,东南 西南,钢混结构,简装,一梯四户,自供暖,有,70年,null,null,null,2017-08-20,商品房,2016-06-08,普通住宅,暂无数据,非共有,有抵押 100万元 工商银行 客户偿还,已上传房本照片,2,null
朝阳,大山子,6,2,881,59961元/平米,银枫家园,2室2厅1厨2卫,底层 (共9层),146.93㎡,暂无数据,121.33㎡,板楼,东南,钢混结构,简装,两梯四户,自供暖,有,70年,null,null,null,2017-08-18,私产,2006-07-13,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
