城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
朝阳,大望路,114,42,1180,85881元/平米,金港国际,3室1厅1厨2卫,低楼层 (共18层),137.4㎡,暂无数据,118.6㎡,板楼,西南,钢混结构,精装,一梯三户,集中供暖,有,70年,null,null,null,2017-08-11,商品房,2012-03-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,距离7号线大郊亭站1039米
朝阳,大望路,55,24,1196,87928元/平米,风度柏林,3室2厅1厨2卫,中楼层 (共18层),136.02㎡,平层,108.59㎡,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,70年,null,null,null,2017-08-26,商品房,2010-07-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
朝阳,大望路,102,60,640,73877元/平米,后现代城,2室1厅1厨1卫,高楼层 (共28层),86.63㎡,平层,66.67㎡,塔楼,东,钢混结构,精装,三梯十户,集中供暖,有,70年,null,null,null,2017-06-20,私产,2008-06-27,普通住宅,满五年,共有,有抵押 80万元 业主自还,已上传房本照片,2,null
朝阳,大望路,135,62,1300,85990元/平米,珠江帝景新博悦,3室2厅1厨2卫,底层 (共10层),151.18㎡,平层,126.44㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-06-04,商品房,2011-04-07,普通住宅,满五年,非共有,有抵押 300万元 担保公司 公司垫资,已上传房本照片,5,null
朝阳,大望路,64,26,335,67896元/平米,易构空间,2室1厅1厨1卫,低楼层 (共28层),49.34㎡,暂无数据,40.1㎡,塔楼,北,钢混结构,精装,四梯十四户,集中供暖,有,70年,null,null,null,2017-08-20,商品房,2013-04-15,普通住宅,满两年,共有,有抵押 87万元 建设银行 客户偿还,已上传房本照片,11,null
朝阳,大望路,107,37,458,72953元/平米,后现代城,1室1厅1厨1卫,中楼层 (共18层),62.78㎡,平层,47.86㎡,板塔结合,南,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-07-26,私产,2004-11-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
朝阳,大望路,79,38,1500,93093元/平米,珠江帝景,3室1厅1厨2卫,中楼层 (共26层),161.13㎡,暂无数据,132.96㎡,塔楼,南,钢混结构,精装,三梯七户,集中供暖,有,70年,null,null,null,2017-06-25,私产,2007-07-19,普通住宅,满五年,非共有,有抵押 500万元 北京银行 业主自还,已上传房本照片,9,null
朝阳,大望路,60,107,570,87316元/平米,CBD传奇,1室1厅1厨1卫,高楼层 (共21层),65.28㎡,平层,45.75㎡,板塔结合,西南,钢混结构,精装,两梯五户,集中供暖,有,70年,null,null,null,2017-02-04,私产,2007-12-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,11,null
朝阳,大望路,44,40,950,84912元/平米,CBD传奇,3室2厅1厨2卫,中楼层 (共20层),111.88㎡,暂无数据,79.66㎡,板塔结合,南 西 北,钢混结构,其他,两梯三户,集中供暖,有,70年,null,null,null,2017-08-14,商品房,2012-12-25,普通住宅,满两年,非共有,无抵押,已上传房本照片,16,null
朝阳,大望路,68,28,1400,88111元/平米,珠江帝景,3室1厅1厨2卫,中楼层 (共25层),158.89㎡,暂无数据,130.42㎡,塔楼,南,钢混结构,精装,三梯七户,集中供暖,有,70年,null,null,null,2017-06-08,私产,2007-02-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
朝阳,大望路,175,81,458,72930元/平米,后现代城,1室1厅1厨1卫,低楼层 (共18层),62.8㎡,平层,47.88㎡,板塔结合,南,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-07-24,商品房,2017-06-19,普通住宅,暂无数据,共有,无抵押,已上传房本照片,6,null
朝阳,大望路,39,37,565,87910元/平米,风度柏林,1室1厅1厨1卫,低楼层 (共22层),64.27㎡,暂无数据,50.85㎡,塔楼,东 西 北,钢混结构,精装,三梯十户,集中供暖,有,70年,null,null,null,2017-07-21,商品房,2012-03-13,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
