城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
朝阳,太阳宫,79,36,580,81713元/平米,新纪家园,1室1厅1厨1卫,中楼层 (共21层),70.98㎡,暂无数据,57.06㎡,板塔结合,南,钢混结构,简装,三梯十二户,集中供暖,有,70年,null,null,null,2017-05-14,私产,2006-12-15,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,距离10号线太阳宫站152米
朝阳,太阳宫,25,17,1320,136251元/平米,冠城大通澜石,2室1厅1厨2卫,中楼层 (共26层),96.88㎡,平层,72.96㎡,板楼,东南,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-07-29,商品房,2014-03-28,公寓（住宅）,满两年,非共有,有抵押 190万元 农业 客户偿还,已上传房本照片,1,null
朝阳,太阳宫,26,61,1540,98246元/平米,水星园,3室2厅1厨2卫,中楼层 (共23层),156.75㎡,暂无数据,125.73㎡,板塔结合,西南 东北,钢混结构,精装,两梯三户,集中供暖,有,70年,null,null,null,2017-06-24,商品房,2016-07-19,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,24,null
朝阳,太阳宫,56,11,1780,126178元/平米,丰和园,3室1厅1厨2卫,高楼层 (共26层),141.07㎡,平层,105.64㎡,板楼,南,钢混结构,精装,两梯五户,集中供暖,有,70年,null,null,null,2017-06-11,商品房,2011-01-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
朝阳,太阳宫,75,13,2781,144987元/平米,太阳公元,3室2厅1厨2卫,底层 (共22层),191.81㎡,暂无数据,155.5㎡,板楼,南 北,钢混结构,其他,两梯两户,集中供暖,有,70年,null,null,null,2017-07-11,商品房,2012-07-18,普通住宅,满五年,非共有,有抵押 1000万元 中信银行 客户偿还,已上传房本照片,4,null
朝阳,太阳宫,17,30,740,107935元/平米,水星园,1室1厅1厨1卫,低楼层 (共23层),68.56㎡,平层,53.57㎡,板塔结合,西南,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-07-31,私产,2007-10-29,普通住宅,满五年,非共有,有抵押 10万元 工商银行 业主自还,已上传房本照片,3,null
朝阳,太阳宫,135,48,730,81237元/平米,新纪家园,2室1厅1厨1卫,中楼层 (共28层),89.86㎡,平层,75.98㎡,塔楼,南,钢混结构,简装,三梯十户,集中供暖,有,70年,null,null,null,2017-05-24,私产,2006-09-15,普通住宅,满五年,非共有,有抵押 30万元 招商银行 客户偿还,已上传房本照片,5,null
朝阳,太阳宫,116,59,1199,134297元/平米,太阳公元,2室1厅1厨1卫,中楼层 (共27层),89.28㎡,平层,70.1㎡,板楼,南,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-05-10,商品房,2016-04-15,普通住宅,暂无数据,共有,有抵押 180万元 工商银行 客户偿还,已上传房本照片,10,null
朝阳,太阳宫,164,122,1299,141165元/平米,太阳公元,3室1厅1厨1卫,低楼层 (共27层),92.02㎡,平层,72.25㎡,板楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-04-14,商品房,2012-04-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,太阳宫,27,71,1450,130666元/平米,冠城大通澜石,2室2厅1厨2卫,顶层 (共26层),110.97㎡,暂无数据,84.1㎡,板楼,西南,钢混结构,精装,两梯三户,集中供暖,有,70年,null,null,null,2017-07-20,商品房,2014-06-18,公寓（住宅）,满两年,共有,无抵押,已上传房本照片,15,null
朝阳,太阳宫,3,1,1190,109637元/平米,半岛国际公寓,2室2厅1厨1卫,高楼层 (共18层),108.54㎡,暂无数据,84.24㎡,板塔结合,南 北,钢混结构,精装,两梯十户,集中供暖,有,70年,null,null,null,2017-08-16,私产,2005-12-21,普通住宅,满五年,非共有,有抵押 3万元 民生银行 业主自还,已上传房本照片,1,null
朝阳,太阳宫,25,28,1380,147752元/平米,丰和园,2室1厅1厨1卫,中楼层 (共26层),93.4㎡,平层,70.09㎡,板楼,南,钢混结构,精装,两梯五户,集中供暖,有,70年,null,null,null,2017-07-11,商品房,2011-01-28,普通住宅,满五年,非共有,有抵押 35万元 交通银行 业主自还,已上传房本照片,0,null
朝阳,太阳宫,62,36,1720,109729元/平米,水星园,3室2厅1厨2卫,中楼层 (共23层),156.75㎡,平层,125.73㎡,板塔结合,东南 西北,钢混结构,精装,两梯三户,集中供暖,有,70年,null,null,null,2017-03-30,私产,2007-09-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
朝阳,太阳宫,61,55,700,84449元/平米,万方景轩,2室1厅1厨1卫,中楼层 (共18层),82.89㎡,暂无数据,66.03㎡,板塔结合,西南,钢混结构,简装,两梯九户,自供暖,有,70年,null,null,null,2017-08-10,私产,2007-04-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,10,null
朝阳,太阳宫,70,7,1310,146729元/平米,太阳公元,2室1厅1厨1卫,低楼层 (共27层),89.28㎡,暂无数据,70.1㎡,板楼,南,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-05-06,商品房,2011-05-24,普通住宅,满五年,非共有,有抵押 67万元 交通银行 客户偿还,已上传房本照片,0,null
朝阳,太阳宫,23,9,750,84024元/平米,新纪家园,2室1厅1厨1卫,高楼层 (共28层),89.26㎡,暂无数据,75.47㎡,塔楼,西,钢混结构,精装,三梯十户,集中供暖,有,70年,null,null,null,2017-07-22,商品房,2009-06-18,普通住宅,满五年,共有,无抵押,已上传房本照片,1,null
朝阳,太阳宫,172,69,720,82042元/平米,新纪家园,2室1厅1厨1卫,低楼层 (共28层),87.76㎡,暂无数据,74.2㎡,塔楼,西,钢混结构,精装,三梯十户,集中供暖,有,70年,null,null,null,2016-10-25,商品房,2006-09-15,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
朝阳,太阳宫,9,12,1850,138941元/平米,太阳公元,3室1厅1厨2卫,低楼层 (共20层),133.15㎡,平层,104.07㎡,板塔结合,东南 北,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-03-13,商品房,2012-02-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
朝阳,太阳宫,97,32,1085,84865元/平米,新纪家园,3室2厅1厨1卫,中楼层 (共28层),127.85㎡,平层,108.1㎡,塔楼,西北,钢混结构,精装,三梯十户,集中供暖,有,70年,null,null,null,2017-01-10,商品房,2008-09-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
朝阳,太阳宫,60,106,760,97611元/平米,水星园,1室1厅1厨1卫,中楼层 (共19层),77.86㎡,暂无数据,63.83㎡,板塔结合,西北,钢混结构,精装,两梯七户,集中供暖,有,70年,null,null,null,2017-03-03,商品房,2009-06-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
朝阳,太阳宫,19,1,1300,139067元/平米,丰和园,2室1厅1厨1卫,中楼层 (共26层),93.48㎡,暂无数据,70.09㎡,板楼,南,钢混结构,精装,两梯五户,集中供暖,有,70年,null,null,null,2017-08-11,商品房,2010-12-01,普通住宅,满五年,非共有,暂无数据,已上传房本照片,0,null
朝阳,太阳宫,6,1,1100,79285元/平米,新纪家园,3室2厅1厨1卫,高楼层 (共28层),138.74㎡,暂无数据,117.31㎡,塔楼,东北,钢混结构,精装,三梯十户,集中供暖,有,70年,null,null,null,2017-08-16,私产,2006-09-15,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
朝阳,太阳宫,176,164,1299,142387元/平米,太阳公元,3室1厅1厨1卫,高楼层 (共28层),91.23㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-05-15,商品房,2017-05-15,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,12,null
朝阳,太阳宫,14,3,920,107189元/平米,半岛国际公寓,2室1厅1厨1卫,低楼层 (共18层),85.83㎡,平层,67.32㎡,板塔结合,东北,钢混结构,简装,两梯十户,集中供暖,有,70年,null,null,null,2017-08-29,商品房,2005-04-28,普通住宅,满五年,共有,无抵押,已上传房本照片,3,null
朝阳,太阳宫,13,1,2500,147859元/平米,红玺台,3室1厅1厨2卫,低楼层 (共25层),169.08㎡,暂无数据,133.94㎡,板楼,东 南 北,钢混结构,精装,两梯两户,集中供暖,有,70年,null,null,null,2017-08-31,商品房,2012-04-09,普通住宅,满五年,共有,有抵押 365万元 浦发银行 客户偿还,已上传房本照片,1,null
朝阳,太阳宫,75,42,1320,144689元/平米,太阳公元,3室1厅1厨1卫,中楼层 (共28层),91.23㎡,暂无数据,71.65㎡,板楼,南,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-07-08,商品房,2012-03-08,普通住宅,满五年,非共有,有抵押,已上传房本照片,7,null
朝阳,太阳宫,10,15,1390,121070元/平米,冠城大通澜石,2室1厅1厨2卫,低楼层 (共16层),114.81㎡,暂无数据,91.47㎡,板楼,西南 东北,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-08-16,商品房,2014-01-13,公寓（住宅）,满两年,非共有,无抵押,已上传房本照片,3,null
朝阳,太阳宫,58,13,1800,134610元/平米,火星园,3室1厅1厨2卫,低楼层 (共27层),133.72㎡,暂无数据,105.74㎡,板楼,南 北,钢混结构,精装,两梯三户,集中供暖,有,70年,null,null,null,2017-04-07,商品房,2011-10-11,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
朝阳,太阳宫,104,21,2304,144997元/平米,太阳公元,3室2厅1厨2卫,中楼层 (共25层),158.9㎡,暂无数据,124.33㎡,板塔结合,南 北,钢混结构,精装,两梯两户,集中供暖,有,70年,null,null,null,2017-04-26,商品房,2011-12-08,普通住宅,满五年,非共有,有抵押 190万元 交通银行 客户偿还,已上传房本照片,1,null
朝阳,太阳宫,31,23,1100,116798元/平米,火星园,2室1厅1厨1卫,高楼层 (共27层),94.18㎡,平层,74.47㎡,板楼,南 西 北,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-05-19,商品房,2011-11-07,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
朝阳,太阳宫,59,13,830,86902元/平米,太阳国际公馆,2室1厅1厨1卫,中楼层 (共20层),95.51㎡,暂无数据,77.25㎡,板塔结合,西南,钢混结构,精装,两梯六户,自供暖,有,70年,null,null,null,2017-06-11,私产,2006-01-07,普通住宅,满五年,非共有,有抵押 250000万元 中信银行 业主自还,已上传房本照片,1,距离10号线太阳宫站313米
朝阳,太阳宫,13,7,1460,122473元/平米,冠城大通澜石,3室1厅1厨2卫,低楼层 (共26层),119.21㎡,暂无数据,90.34㎡,板楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-08-28,商品房,2014-04-09,公寓（住宅）,满两年,共有,有抵押 150万元 广发银行 客户偿还,已上传房本照片,4,null
