城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
朝阳,工体,14,21,605,79974元/平米,新东路,2室1厅1厨1卫,低楼层 (共17层),75.65㎡,暂无数据,53.9㎡,塔楼,南,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-08-29,已购公房,2017-08-04,普通住宅,暂无数据,共有,无抵押,已上传房本照片,8,null
朝阳,工体,43,2,900,109622元/平米,阳光都市,1室1厅1厨1卫,中楼层 (共25层),82.1㎡,平层,67.28㎡,塔楼,西,钢混结构,精装,三梯九户,集中供暖,有,70年,null,null,null,2017-06-18,商品房,2012-12-11,普通住宅,满两年,非共有,有抵押 206万元 大华银行（中国）有限公司北京分行 客户偿还,已上传房本照片,0,null
朝阳,工体,21,5,3300,133118元/平米,海晟名苑,4室2厅1厨4卫,高楼层 (共17层),247.9㎡,暂无数据,211.23㎡,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,70年,null,null,null,2017-09-06,私产,2008-02-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
朝阳,工体,30,6,1700,99264元/平米,阳光都市,3室2厅1厨2卫,中楼层 (共25层),171.26㎡,暂无数据,95.98㎡,塔楼,西南,钢混结构,精装,三梯十户,集中供暖,有,70年,null,null,null,2017-07-30,私产,2006-05-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,工体,47,45,437,79949元/平米,新东路,2室1厅1厨1卫,低楼层 (共12层),54.66㎡,暂无数据,36.68㎡,板楼,东,钢混结构,毛坯,一梯六户,集中供暖,有,70年,null,null,null,2017-05-05,已购公房,2006-08-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
朝阳,工体,59,36,980,94131元/平米,幸福一村西里,2室1厅1厨2卫,顶层 (共6层),104.11㎡,暂无数据,88.39㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-04-07,私产,2005-05-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
朝阳,工体,80,38,580,85850元/平米,幸福二村,3室1厅1厨1卫,低楼层 (共11层),67.56㎡,暂无数据,暂无数据,板塔结合,东 北,钢混结构,简装,两梯十户,集中供暖,有,70年,null,null,null,2017-03-24,私产,2008-06-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
朝阳,工体,118,111,610,97538元/平米,春秀路,2室1厅1厨1卫,低楼层 (共21层),62.54㎡,暂无数据,56㎡,塔楼,南,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-06-19,已购公房,1993-03-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,10,null
朝阳,工体,38,28,1250,132135元/平米,海晟名苑,2室1厅1厨2卫,中楼层 (共22层),94.6㎡,暂无数据,94.6㎡,板塔结合,西,钢混结构,精装,两梯三户,集中供暖,有,70年,null,null,null,2017-07-16,商品房,2010-02-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
朝阳,工体,23,18,1750,62936元/平米,聚龙花园,3室2厅1厨1卫,中楼层 (共8层),278.06㎡,暂无数据,203.58㎡,板塔结合,南 北,钢混结构,其他,一梯一户,集中供暖,有,70年,null,null,null,2017-09-06,商品房,2016-12-14,公寓/公寓,暂无数据,非共有,有抵押 615万元,已上传房本照片,18,null
朝阳,工体,49,18,533,99981元/平米,十字坡东里,2室1厅1厨1卫,顶层 (共6层),53.31㎡,暂无数据,53㎡,板楼,东,砖混结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-10,已购公房,1993-09-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
朝阳,工体,65,19,1500,82305元/平米,幸福一村西里,3室2厅1厨2卫,中楼层 (共6层),182.25㎡,暂无数据,156.3㎡,板楼,东 西,混合结构,简装,一梯两户,集中供暖,有,70年,null,null,null,2017-05-03,私产,2004-09-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,工体,83,3,3800,128569元/平米,海晟名苑,3室3厅1厨3卫,高楼层 (共18层),295.56㎡,跃层,237.8㎡,板塔结合,南,钢混结构,精装,两梯三户,集中供暖,有,70年,null,null,null,2017-05-14,私产,2006-03-10,普通住宅,满五年,非共有,有抵押 245万元 农业银行 业主自还,已上传房本照片,0,null
朝阳,工体,25,13,622,79918元/平米,工体西里,3室1厅1厨1卫,中楼层 (共7层),77.83㎡,暂无数据,56㎡,板楼,东 南 西,混合结构,简装,一梯四户,集中供暖,无,70年,null,null,null,2017-08-14,已购公房,2001-03-15,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
朝阳,工体,105,9,3300,107254元/平米,阳光都市,4室2厅1厨3卫,顶层 (共24层),307.68㎡,暂无数据,163.5㎡,塔楼,东南,钢混结构,精装,三梯四户,集中供暖,有,70年,null,null,null,2017-03-19,私产,2005-12-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,工体,92,128,1580,81121元/平米,幸福二村,3室2厅1厨2卫,底层 (共6层),194.77㎡,平层,174.96㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-02-22,商品房,2012-11-20,普通住宅,满两年,非共有,无抵押,已上传房本照片,1,null
朝阳,工体,64,31,455,84431元/平米,幸福二村,2室1厅1厨1卫,低楼层 (共6层),53.89㎡,平层,1㎡,板楼,南,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-07,已购公房,2012-08-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
