城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
朝阳,常营,81,98,698,61792元/平米,苹果派,3室1厅1厨2卫,高楼层 (共12层),112.96㎡,暂无数据,97.66㎡,板楼,南 北,钢混结构,精装,一梯四户,集中供暖,有,70年,null,null,null,2017-07-18,商品房,2010-03-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,18,null
朝阳,常营,45,8,375,42575元/平米,保利嘉园三号院,2室1厅1厨1卫,高楼层 (共29层),88.08㎡,暂无数据,71.41㎡,塔楼,西南,钢混结构,简装,两梯六户,自供暖,有,70年,null,null,null,2017-09-03,限价商品房,2010-09-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
朝阳,常营,35,17,430,50930元/平米,北辰福第六号院,2室1厅1厨1卫,低楼层 (共16层),84.43㎡,暂无数据,67.85㎡,板塔结合,南 北,钢混结构,精装,一梯四户,暂无数据,暂无数据,70年,null,null,null,2017-09-02,限价商品房,2012-05-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,11,null
朝阳,常营,52,56,850,63014元/平米,万象新天二区,3室2厅1厨2卫,中楼层 (共6层),134.89㎡,暂无数据,121㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-08-28,私产,2005-08-09,普通住宅,满五年,非共有,有抵押 55万元 建设银行 业主自还,已上传房本照片,33,null
朝阳,常营,39,38,415,50297元/平米,北辰福第一号院,2室1厅1厨1卫,中楼层 (共27层),82.51㎡,暂无数据,65㎡,板塔结合,南,钢混结构,简装,两梯八户,自供暖,有,70年,null,null,null,2017-06-02,限价商品房,2012-05-14,普通住宅,满五年,非共有,有抵押 22万元,已上传房本照片,15,null
朝阳,常营,34,80,365,70058元/平米,苹果派,1室1厅1厨1卫,中楼层 (共11层),52.1㎡,平层,45.09㎡,板楼,北,钢混结构,精装,一梯五户,集中供暖,有,70年,null,null,null,2017-05-20,私产,2008-07-14,普通住宅,满五年,共有,有抵押 17万元 北京银行,已上传房本照片,4,null
朝阳,常营,43,38,568,62322元/平米,万象新天四区,2室1厅1厨1卫,中楼层 (共20层),91.14㎡,暂无数据,70.57㎡,板塔结合,南,钢混结构,精装,两梯六户,集中供暖,有,70年,null,null,null,2017-08-28,私产,2007-09-10,普通住宅,满五年,非共有,有抵押 40万元,已上传房本照片,21,null
朝阳,常营,147,107,540,65147元/平米,苹果派,2室1厅1厨2卫,低楼层 (共11层),82.89㎡,暂无数据,70.6㎡,板楼,南,钢混结构,精装,一梯五户,集中供暖,有,70年,null,null,null,2017-08-13,商品房,2011-02-24,普通住宅,满五年,非共有,有抵押 70万元 光大 客户偿还,已上传房本照片,18,null
朝阳,常营,4,39,610,56728元/平米,优点社区,3室2厅1厨2卫,低楼层 (共10层),107.53㎡,平层,91.34㎡,板塔结合,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-08-17,私产,2008-07-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
朝阳,常营,54,29,650,66639元/平米,万象新天一区,2室2厅1厨1卫,低楼层 (共6层),97.54㎡,暂无数据,86.59㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-31,商品房,2010-07-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
朝阳,常营,26,39,1360,75661元/平米,万象新天一区,3室2厅1厨3卫,底层 (共3层),179.75㎡,复式,173.63㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,无,70年,null,null,null,2017-04-12,私产,2005-08-04,普通住宅,满五年,非共有,有抵押 500万元 招商银行 业主自还,已上传房本照片,15,null
朝阳,常营,377,231,820,60664元/平米,万象新天二区,3室2厅1厨2卫,中楼层 (共4层),135.17㎡,暂无数据,122.53㎡,板楼,南 北,钢混结构,简装,一梯两户,自供暖,无,70年,null,null,null,2017-06-14,私产,2005-05-30,普通住宅,满五年,共有,无抵押,已上传房本照片,22,null
朝阳,常营,152,139,768,63920元/平米,万象新天四区,3室1厅1厨2卫,低楼层 (共17层),120.15㎡,平层,95.91㎡,塔楼,南 北,钢混结构,精装,两梯六户,集中供暖,有,70年,null,null,null,2017-06-16,私产,2007-09-17,普通住宅,满五年,非共有,有抵押 40万元,已上传房本照片,17,null
朝阳,常营,163,122,440,49550元/平米,富力阳光美园,2室1厅1厨1卫,中楼层 (共27层),88.8㎡,平层,67.88㎡,塔楼,南,钢混结构,毛坯,两梯四户,自供暖,有,70年,null,null,null,2017-07-10,限价商品房,2012-02-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,24,null
朝阳,常营,49,22,440,50291元/平米,北辰福第二号院,3室1厅1厨1卫,低楼层 (共20层),87.49㎡,暂无数据,68.67㎡,板塔结合,南 北,钢混结构,精装,一梯四户,暂无数据,暂无数据,40年,null,null,null,2017-08-26,限价商品房,2012-08-07,普通住宅,满五年,非共有,有抵押 36万元,已上传房本照片,8,null
朝阳,常营,34,37,470,52756元/平米,富力阳光美园,2室1厅1厨1卫,高楼层 (共22层),89.09㎡,平层,68.07㎡,板塔结合,南 北,钢混结构,精装,两梯四户,自供暖,有,70年,null,null,null,2017-08-19,限价商品房,2012-04-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,21,null
朝阳,常营,247,68,432,48808元/平米,保利嘉园一号院,2室1厅1厨1卫,中楼层 (共18层),88.51㎡,平层,71.63㎡,塔楼,东南,钢混结构,精装,两梯五户,自供暖,有,70年,null,null,null,2017-06-12,限价商品房,2012-05-21,普通住宅,满五年,非共有,有抵押 20万元,已上传房本照片,2,null
朝阳,常营,178,22,213,44579元/平米,金隅丽景园,1室1厅1厨1卫,低楼层 (共28层),47.78㎡,暂无数据,37.03㎡,板塔结合,西,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-08-03,一类经济适用房,2011-03-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
朝阳,常营,77,77,630,58588元/平米,优点社区,3室2厅1厨2卫,中楼层 (共10层),107.53㎡,暂无数据,91.34㎡,板塔结合,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-07-22,商品房,2009-11-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
朝阳,常营,80,71,300,42105元/平米,首开畅心园,2室1厅1厨1卫,中楼层 (共29层),71.25㎡,暂无数据,55.02㎡,塔楼,东 北,钢混结构,精装,两梯七户,自供暖,有,70年,null,null,null,2017-07-18,一类经济适用房,2012-07-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,15,null
朝阳,常营,115,80,335,50444元/平米,保利嘉园三号院,1室1厅1厨1卫,底层 (共11层),66.41㎡,平层,56.43㎡,板塔结合,南,钢混结构,精装,一梯四户,自供暖,有,70年,null,null,null,2017-07-11,限价商品房,2012-05-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,13,null
朝阳,常营,24,30,450,50415元/平米,保利嘉园三号院,2室1厅1厨1卫,低楼层 (共18层),89.26㎡,平层,72.66㎡,塔楼,东 南 北,钢混结构,简装,两梯六户,自供暖,有,70年,null,null,null,2017-08-31,限价商品房,2011-05-05,普通住宅,满五年,非共有,有抵押,已上传房本照片,25,null
