城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
朝阳,建国门外,40,23,1170,74579元/平米,嘉华世纪公寓,3室1厅1厨1卫,高楼层 (共18层),156.88㎡,暂无数据,111.86㎡,板塔结合,南 北,钢混结构,精装,两梯三户,集中供暖,有,70年,null,null,null,2017-07-26,私产,2005-08-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,距离1号线东单站316米
朝阳,建国门外,81,24,799,98399元/平米,丽舍公寓,2室2厅1厨2卫,中楼层 (共14层),81.2㎡,暂无数据,57.51㎡,板塔结合,东 北,钢混结构,精装,两梯十一户,自供暖,有,70年,null,null,null,2017-08-03,商品房,2010-12-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
朝阳,建国门外,33,20,1150,75213元/平米,嘉华世纪公寓,2室1厅1厨2卫,中楼层 (共18层),152.9㎡,平层,109.02㎡,板塔结合,南 北,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-05-05,私产,2006-04-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
朝阳,建国门外,116,49,1200,77285元/平米,美华世纪,3室1厅1厨2卫,低楼层 (共12层),155.27㎡,暂无数据,122.37㎡,塔楼,南,钢混结构,精装,两梯九户,自供暖,有,70年,null,null,null,2017-03-18,商品房,2014-12-03,普通住宅,满两年,非共有,无抵押,已上传房本照片,2,null
朝阳,建国门外,124,90,1280,76127元/平米,恒基中心,3室1厅1厨2卫,中楼层 (共23层),168.14㎡,暂无数据,168㎡,塔楼,东南,钢混结构,精装,一梯二十四户,暂无数据,暂无数据,70年,null,null,null,2017-04-24,商品房,2012-02-07,公寓,满五年,非共有,无抵押,已上传房本照片,2,null
朝阳,建国门外,28,1,650,83968元/平米,建国里,3室1厅1厨1卫,顶层 (共6层),77.41㎡,暂无数据,暂无数据,板楼,南 北,砖混结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-11,已购公房,2000-06-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,建国门外,13,8,510,82618元/平米,美华世纪,1室1厅1厨1卫,中楼层 (共12层),61.73㎡,暂无数据,48.65㎡,塔楼,西,钢混结构,精装,两梯十四户,自供暖,有,70年,null,null,null,2017-08-14,商品房,2013-02-21,普通住宅,满两年,非共有,无抵押,已上传房本照片,3,null
朝阳,建国门外,65,27,575,87134元/平米,地杰长安驿,1室1厅1厨1卫,高楼层 (共30层),65.99㎡,暂无数据,52.46㎡,塔楼,东,钢混结构,精装,六梯十八户,集中供暖,有,70年,null,null,null,2017-04-16,商品房,2016-12-01,公寓,暂无数据,非共有,有抵押 130万元 银行 客户偿还,已上传房本照片,1,null
朝阳,建国门外,215,12,650,99954元/平米,苏州胡同,2室1厅1厨1卫,中楼层 (共5层),65.03㎡,暂无数据,58㎡,板楼,南 西 北,砖混结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-06-17,商品房,2012-04-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
朝阳,建国门外,9,9,750,76173元/平米,地杰长安驿,1室1厅1厨1卫,中楼层 (共27层),98.46㎡,暂无数据,76.92㎡,塔楼,东南,钢混结构,精装,六梯二十二户,集中供暖,有,70年,null,null,null,2017-09-02,商品房,2013-12-02,公寓,满两年,非共有,无抵押,已上传房本照片,9,null
朝阳,建国门外,35,30,800,94955元/平米,东方瑞景,1室1厅1厨1卫,中楼层 (共25层),84.25㎡,暂无数据,66.75㎡,塔楼,东,钢混结构,精装,三梯十户,集中供暖,有,70年,null,null,null,2017-07-20,私产,2006-04-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
朝阳,建国门外,5,0,1200,89753元/平米,东方瑞景,2室1厅1厨2卫,中楼层 (共26层),133.7㎡,平层,106.23㎡,塔楼,西,钢混结构,精装,三梯十户,集中供暖,有,70年,null,null,null,2017-08-18,私产,2008-04-25,普通住宅,满五年,共有,有抵押 200万元 招商 业主自还,已上传房本照片,0,null
朝阳,建国门外,10,0,810,117613元/平米,建国门南大街,2室1厅1厨1卫,低楼层 (共14层),68.87㎡,暂无数据,暂无数据,板塔结合,西 北,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-08-19,商品房,2011-04-11,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,建国门外,85,16,1400,97929元/平米,丽舍公寓,4室2厅1厨2卫,高楼层 (共14层),142.96㎡,暂无数据,101.25㎡,板塔结合,西南,钢混结构,精装,两梯十户,自供暖,有,70年,null,null,null,2017-05-01,商品房,2012-08-07,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,建国门外,29,14,580,81426元/平米,美华世纪,2室1厅1厨1卫,高楼层 (共12层),71.23㎡,暂无数据,56.14㎡,塔楼,东 西,钢混结构,精装,两梯十四户,自供暖,有,70年,null,null,null,2017-08-21,商品房,2009-07-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
朝阳,建国门外,7,1,420,86957元/平米,灵通观,2室1厅1厨1卫,顶层 (共7层),48.3㎡,暂无数据,33.01㎡,板楼,东南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-09-03,商品房,2009-12-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
朝阳,建国门外,94,29,490,66730元/平米,长安6号,1室0厅1厨1卫,中楼层 (共18层),73.43㎡,平层,暂无数据,塔楼,北,钢混结构,精装,四梯二十一户,集中供暖,有,70年,null,null,null,2017-04-04,商品房,2010-12-01,公寓,满五年,非共有,有抵押 100万元,已上传房本照片,0,null
朝阳,建国门外,36,2,800,84060元/平米,永安南里,3室1厅1厨1卫,顶层 (共6层),95.17㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯四户,集中供暖,无,70年,null,null,null,2017-05-17,商品房,2009-08-13,普通住宅,满五年,非共有,有抵押 90万元 中信银行 客户偿还,已上传房本照片,0,null
朝阳,建国门外,13,0,570,82549元/平米,美华世纪,1室1厅1厨1卫,高楼层 (共12层),69.05㎡,平层,54.42㎡,塔楼,西,钢混结构,精装,两梯十四户,自供暖,有,70年,null,null,null,2017-07-25,私产,2006-09-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,建国门外,113,48,508,82294元/平米,美华世纪,1室1厅1厨1卫,高楼层 (共12层),61.73㎡,平层,48.65㎡,塔楼,西,钢混结构,精装,两梯十一户,自供暖,有,70年,null,null,null,2017-03-14,商品房,2015-06-09,普通住宅,满两年,非共有,无抵押,已上传房本照片,0,null
朝阳,建国门外,38,5,800,80289元/平米,地杰长安驿,1室0厅1厨1卫,中楼层 (共30层),99.64㎡,暂无数据,79.21㎡,塔楼,南,钢混结构,精装,六梯十八户,集中供暖,有,70年,null,null,null,2017-05-04,商品房,2011-03-31,公寓,满五年,非共有,有抵押 110万元 华夏银行 客户偿还,已上传房本照片,0,null
朝阳,建国门外,60,12,1300,87536元/平米,东方瑞景,2室1厅1厨2卫,中楼层 (共27层),148.51㎡,暂无数据,118.31㎡,塔楼,东南,钢混结构,精装,三梯十一户,集中供暖,有,70年,null,null,null,2017-05-05,商品房,2013-06-08,普通住宅,满两年,非共有,无抵押,已上传房本照片,0,null
朝阳,建国门外,73,6,570,84859元/平米,建外三道街,2室2厅1厨1卫,顶层 (共6层),67.17㎡,暂无数据,45.59㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,暂无数据,70年,null,null,null,2017-05-23,央产房,2005-11-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,建国门外,16,1,720,72260元/平米,地杰长安驿,1室1厅1厨1卫,中楼层 (共30层),99.64㎡,暂无数据,暂无数据,塔楼,南,钢混结构,精装,六梯十八户,集中供暖,有,70年,null,null,null,2017-07-23,商品房,2011-03-17,公寓,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,建国门外,46,20,800,98973元/平米,丽舍公寓,2室2厅1厨2卫,高楼层 (共13层),80.83㎡,暂无数据,56.47㎡,板塔结合,东北,钢混结构,精装,两梯十二户,自供暖,有,70年,null,null,null,2017-05-21,商品房,2010-03-15,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
朝阳,建国门外,6,0,500,76348元/平米,长安6号,1室1厅1厨1卫,高楼层 (共18层),65.49㎡,平层,44.52㎡,塔楼,西北,钢混结构,精装,四梯二十一户,集中供暖,有,70年,null,null,null,2017-08-10,商品房,2010-12-01,公寓,满五年,非共有,有抵押 100万元 北京银行 客户偿还,已上传房本照片,0,null
朝阳,建国门外,11,0,549,64346元/平米,长安6号,1室1厅1厨1卫,中楼层 (共18层),85.32㎡,暂无数据,58㎡,塔楼,西,钢混结构,精装,四梯二十一户,集中供暖,有,70年,null,null,null,2017-08-26,商品房,2011-10-19,公寓,满五年,非共有,有抵押 100万元 建设银行 业主自还,已上传房本照片,0,null
朝阳,建国门外,23,14,750,77600元/平米,地杰长安驿,1室1厅1厨1卫,中楼层 (共30层),96.65㎡,平层,76.83㎡,塔楼,东北,钢混结构,精装,六梯十八户,集中供暖,有,70年,null,null,null,2017-04-09,商品房,2011-03-17,公寓,满五年,非共有,有抵押 业主自还,已上传房本照片,0,null
朝阳,建国门外,20,4,780,80704元/平米,地杰长安驿,1室1厅1厨1卫,低楼层 (共30层),96.65㎡,平层,76.83㎡,塔楼,西南,钢混结构,简装,六梯十八户,集中供暖,有,70年,null,null,null,2017-05-14,商品房,2013-01-29,公寓,满两年,非共有,无抵押,已上传房本照片,0,null
朝阳,建国门外,77,13,860,84347元/平米,恒基中心,2室1厅1厨2卫,中楼层 (共23层),101.96㎡,暂无数据,暂无数据,塔楼,西,钢混结构,精装,一梯二十四户,暂无数据,暂无数据,70年,null,null,null,2017-04-07,商品房,2013-07-18,公寓,满两年,非共有,无抵押,已上传房本照片,0,null
朝阳,建国门外,39,9,1180,88257元/平米,东方瑞景,2室1厅1厨2卫,高楼层 (共26层),133.7㎡,平层,106.23㎡,塔楼,西,钢混结构,精装,三梯十户,集中供暖,有,70年,null,null,null,2017-05-27,私产,2007-04-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,距离1号线永安里站867米
