城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
朝阳,望京,95,39,1399,101311元/平米,融科橄榄城三期,3室2厅1厨2卫,高楼层 (共24层),138.09㎡,暂无数据,103.45㎡,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,70年,null,null,null,2017-08-16,商品房,2011-08-31,普通住宅,满五年,非共有,有抵押 70万元 银行 客户偿还,已上传房本照片,17,距离15号线望京站683米
朝阳,望京,77,63,625,69638元/平米,望京新城,2室1厅1厨1卫,低楼层 (共26层),89.75㎡,平层,暂无数据,塔楼,西南,钢混结构,简装,三梯十二户,集中供暖,有,70年,null,null,null,2017-08-17,私产,2005-05-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,18,null
朝阳,望京,53,34,670,62617元/平米,南湖东园一区,2室2厅1厨1卫,高楼层 (共28层),107㎡,暂无数据,暂无数据,塔楼,东南,钢混结构,精装,三梯十户,集中供暖,有,70年,null,null,null,2017-08-18,二类经济适用房,2012-02-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
朝阳,望京,21,5,2500,96432元/平米,东湖湾一期,4室2厅1厨2卫,低楼层 (共28层),259.25㎡,暂无数据,205.75㎡,板塔结合,东 南 北,钢混结构,毛坯,两梯两户,集中供暖,有,70年,null,null,null,2017-09-05,商品房,2009-08-24,普通住宅,满五年,非共有,有抵押 1700万元 个人 业主自还,已上传房本照片,5,null
朝阳,望京,151,129,690,81938元/平米,炫彩嘉轩,2室1厅1厨1卫,中楼层 (共21层),84.21㎡,暂无数据,63.76㎡,板塔结合,东南,钢混结构,精装,两梯六户,集中供暖,有,70年,null,null,null,2017-06-05,商品房,2009-04-29,普通住宅,满五年,非共有,有抵押 230万元 中信银行 客户偿还,已上传房本照片,4,null
朝阳,望京,82,79,749,83315元/平米,首开知语城,2室1厅1厨1卫,高楼层 (共22层),89.9㎡,平层,74.5㎡,塔楼,东北,钢混结构,简装,两梯八户,自供暖,有,70年,null,null,null,2017-07-09,商品房,2009-08-11,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
朝阳,望京,210,137,890,85388元/平米,上京新航线,2室1厅1厨2卫,中楼层 (共26层),104.23㎡,暂无数据,84.49㎡,板塔结合,南 西,钢混结构,精装,两梯六户,集中供暖,有,70年,null,null,null,2017-06-25,商品房,2010-07-19,普通住宅,满五年,非共有,有抵押 180万元 工商银行 业主自还,已上传房本照片,11,null
朝阳,望京,26,39,838,70408元/平米,望京花园东区,3室1厅1厨2卫,低楼层 (共24层),119.02㎡,平层,101.72㎡,塔楼,西南,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-06-07,一类经济适用房,2003-11-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
朝阳,望京,77,87,1060,77446元/平米,华鼎世家二期,2室1厅1厨2卫,低楼层 (共18层),136.87㎡,平层,107.13㎡,板塔结合,东南,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-06-12,商品房,2010-11-09,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
朝阳,望京,71,52,595,85024元/平米,北纬40度二期,2室1厅1厨1卫,中楼层 (共28层),69.98㎡,暂无数据,54.21㎡,塔楼,西北,钢混结构,精装,两梯六户,集中供暖,有,70年,null,null,null,2017-07-02,商品房,2010-12-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
