城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
朝阳,朝阳公园,69,24,1300,93217元/平米,棕榈泉国际公寓,2室2厅1厨2卫,低楼层 (共30层),139.46㎡,暂无数据,108.43㎡,板塔结合,东南,钢混结构,精装,三梯四户,集中供暖,有,70年,null,null,null,2017-08-22,私产,2006-12-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
朝阳,朝阳公园,69,46,1650,97981元/平米,公园大道,3室2厅1厨2卫,低楼层 (共31层),168.4㎡,暂无数据,131.09㎡,板塔结合,东南 北,钢混结构,精装,四梯八户,自供暖,有,70年,null,null,null,2017-07-28,商品房,2008-11-11,普通住宅,满五年,共有,无抵押,已上传房本照片,8,null
朝阳,朝阳公园,61,18,1250,72548元/平米,东润枫景三期,3室1厅1厨2卫,低楼层 (共15层),172.3㎡,暂无数据,147.19㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-08-22,私产,2001-03-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
朝阳,朝阳公园,187,115,1800,95923元/平米,泛海国际碧海园,3室2厅1厨2卫,低楼层 (共18层),187.65㎡,平层,144.22㎡,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,70年,null,null,null,2017-06-29,商品房,2016-12-09,普通住宅,暂无数据,非共有,有抵押 207万元 招商银行 客户偿还,已上传房本照片,11,null
朝阳,朝阳公园,269,250,980,60349元/平米,丽水嘉园,3室2厅1厨2卫,底层 (共22层),162.39㎡,平层,132.54㎡,塔楼,东北,钢混结构,毛坯,三梯六户,自供暖,有,70年,null,null,null,2016-12-23,商品房,2016-12-29,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,8,null
朝阳,朝阳公园,573,267,420,59795元/平米,南十里居,3室1厅1厨1卫,中楼层 (共6层),70.24㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-02-23,已购公房,1993-12-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,14,null
朝阳,朝阳公园,185,45,328,61320元/平米,南十里居,2室1厅1厨1卫,低楼层 (共6层),53.49㎡,暂无数据,37.28㎡,板楼,南 北,混合结构,简装,一梯两户,自供暖,无,70年,null,null,null,2017-08-20,已购公房,2001-11-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,19,null
朝阳,朝阳公园,0,88,920,76456元/平米,丽水嘉园,2室2厅1厨1卫,低楼层 (共23层),120.33㎡,平层,100.49㎡,塔楼,东南,钢混结构,精装,三梯八户,自供暖,有,70年,null,null,null,2017-04-15,商品房,2010-11-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,9,null
朝阳,朝阳公园,313,122,860,58030元/平米,泰华滨河苑,3室2厅1厨3卫,低楼层 (共27层),148.2㎡,暂无数据,116.22㎡,板楼,南 北,钢混结构,精装,两梯六户,集中供暖,有,70年,null,null,null,2016-06-15,商品房,2006-07-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,朝阳公园,44,3,1600,48889元/平米,东润枫景三期,6室2厅1厨4卫,底层 (共15层),327.27㎡,暂无数据,279.57㎡,板楼,东 南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-09-05,商品房,2012-02-15,普通住宅,满五年,非共有,有抵押 800万元 业主自还,已上传房本照片,3,null
