城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
朝阳,潘家园,37,22,488,53964元/平米,弘善家园,3室1厅1厨1卫,高楼层 (共28层),90.43㎡,暂无数据,77.17㎡,塔楼,东北,钢混结构,简装,四梯十六户,自供暖,有,70年,null,null,null,2017-08-26,二类经济适用房,2015-04-30,普通住宅,满两年,非共有,无抵押,已上传房本照片,6,null
朝阳,潘家园,159,93,319,63928元/平米,松榆里,1室1厅1厨1卫,低楼层 (共19层),49.9㎡,暂无数据,暂无数据,塔楼,东南,钢混结构,简装,一梯八户,集中供暖,有,70年,null,null,null,2017-07-16,商品房,2004-05-11,普通住宅,满五年,共有,无抵押,已上传房本照片,22,null
朝阳,潘家园,143,78,281,65870元/平米,松榆里,1室1厅1厨1卫,中楼层 (共6层),42.66㎡,平层,40㎡,板楼,南,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-05-21,已购公房,2008-06-07,普通住宅,满五年,非共有,无抵押,已上传房本照片,18,null
朝阳,潘家园,165,116,350,63974元/平米,松榆里,2室1厅1厨1卫,低楼层 (共6层),54.71㎡,暂无数据,38.04㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-21,已购公房,2015-01-14,普通住宅,满两年,非共有,无抵押,已上传房本照片,41,null
朝阳,潘家园,31,25,407,61882元/平米,潘家园东里,2室1厅1厨1卫,低楼层 (共18层),65.77㎡,暂无数据,52.76㎡,塔楼,西南,钢混结构,精装,两梯十四户,集中供暖,有,70年,null,null,null,2017-07-15,私产,2006-04-11,普通住宅,满五年,非共有,暂无数据,已上传房本照片,8,null
朝阳,潘家园,457,119,274,61879元/平米,华威西里,1室1厅1厨1卫,低楼层 (共6层),44.28㎡,暂无数据,30.07㎡,板楼,南,混合结构,简装,一梯八户,集中供暖,无,70年,null,null,null,2017-05-21,已购公房,2005-01-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,20,null
朝阳,潘家园,96,10,390,56785元/平米,华威西里,3室1厅1厨1卫,顶层 (共22层),68.68㎡,暂无数据,暂无数据,塔楼,东北,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-08-26,已购公房,1991-09-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
朝阳,潘家园,55,20,435,57677元/平米,华威北里,2室1厅1厨1卫,中楼层 (共19层),75.42㎡,暂无数据,50.43㎡,塔楼,西北,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-07-20,商品房,2009-06-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,9,null
朝阳,潘家园,81,21,370,59900元/平米,劲松七区,3室1厅1厨1卫,顶层 (共6层),61.77㎡,暂无数据,43.56㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-26,商品房,2013-01-07,普通住宅,满两年,非共有,有抵押 70万元 中国工商银行 业主自还,已上传房本照片,3,null
朝阳,潘家园,364,38,298,64086元/平米,弘善家园,1室0厅1厨1卫,中楼层 (共26层),46.5㎡,暂无数据,39.09㎡,板塔结合,东南,钢混结构,精装,两梯十一户,自供暖,有,70年,null,null,null,2017-06-30,商品房,2014-07-07,普通住宅,满两年,非共有,有抵押 60万元 工商银行 客户偿还,已上传房本照片,1,null
