城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
朝阳,燕莎,27,32,2300,74110元/平米,SOHO北京公馆,3室2厅1厨2卫,中楼层 (共25层),310.35㎡,暂无数据,232.85㎡,塔楼,南 北,钢混结构,精装,四梯八户,自供暖,有,70年,null,null,null,2017-07-01,商品房,2011-05-18,公寓,满五年,非共有,无抵押,已上传房本照片,3,null
朝阳,燕莎,81,48,1480,78631元/平米,US联邦公寓,3室2厅1厨2卫,低楼层 (共31层),188.22㎡,暂无数据,151.34㎡,塔楼,南,钢混结构,精装,两梯三户,集中供暖,有,70年,null,null,null,2017-05-16,商品房,2009-02-11,公寓,满五年,非共有,无抵押,已上传房本照片,7,null
朝阳,燕莎,44,26,1400,84623元/平米,亮马名居,3室1厅1厨2卫,中楼层 (共25层),165.44㎡,暂无数据,128.81㎡,塔楼,南 东北,钢混结构,精装,三梯八户,集中供暖,有,70年,null,null,null,2017-07-30,私产,2004-01-13,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
朝阳,燕莎,18,32,1730,89968元/平米,亮马名居,3室1厅1厨2卫,中楼层 (共26层),192.29㎡,暂无数据,149.71㎡,塔楼,西南,钢混结构,精装,三梯八户,集中供暖,有,70年,null,null,null,2017-01-13,商品房,2015-08-20,普通住宅,满两年,非共有,无抵押,已上传房本照片,6,null
朝阳,燕莎,133,123,465,76949元/平米,新源街,2室1厅1厨1卫,中楼层 (共6层),60.43㎡,暂无数据,42.56㎡,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-02,商品房,2011-07-20,普通住宅,满五年,非共有,有抵押 业主自还,已上传房本照片,12,null
朝阳,燕莎,57,118,386,74748元/平米,三源里街,2室1厅1厨1卫,底层 (共6层),51.64㎡,暂无数据,暂无数据,板楼,南,钢混结构,其他,一梯三户,集中供暖,无,70年,null,null,null,2017-05-27,央产房,2001-03-22,普通住宅,满五年,非共有,暂无数据,已上传房本照片,9,null
朝阳,燕莎,72,29,620,64678元/平米,新源里西,4室1厅1厨1卫,高楼层 (共6层),95.86㎡,暂无数据,暂无数据,板楼,南 北,砖混结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-02-16,已购公房,2000-11-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
朝阳,燕莎,29,17,2100,71278元/平米,嘉和丽园,4室2厅1厨3卫,低楼层 (共28层),294.62㎡,暂无数据,226.14㎡,塔楼,西南,钢混结构,简装,两梯五户,集中供暖,有,70年,null,null,null,2017-04-22,私产,2007-06-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
朝阳,燕莎,107,111,2000,68672元/平米,SOHO北京公馆,3室1厅1厨4卫,低楼层 (共29层),291.24㎡,暂无数据,216.59㎡,塔楼,南 北,钢混结构,精装,两梯八户,自供暖,有,70年,null,null,null,2017-02-25,商品房,2011-06-28,公寓,满五年,非共有,无抵押,已上传房本照片,2,null
朝阳,燕莎,2,7,420,77362元/平米,新源里西,2室1厅1厨1卫,中楼层 (共5层),54.29㎡,暂无数据,暂无数据,板楼,西南 东北,砖混结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-28,已购公房,2017-08-25,普通住宅,暂无数据,共有,无抵押,已上传房本照片,6,null
朝阳,燕莎,6,25,450,77439元/平米,新源街,2室1厅1厨1卫,低楼层 (共6层),58.11㎡,暂无数据,40.97㎡,板楼,南 北,钢混结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-24,商品房,2012-05-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,12,null
朝阳,燕莎,58,58,395,75801元/平米,三源里街,2室1厅1厨1卫,底层 (共6层),52.11㎡,暂无数据,暂无数据,板楼,南,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-07,已购公房,2012-03-01,普通住宅,满五年,共有,无抵押,已上传房本照片,2,null
朝阳,燕莎,62,49,470,75709元/平米,新源南路,2室1厅1厨1卫,顶层 (共16层),62.08㎡,平层,暂无数据,板塔结合,东南,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-07-06,商品房,2014-09-24,普通住宅,满两年,非共有,无抵押,已上传房本照片,5,null
朝阳,燕莎,568,112,500,65815元/平米,霞光里30号院,3室1厅1厨1卫,中楼层 (共6层),75.97㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯四户,集中供暖,无,70年,null,null,null,2017-02-19,已购公房,2000-09-07,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
