城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
朝阳,甜水园,203,85,1350,85206元/平米,公园五号,3室1厅1厨2卫,低楼层 (共22层),158.44㎡,平层,133.38㎡,塔楼,南 北,钢混结构,精装,两梯六户,集中供暖,有,70年,null,null,null,2017-06-03,私产,2006-06-02,普通住宅,满五年,非共有,有抵押 890万元 华夏银行 业主自还,已上传房本照片,3,null
朝阳,甜水园,70,14,390,66372元/平米,六里屯北里,2室1厅1厨1卫,顶层 (共6层),58.76㎡,平层,58.76㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-17,已购公房,2000-11-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
朝阳,甜水园,37,9,580,69678元/平米,甜水园北里,3室1厅1厨1卫,低楼层 (共12层),83.24㎡,暂无数据,63.32㎡,板塔结合,南 北,钢混结构,精装,三梯十户,集中供暖,有,70年,null,null,null,2017-09-06,商品房,2015-08-17,普通住宅,满两年,共有,有抵押 200万元 建设银行 客户偿还,已上传房本照片,9,null
朝阳,甜水园,69,15,610,55682元/平米,延静东里,3室1厅1厨1卫,中楼层 (共26层),109.55㎡,暂无数据,76.78㎡,塔楼,东 西北,钢混结构,精装,两梯十二户,集中供暖,有,70年,null,null,null,2017-08-06,商品房,2015-02-09,普通住宅,满两年,共有,无抵押,已上传房本照片,2,null
朝阳,甜水园,26,33,360,66852元/平米,延静东里,2室1厅1厨1卫,高楼层 (共6层),53.85㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-12,已购公房,2017-08-16,普通住宅,暂无数据,共有,无抵押,已上传房本照片,20,null
朝阳,甜水园,123,242,400,69264元/平米,道家园,2室1厅1厨1卫,低楼层 (共7层),57.75㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-03-01,已购公房,2010-11-22,普通住宅,满五年,非共有,暂无数据,已上传房本照片,7,null
朝阳,甜水园,83,38,480,67511元/平米,六里屯东里,3室1厅1厨1卫,高楼层 (共6层),71.1㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-05-09,已购公房,2014-09-19,普通住宅,满两年,共有,无抵押,已上传房本照片,3,null
朝阳,甜水园,30,4,2350,106964元/平米,公园五号,3室2厅1厨3卫,中楼层 (共12层),219.7㎡,暂无数据,185.03㎡,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,70年,null,null,null,2017-09-05,商品房,2012-12-04,普通住宅,满两年,非共有,有抵押 1000万元 中国银行 客户偿还,已上传房本照片,4,null
朝阳,甜水园,52,7,395,72999元/平米,甜水园东里,2室1厅1厨1卫,中楼层 (共6层),54.11㎡,平层,41.54㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-30,已购公房,2002-03-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
朝阳,甜水园,117,34,638,58238元/平米,延静东里,3室1厅1厨1卫,高楼层 (共26层),109.55㎡,暂无数据,暂无数据,塔楼,东 西 北,钢混结构,简装,两梯十二户,集中供暖,有,70年,null,null,null,2017-03-27,商品房,2009-01-07,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,甜水园,94,42,1100,58751元/平米,团圆居,3室2厅1厨2卫,中楼层 (共16层),187.23㎡,暂无数据,157.84㎡,塔楼,南 北,钢混结构,精装,两梯六户,集中供暖,有,40年,null,null,null,2017-07-01,商品房,2012-03-21,普通住宅,满五年,非共有,有抵押 496万元 民生银行 客户偿还,已上传房本照片,10,null
朝阳,甜水园,100,60,430,61720元/平米,延静东里,1室1厅1厨1卫,中楼层 (共26层),69.67㎡,暂无数据,60㎡,塔楼,南,钢混结构,简装,两梯十二户,集中供暖,有,70年,null,null,null,2017-06-05,私产,2009-02-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
朝阳,甜水园,210,21,500,66103元/平米,延静里,3室1厅1厨1卫,顶层 (共6层),75.64㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2016-10-08,已购公房,2000-04-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,甜水园,214,21,580,62285元/平米,延静东里,2室2厅1厨1卫,高楼层 (共26层),93.12㎡,平层,78.46㎡,塔楼,西南,钢混结构,精装,两梯十二户,集中供暖,有,70年,null,null,null,2017-06-06,商品房,2009-07-24,普通住宅,满五年,共有,无抵押,已上传房本照片,0,null
朝阳,甜水园,69,25,438,68395元/平米,马道口,2室1厅1厨1卫,中楼层 (共6层),64.04㎡,暂无数据,42.64㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-05,商品房,2009-03-25,普通住宅,满五年,共有,无抵押,已上传房本照片,1,null
朝阳,甜水园,86,15,750,82645元/平米,公园五号,2室1厅1厨1卫,中楼层 (共7层),90.75㎡,平层,69.63㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-18,商品房,2015-01-05,普通住宅,满两年,共有,有抵押 70万元 建设银行 业主自还,已上传房本照片,4,null
