城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
朝阳,百子湾,111,99,520,50466元/平米,百子湾家园二区,2室1厅1厨1卫,中楼层 (共24层),103.04㎡,暂无数据,82.94㎡,板塔结合,南 西,钢混结构,毛坯,两梯五户,集中供暖,有,70年,null,null,null,2017-06-13,一类经济适用房,2007-07-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,10,null
朝阳,百子湾,189,54,478,65016元/平米,沿海赛洛城,2室1厅1厨1卫,低楼层 (共24层),73.52㎡,暂无数据,54.75㎡,板塔结合,东 西,钢混结构,其他,一梯两户,集中供暖,有,70年,null,null,null,2017-05-21,商品房,2013-04-19,普通住宅,满两年,非共有,暂无数据,已上传房本照片,7,null
朝阳,百子湾,88,25,680,64836元/平米,美利山,3室1厅1厨1卫,中楼层 (共24层),104.88㎡,平层,80.22㎡,板塔结合,西南,钢混结构,精装,三梯八户,集中供暖,有,70年,null,null,null,2017-07-01,商品房,2011-02-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
朝阳,百子湾,55,37,717,81980元/平米,金都杭城东区,2室2厅1厨1卫,中楼层 (共26层),87.46㎡,暂无数据,67.49㎡,板塔结合,南,钢混结构,精装,两梯三户,自供暖,有,70年,null,null,null,2017-07-19,商品房,2015-08-06,普通住宅,满两年,非共有,无抵押,已上传房本照片,2,null
朝阳,百子湾,65,19,365,57399元/平米,百子湾家园一区,1室1厅1厨1卫,高楼层 (共16层),63.59㎡,平层,51.6㎡,板塔结合,北,钢混结构,精装,两梯五户,集中供暖,有,70年,null,null,null,2017-05-06,一类经济适用房,2007-08-31,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
朝阳,百子湾,31,15,880,62633元/平米,美利山,3室1厅1厨2卫,低楼层 (共7层),140.5㎡,暂无数据,116.38㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-07-22,商品房,2011-06-20,普通住宅,满五年,共有,无抵押,已上传房本照片,10,null
朝阳,百子湾,96,50,585,73272元/平米,沿海赛洛城,2室1厅1厨1卫,顶层 (共8层),79.84㎡,平层,61.31㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-07-29,私产,2008-05-29,普通住宅,满五年,非共有,无抵押,已上传房本照片,12,null
朝阳,百子湾,75,107,600,64858元/平米,沿海赛洛城,2室1厅1厨1卫,低楼层 (共24层),92.51㎡,暂无数据,68.89㎡,板塔结合,东 西,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-04-17,私产,2009-01-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,11,null
朝阳,百子湾,18,43,600,59743元/平米,百子湾家园二区,2室1厅1厨1卫,中楼层 (共14层),100.43㎡,暂无数据,80.78㎡,板塔结合,南 北,钢混结构,精装,两梯五户,集中供暖,有,70年,null,null,null,2017-07-25,一类经济适用房,2008-01-29,普通住宅,满五年,非共有,暂无数据,已上传房本照片,15,null
朝阳,百子湾,148,83,540,52407元/平米,百子湾家园一区,2室1厅1厨1卫,中楼层 (共24层),103.04㎡,暂无数据,82.94㎡,板塔结合,南,钢混结构,精装,两梯五户,集中供暖,有,70年,null,null,null,2017-06-21,一类经济适用房,2008-03-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
朝阳,百子湾,142,80,510,50545元/平米,百子湾家园二区,2室1厅1厨1卫,底层 (共22层),100.9㎡,平层,81.37㎡,板塔结合,南,钢混结构,精装,两梯五户,集中供暖,有,70年,null,null,null,2017-06-07,一类经济适用房,2007-11-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
