城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
朝阳,红庙,36,31,510,65578元/平米,红庙北里,3室1厅1厨1卫,低楼层 (共18层),77.77㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,简装,三梯十九户,集中供暖,有,70年,null,null,null,2017-08-17,央产房,2009-08-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,距离10号线金台夕照站794米
朝阳,红庙,39,30,386,84372元/平米,人民日报社家属区,1室1厅1厨1卫,低楼层 (共6层),45.75㎡,暂无数据,36.22㎡,板楼,南,钢混结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-30,央产房,2006-10-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,16,null
朝阳,红庙,27,38,372,70844元/平米,金台里,2室1厅1厨1卫,低楼层 (共6层),52.51㎡,暂无数据,36.99㎡,板楼,南,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-26,已购公房,2017-07-04,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,17,null
朝阳,红庙,30,28,1170,90334元/平米,华贸国际公寓,2室1厅1厨2卫,低楼层 (共26层),129.52㎡,暂无数据,103.98㎡,塔楼,南 北,钢混结构,精装,三梯八户,集中供暖,有,70年,null,null,null,2017-04-02,私产,2005-10-24,普通住宅,满五年,非共有,有抵押 业主自还,已上传房本照片,1,null
朝阳,红庙,87,36,380,66075元/平米,金台里,2室1厅1厨1卫,顶层 (共6层),57.51㎡,暂无数据,40.44㎡,板楼,南,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-17,央产房,1999-09-16,普通住宅,满五年,非共有,有抵押 325万元 客户偿还,已上传房本照片,17,null
朝阳,红庙,97,37,550,66853元/平米,红庙北里,3室1厅1厨1卫,高楼层 (共18层),82.27㎡,暂无数据,暂无数据,板楼,东南,钢混结构,精装,三梯十九户,集中供暖,有,70年,null,null,null,2017-08-03,央产房,1999-06-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,11,null
朝阳,红庙,22,7,850,65224元/平米,东区国际,2室1厅1厨2卫,低楼层 (共32层),130.32㎡,暂无数据,104.97㎡,板塔结合,南 北,钢混结构,精装,三梯七户,集中供暖,有,70年,null,null,null,2017-08-24,商品房,2013-05-23,普通住宅,满两年,非共有,无抵押,已上传房本照片,2,null
朝阳,红庙,29,36,960,65848元/平米,东区国际,2室1厅1厨2卫,高楼层 (共22层),145.79㎡,暂无数据,121.36㎡,板塔结合,西北,钢混结构,精装,两梯七户,集中供暖,有,70年,null,null,null,2017-07-16,商品房,2011-12-13,普通住宅,满五年,非共有,暂无数据,已上传房本照片,7,null
朝阳,红庙,42,24,389,64844元/平米,慈云寺,2室1厅1厨1卫,高楼层 (共14层),59.99㎡,暂无数据,42.3㎡,板楼,南 北,钢混结构,毛坯,一梯三户,集中供暖,有,70年,null,null,null,2017-08-12,商品房,2012-07-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
朝阳,红庙,119,56,370,65895元/平米,红庙北里,2室1厅1厨1卫,中楼层 (共7层),56.15㎡,暂无数据,38.25㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,暂无数据,70年,null,null,null,2017-07-31,央产房,2001-11-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
朝阳,红庙,133,59,460,67055元/平米,红庙北里,3室1厅1厨1卫,顶层 (共6层),68.6㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-03-02,已购公房,1998-06-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
朝阳,红庙,20,1,650,101073元/平米,华贸国际公寓,1室1厅1厨1卫,中楼层 (共26层),64.31㎡,平层,51.63㎡,塔楼,西,钢混结构,简装,三梯八户,集中供暖,有,70年,null,null,null,2017-07-24,私产,2005-10-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,红庙,77,22,390,59136元/平米,慈云寺,2室1厅1厨1卫,中楼层 (共22层),65.95㎡,暂无数据,43.7㎡,塔楼,西北,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-08-19,已购公房,2000-05-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
朝阳,红庙,55,18,505,64785元/平米,慈云寺,3室1厅1厨1卫,顶层 (共6层),77.95㎡,暂无数据,77.95㎡,板楼,南 北,混合结构,简装,一梯四户,集中供暖,无,70年,null,null,null,2017-07-14,已购公房,1998-08-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,红庙,134,64,460,71796元/平米,金台里,2室1厅1厨1卫,高楼层 (共16层),64.07㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-07-19,商品房,2010-09-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
朝阳,红庙,89,27,430,70899元/平米,金台里,2室1厅1厨1卫,中楼层 (共7层),60.65㎡,暂无数据,60㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-28,已购公房,2005-01-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,红庙,245,43,515,68429元/平米,金台里,3室1厅1厨1卫,顶层 (共6层),75.26㎡,平层,75.26㎡,板楼,东 南 西,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-03-16,商品房,2009-06-01,普通住宅,满五年,非共有,有抵押 20万元 北京 客户偿还,已上传房本照片,0,null
朝阳,红庙,32,73,1320,101915元/平米,华贸国际公寓,2室1厅1厨2卫,低楼层 (共26层),129.52㎡,平层,103.98㎡,塔楼,南 北,钢混结构,精装,三梯八户,集中供暖,有,70年,null,null,null,2017-03-13,私产,2007-01-31,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,红庙,116,45,415,63925元/平米,慈云寺,2室1厅1厨1卫,高楼层 (共14层),64.92㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯三户,集中供暖,有,70年,null,null,null,2017-03-21,商品房,2010-01-07,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
朝阳,红庙,40,1,405,64935元/平米,慈云寺,2室1厅1厨1卫,低楼层 (共22层),62.37㎡,暂无数据,46.79㎡,塔楼,东南,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-08-27,商品房,2007-04-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,红庙,20,16,1650,101270元/平米,华贸国际公寓,3室2厅1厨2卫,高楼层 (共26层),162.93㎡,平层,130.8㎡,塔楼,西南,钢混结构,精装,三梯八户,集中供暖,有,70年,null,null,null,2017-05-17,商品房,2009-08-12,普通住宅,满五年,非共有,有抵押 200万元 花旗银行 业主自还,已上传房本照片,0,null
朝阳,红庙,26,12,850,81786元/平米,呼家楼南里,3室1厅1厨1卫,中楼层 (共6层),103.93㎡,暂无数据,80.92㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-21,已购公房,2001-11-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
朝阳,红庙,15,17,370,64292元/平米,延静里中街,2室1厅1厨1卫,高楼层 (共6层),57.55㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2016-06-03,已购公房,1995-03-13,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
朝阳,红庙,101,25,475,72574元/平米,红庙西里,2室1厅1厨1卫,中楼层 (共18层),65.45㎡,暂无数据,50㎡,板楼,南 北,钢混结构,简装,一梯九户,集中供暖,有,70年,null,null,null,2017-04-27,商品房,2009-11-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
朝阳,红庙,79,7,346,63849元/平米,金台里,2室1厅1厨1卫,高楼层 (共6层),54.19㎡,暂无数据,42.4㎡,板楼,东 西,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-09,已购公房,2007-04-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,红庙,23,5,2180,103730元/平米,华贸国际公寓,4室2厅1厨2卫,高楼层 (共14层),210.16㎡,暂无数据,174.22㎡,板楼,南 北,钢混结构,精装,一梯三户,集中供暖,有,70年,null,null,null,2017-07-18,商品房,2010-04-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
朝阳,红庙,30,6,530,72050元/平米,红庙西里,3室1厅1厨1卫,中楼层 (共18层),73.56㎡,暂无数据,73.56㎡,板楼,南 北,钢混结构,简装,一梯九户,集中供暖,有,70年,null,null,null,2017-08-17,已购公房,2002-05-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
