城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
朝阳,芍药居,19,23,520,84457元/平米,芍药居,2室1厅1厨1卫,低楼层 (共18层),61.57㎡,暂无数据,暂无数据,塔楼,南,钢混结构,简装,两梯七户,集中供暖,有,70年,null,null,null,2017-08-24,已购公房,2000-09-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,9,null
朝阳,芍药居,109,21,495,79877元/平米,芍药居北里,2室1厅1厨1卫,高楼层 (共6层),61.97㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-23,商品房,2015-04-24,普通住宅,满两年,非共有,有抵押 150万元 客户偿还,已上传房本照片,9,null
朝阳,芍药居,145,61,750,77906元/平米,芍药居北里,3室1厅1厨1卫,中楼层 (共24层),96.27㎡,暂无数据,暂无数据,塔楼,南 西南,钢混结构,简装,两梯十二户,集中供暖,有,70年,null,null,null,2017-06-26,商品房,2015-06-18,普通住宅,满两年,共有,无抵押,已上传房本照片,13,null
朝阳,芍药居,55,12,461.2,81999元/平米,隆远阁,1室1厅1厨1卫,高楼层 (共15层),56.24㎡,暂无数据,40.42㎡,板塔结合,南,钢混结构,精装,两梯三户,集中供暖,有,70年,null,null,null,2017-09-02,商品房,2009-07-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,11,null
朝阳,芍药居,18,7,483,83218元/平米,芍药居5号院,2室1厅1厨1卫,中楼层 (共6层),58.04㎡,暂无数据,45㎡,板楼,南,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-26,商品房,2009-07-01,普通住宅,满五年,非共有,有抵押 40万元 公积金管理中心 客户偿还,已上传房本照片,3,null
朝阳,芍药居,26,4,727,73830元/平米,芍药居北里,2室1厅1厨1卫,低楼层 (共26层),98.47㎡,暂无数据,76.35㎡,板楼,西南,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-08-31,一类经济适用房,2010-09-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
朝阳,芍药居,43,71,477,79980元/平米,芍药居14号院,2室1厅1厨1卫,高楼层 (共6层),59.64㎡,暂无数据,59.64㎡,板楼,南 北,砖混结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-05-20,已购公房,2002-03-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
朝阳,芍药居,22,12,810,74986元/平米,芍药居北里,2室1厅1厨1卫,中楼层 (共20层),108.02㎡,暂无数据,85.92㎡,板楼,南 西 北,钢混结构,精装,两梯五户,集中供暖,有,70年,null,null,null,2017-08-31,商品房,2016-09-30,普通住宅,暂无数据,非共有,暂无数据,已上传房本照片,12,null
朝阳,芍药居,137,32,520,84553元/平米,芍药居北里,2室1厅1厨1卫,中楼层 (共6层),61.5㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-05-19,已购公房,2012-01-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
朝阳,芍药居,32,53,920,80504元/平米,世捷座,3室1厅1厨2卫,低楼层 (共24层),114.28㎡,暂无数据,97.61㎡,塔楼,西北,钢混结构,简装,两梯十户,集中供暖,有,70年,null,null,null,2017-08-06,私产,2005-12-28,普通住宅,满五年,非共有,有抵押,已上传房本照片,16,null
