城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
朝阳,西坝河,84,39,480,74988元/平米,西坝河中里,2室1厅1厨1卫,中楼层 (共22层),64.01㎡,平层,暂无数据,塔楼,东南,钢混结构,其他,两梯八户,集中供暖,有,70年,null,null,null,2017-07-20,商品房,2010-09-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,12,距离10号线太阳宫站703米
朝阳,西坝河,65,42,1170,89993元/平米,光熙家园一期,3室2厅1厨2卫,高楼层 (共22层),130.01㎡,暂无数据,101.55㎡,板塔结合,南 北,钢混结构,精装,两梯五户,集中供暖,有,70年,null,null,null,2017-08-22,商品房,2013-03-06,普通住宅,满两年,非共有,无抵押,已上传房本照片,25,null
朝阳,西坝河,39,14,540,75377元/平米,西坝河东里,3室1厅1厨1卫,低楼层 (共18层),71.64㎡,暂无数据,60㎡,塔楼,西南,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-09-04,已购公房,2013-07-31,普通住宅,满两年,非共有,无抵押,已上传房本照片,14,null
朝阳,西坝河,70,71,1100,89098元/平米,光熙家园二期,2室1厅1厨2卫,中楼层 (共23层),123.46㎡,暂无数据,99.12㎡,板塔结合,西南,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2016-12-29,商品房,2010-09-13,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
朝阳,西坝河,188,40,420,72929元/平米,西坝河东里,2室1厅1厨1卫,顶层 (共24层),57.59㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯七户,集中供暖,有,70年,null,null,null,2017-06-05,私产,2009-02-12,普通住宅,满五年,非共有,有抵押 30万元 银行,已上传房本照片,1,null
朝阳,西坝河,98,49,440,65243元/平米,西坝河西里,2室1厅1厨1卫,底层 (共18层),67.44㎡,暂无数据,55㎡,塔楼,东北,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-05-30,已购公房,1996-05-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,17,null
朝阳,西坝河,115,23,315,71106元/平米,西坝河中里,1室1厅1厨1卫,高楼层 (共12层),44.3㎡,暂无数据,34.27㎡,板楼,南 北,钢混结构,简装,两梯五户,集中供暖,有,70年,null,null,null,2017-07-20,商品房,2015-08-28,普通住宅,满两年,共有,有抵押 100万元 北京银行 客户偿还,已上传房本照片,11,null
朝阳,西坝河,145,115,1400,90650元/平米,光熙家园二期,3室1厅1厨2卫,低楼层 (共21层),154.44㎡,暂无数据,124.53㎡,板塔结合,南 北,钢混结构,精装,两梯三户,集中供暖,有,70年,null,null,null,2017-07-08,商品房,2010-11-06,普通住宅,满五年,非共有,有抵押 200万元 中国银行 业主自还,已上传房本照片,21,null
朝阳,西坝河,52,77,880,91992元/平米,光熙家园一期,2室1厅1厨1卫,中楼层 (共24层),95.66㎡,暂无数据,74.78㎡,塔楼,东 西 北,钢混结构,精装,两梯七户,集中供暖,有,70年,null,null,null,2017-07-23,商品房,2008-05-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,15,null
朝阳,西坝河,29,8,570,73529元/平米,西坝河北里,3室1厅1厨1卫,顶层 (共20层),77.52㎡,暂无数据,53.15㎡,塔楼,南 北,钢混结构,毛坯,两梯八户,集中供暖,有,70年,null,null,null,2017-08-25,已购公房,2004-09-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
