城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
朝阳,首都机场,28,18,298,36772元/平米,南竺园,2室1厅1厨1卫,中楼层 (共6层),81.04㎡,暂无数据,60.14㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-30,已购公房,2003-11-19,普通住宅,满五年,非共有,暂无数据,已上传房本照片,14,null
朝阳,首都机场,44,32,240,42720元/平米,首都机场南路西里,2室1厅1厨1卫,底层 (共5层),56.18㎡,暂无数据,39.22㎡,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-29,已购公房,2004-02-24,普通住宅,满五年,非共有,暂无数据,已上传房本照片,22,null
朝阳,首都机场,90,28,244,42127元/平米,东平里,2室1厅1厨1卫,中楼层 (共6层),57.92㎡,暂无数据,57.9㎡,板楼,东 南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-22,已购公房,1996-12-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
朝阳,首都机场,21,7,249,42282元/平米,南平里,2室1厅1厨1卫,高楼层 (共6层),58.89㎡,暂无数据,40.05㎡,板楼,南 北,混合结构,其他,一梯两户,集中供暖,无,70年,null,null,null,2017-09-07,已购公房,2004-02-24,普通住宅,满五年,非共有,暂无数据,已上传房本照片,7,null
朝阳,首都机场,45,55,269,40764元/平米,东平里,2室1厅1厨1卫,高楼层 (共11层),65.99㎡,平层,暂无数据,塔楼,南 西,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-08-18,商品房,2015-01-14,普通住宅,满两年,非共有,无抵押,已上传房本照片,8,null
朝阳,首都机场,20,84,499,45826元/平米,西平里,3室2厅1厨1卫,中楼层 (共6层),108.89㎡,暂无数据,75.54㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-05-08,已购公房,2005-02-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
朝阳,首都机场,210,231,230,38591元/平米,南平里,2室1厅1厨1卫,中楼层 (共6层),59.6㎡,暂无数据,暂无数据,板楼,南,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-04-18,已购公房,2004-02-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,10,null
朝阳,首都机场,55,25,535,49832元/平米,蓝海苑,2室2厅1厨2卫,底层 (共12层),107.36㎡,暂无数据,92.29㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-05-11,私产,2007-11-15,普通住宅,满五年,非共有,有抵押 20万元,已上传房本照片,1,null
朝阳,首都机场,25,10,609,49996元/平米,蓝海苑,3室2厅1厨2卫,中楼层 (共11层),121.81㎡,暂无数据,104.71㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-07-05,私产,2007-12-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
朝阳,首都机场,95,117,295,44724元/平米,东平里,2室1厅1厨1卫,低楼层 (共6层),65.96㎡,暂无数据,65㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-08,已购公房,2001-08-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,15,null
