城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
朝阳,马甸,56,33,720,126761元/平米,裕中西里,3室1厅1厨1卫,中楼层 (共6层),56.8㎡,暂无数据,暂无数据,板楼,东 西 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-09-02,已购公房,1997-08-15,普通住宅,满五年,非共有,无抵押,已上传房本照片,25,距离8号线安华桥站755米
朝阳,马甸,27,40,750,135379元/平米,裕中东里,2室1厅1厨1卫,底层 (共6层),55.4㎡,暂无数据,42㎡,板楼,南,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-18,央产房,1993-12-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,36,null
朝阳,马甸,125,57,930,122047元/平米,裕中东里,2室1厅1厨1卫,高楼层 (共12层),76.2㎡,暂无数据,暂无数据,板塔结合,南 北,混合结构,简装,两梯两户,集中供暖,有,70年,null,null,null,2017-08-15,私产,2005-06-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
朝阳,马甸,119,70,980,127771元/平米,裕中西里,3室1厅1厨1卫,低楼层 (共6层),76.7㎡,暂无数据,76.7㎡,板楼,东 南 西,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-31,已购公房,2011-03-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,10,null
朝阳,马甸,82,84,1550,137533元/平米,德外大街4号院,3室1厅1厨2卫,中楼层 (共22层),112.7㎡,暂无数据,112.7㎡,塔楼,东南,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-05-17,已购公房,2001-08-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
朝阳,马甸,49,19,600,156250元/平米,裕中东里,1室1厅1厨1卫,底层 (共6层),38.4㎡,暂无数据,1㎡,板楼,南,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-09-02,已购公房,1999-12-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,11,null
朝阳,马甸,60,41,775,126221元/平米,马甸南村,2室1厅1厨1卫,低楼层 (共16层),61.4㎡,暂无数据,48㎡,塔楼,东南,钢混结构,精装,两梯七户,集中供暖,有,70年,null,null,null,2017-07-18,商品房,2009-12-25,普通住宅,满五年,共有,有抵押 40万元 华夏银行 业主自还,已上传房本照片,7,null
朝阳,马甸,33,7,750,135379元/平米,新风北里,2室1厅1厨1卫,高楼层 (共6层),55.4㎡,暂无数据,38.68㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-09-03,私产,2008-02-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
朝阳,马甸,60,22,460,84699元/平米,月季园,2室1厅1厨1卫,高楼层 (共21层),54.31㎡,平层,54.31㎡,塔楼,东,钢混结构,简装,两梯九户,集中供暖,有,70年,null,null,null,2017-08-14,已购公房,2005-11-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
朝阳,马甸,46,7,695,133654元/平米,裕中西里,1室1厅1厨1卫,低楼层 (共24层),52㎡,暂无数据,35.38㎡,板塔结合,东,混合结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-09-01,已购公房,2009-06-09,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
