城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
朝阳,高碑店,93,93,365,50255元/平米,富华家园,2室1厅1厨1卫,低楼层 (共24层),72.63㎡,暂无数据,56.99㎡,塔楼,东南,钢混结构,简装,两梯十户,集中供暖,有,70年,null,null,null,2017-06-04,一类经济适用房,2001-10-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,13,距离八通线高碑店站876米
朝阳,高碑店,64,36,460,60935元/平米,兴隆家园,1室1厅1厨1卫,中楼层 (共23层),75.49㎡,平层,59.52㎡,板塔结合,东 北,钢混结构,精装,两梯六户,集中供暖,有,70年,null,null,null,2017-05-19,私产,2006-07-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
朝阳,高碑店,53,74,599,62782元/平米,兴隆家园,2室1厅1厨1卫,低楼层 (共24层),95.41㎡,平层,77.13㎡,塔楼,东 南,钢混结构,简装,三梯八户,集中供暖,有,70年,null,null,null,2017-05-05,私产,2006-05-17,普通住宅,满五年,非共有,有抵押 10万元 农业银行 业主自还,已上传房本照片,12,null
朝阳,高碑店,77,24,880,64854元/平米,兴隆家园,3室1厅1厨2卫,高楼层 (共18层),135.69㎡,平层,106.99㎡,塔楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-06-21,私产,2008-07-15,普通住宅,满五年,非共有,无抵押,已上传房本照片,13,null
朝阳,高碑店,10,27,296,56770元/平米,南太平庄北巷,2室1厅1厨1卫,中楼层 (共6层),52.14㎡,平层,34.39㎡,板楼,东 北,混合结构,毛坯,一梯两户,集中供暖,无,70年,null,null,null,2017-08-19,已购公房,2008-02-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,9,null
朝阳,高碑店,0,9,700,59453元/平米,兴隆家园,2室1厅1厨1卫,低楼层 (共24层),117.74㎡,暂无数据,98.11㎡,塔楼,西,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-08-31,私产,2004-01-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
朝阳,高碑店,52,71,699,71145元/平米,阿曼寓所,2室2厅1厨1卫,顶层 (共16层),98.25㎡,平层,82.66㎡,板塔结合,西南,钢混结构,精装,两梯四户,自供暖,有,70年,null,null,null,2017-04-12,商品房,2008-10-08,普通住宅,满五年,非共有,有抵押 100万元 业主自还,已上传房本照片,3,null
朝阳,高碑店,78,49,478,48543元/平米,富华家园,3室1厅1厨1卫,中楼层 (共24层),98.47㎡,平层,77.26㎡,塔楼,南 西 北,钢混结构,简装,两梯十户,集中供暖,有,70年,null,null,null,2017-05-21,一类经济适用房,2007-11-30,普通住宅,满五年,共有,无抵押,已上传房本照片,4,null
朝阳,高碑店,56,101,490,69336元/平米,兴隆家园,2室1厅1厨1卫,高楼层 (共6层),70.67㎡,暂无数据,62.91㎡,板楼,东 西,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-05-31,私产,2008-01-29,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
朝阳,高碑店,7,4,640,65905元/平米,兴隆家园,2室1厅1厨1卫,低楼层 (共24层),97.11㎡,暂无数据,79.38㎡,塔楼,南,钢混结构,简装,三梯十二户,集中供暖,有,70年,null,null,null,2017-09-05,私产,2005-07-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
