城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
海淀,万寿路,57,61,700,97765元/平米,西翠路12号院,3室1厅1厨1卫,中楼层 (共18层),71.6㎡,暂无数据,暂无数据,塔楼,东北,钢混结构,简装,两梯七户,集中供暖,有,70年,null,null,null,2017-07-29,已购公房,1999-05-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,10,距离1号线万寿路站520米
海淀,万寿路,137,91,850,114865元/平米,万寿路甲15号院五区,2室1厅1厨1卫,中楼层 (共14层),74㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,70年,null,null,null,2017-05-16,私产,2007-12-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,万寿路,20,7,890,109471元/平米,万寿路甲15号院五区,2室1厅1厨1卫,中楼层 (共16层),81.3㎡,暂无数据,53.2㎡,塔楼,西南,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-09-05,已购公房,2003-02-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
海淀,万寿路,190,85,462,83620元/平米,万寿路1号院,2室1厅1厨1卫,中楼层 (共5层),55.25㎡,暂无数据,39.15㎡,板楼,南,混合结构,其他,一梯三户,集中供暖,无,70年,null,null,null,2017-05-16,已购公房,2008-01-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,万寿路,9,7,503,124814元/平米,复兴路61号院,1室1厅1厨1卫,中楼层 (共5层),40.3㎡,暂无数据,27.2㎡,板楼,南,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-21,商品房,2013-07-30,普通住宅,满两年,非共有,暂无数据,已上传房本照片,1,null
海淀,万寿路,18,9,516,129942元/平米,复兴路乙59号,1室1厅1厨1卫,中楼层 (共12层),39.71㎡,暂无数据,暂无数据,板塔结合,东,钢混结构,精装,两梯六户,集中供暖,有,70年,null,null,null,2017-08-20,商品房,2014-10-17,普通住宅,满两年,非共有,无抵押,已上传房本照片,3,null
海淀,万寿路,33,10,1103,119891元/平米,万寿路甲15号院五区,3室1厅1厨2卫,低楼层 (共17层),92㎡,暂无数据,65.8㎡,塔楼,东 南 北,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-08-30,已购公房,2003-08-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,9,null
海淀,万寿路,47,66,554,89848元/平米,万寿路1号院,2室1厅1厨1卫,中楼层 (共5层),61.66㎡,暂无数据,43.53㎡,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-06-27,商品房,2014-06-16,普通住宅,满两年,非共有,无抵押,已上传房本照片,8,null
海淀,万寿路,106,20,1780,99553元/平米,万寿园,4室2厅1厨2卫,低楼层 (共19层),178.8㎡,平层,暂无数据,板塔结合,东南 南 北,钢混结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-05-29,央产房,2006-09-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,万寿路,104,27,899,113942元/平米,复兴路61号院,3室1厅1厨1卫,中楼层 (共5层),78.9㎡,暂无数据,55㎡,板楼,南 北,砖混结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-04-18,商品房,2005-01-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
海淀,万寿路,59,20,870,105839元/平米,万寿路甲15号院五区,2室1厅1厨1卫,中楼层 (共18层),82.2㎡,暂无数据,暂无数据,塔楼,东,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-07-03,央产房,2016-02-25,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,5,null
海淀,万寿路,35,19,676,104969元/平米,西翠路12号院,2室1厅1厨1卫,中楼层 (共18层),64.4㎡,暂无数据,64㎡,塔楼,南 北,钢混结构,简装,两梯七户,集中供暖,有,70年,null,null,null,2017-07-26,商品房,2012-03-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
海淀,万寿路,46,41,690,105472元/平米,复兴路61号院,2室1厅1厨1卫,顶层 (共5层),65.42㎡,暂无数据,43.73㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-08,央产房,2000-11-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,万寿路,17,11,1182,109933元/平米,朱各庄12号院,3室1厅1厨1卫,高楼层 (共18层),107.52㎡,暂无数据,暂无数据,板楼,东 西,钢混结构,精装,一梯十户,集中供暖,暂无数据,70年,null,null,null,2017-03-25,已购公房,2005-10-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
