城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
海淀,上地,46,27,780,130872元/平米,上地东里,2室1厅1厨1卫,底层 (共6层),59.6㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-20,商品房,2010-09-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,12,null
海淀,上地,127,69,720,73484元/平米,当代城市家园,2室1厅1厨1卫,低楼层 (共12层),97.98㎡,暂无数据,77.87㎡,板塔结合,南 北,钢混结构,精装,两梯十二户,自供暖,有,70年,null,null,null,2017-06-24,私产,2005-05-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,11,null
海淀,上地,91,48,830,72212元/平米,当代城市家园,2室2厅1厨2卫,中楼层 (共11层),114.94㎡,暂无数据,98.42㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-07-24,商品房,2009-04-08,普通住宅,满五年,非共有,有抵押 400万元,已上传房本照片,4,null
海淀,上地,123,160,1200,95155元/平米,上地东里,3室1厅1厨2卫,中楼层 (共6层),126.11㎡,平层,126.11㎡,板楼,南 北,混合结构,其他,一梯两户,集中供暖,无,70年,null,null,null,2017-04-14,商品房,2000-10-23,普通住宅,满五年,非共有,暂无数据,已上传房本照片,3,null
海淀,上地,133,201,850,120277元/平米,上地东里,3室1厅1厨1卫,底层 (共6层),70.67㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-05-07,商品房,2016-03-30,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,11,null
海淀,上地,14,5,1300,89513元/平米,上地佳园,3室2厅1厨2卫,底层 (共11层),145.23㎡,平层,121.15㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-09-06,私产,2007-06-21,普通住宅,满五年,非共有,有抵押 110万元 北京银行 客户偿还,已上传房本照片,5,null
海淀,上地,30,114,870,120332元/平米,上地东里,3室1厅1厨1卫,低楼层 (共6层),72.3㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-03,私产,2001-03-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,18,null
海淀,上地,31,131,665,146154元/平米,上地东里,1室1厅1厨1卫,高楼层 (共6层),45.5㎡,平层,35㎡,板楼,东,混合结构,简装,一梯四户,集中供暖,无,70年,null,null,null,2017-06-17,商品房,2011-06-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
海淀,上地,81,27,1100,57673元/平米,当代城市家园,5室2厅1厨4卫,高楼层 (共6层),190.73㎡,复式,173.67㎡,板楼,南 北,钢混结构,简装,一梯两户,自供暖,无,70年,null,null,null,2017-02-21,商品房,2005-07-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
海淀,上地,20,3,1200,64426元/平米,当代城市家园,4室2厅1厨3卫,高楼层 (共6层),186.26㎡,暂无数据,170.49㎡,板楼,南 北,钢混结构,精装,一梯两户,自供暖,无,70年,null,null,null,2017-09-07,私产,2005-07-29,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
