城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
海淀,世纪城,139,91,1130,98518元/平米,烟树园,3室2厅1厨2卫,中楼层 (共11层),114.7㎡,暂无数据,暂无数据,塔楼,东南,钢混结构,简装,两梯十六户,集中供暖,有,70年,null,null,null,2017-06-10,商品房,2012-09-11,普通住宅,满两年,非共有,无抵押,已上传房本照片,18,距离10号线火器营站1029米
海淀,世纪城,15,16,1350,110992元/平米,垂虹园,2室1厅1厨1卫,低楼层 (共18层),121.63㎡,暂无数据,105.79㎡,塔楼,西南,钢混结构,精装,三梯八户,集中供暖,有,70年,null,null,null,2017-08-19,私产,2005-07-07,普通住宅,满五年,共有,有抵押 80万元 中信银行 业主自还,已上传房本照片,9,null
海淀,世纪城,29,7,1840,109680元/平米,时雨园,3室1厅1厨2卫,高楼层 (共12层),167.76㎡,暂无数据,146.27㎡,板楼,南 北,钢混结构,精装,一梯三户,集中供暖,有,70年,null,null,null,2017-08-16,商品房,2009-12-19,普通住宅,满五年,共有,无抵押,已上传房本照片,2,null
海淀,世纪城,23,10,1680,100000元/平米,远大园一区,3室2厅1厨2卫,中楼层 (共11层),168㎡,暂无数据,150㎡,板楼,南 北,钢混结构,其他,一梯三户,集中供暖,有,70年,null,null,null,2017-09-03,商品房,2008-06-04,普通住宅,满五年,非共有,暂无数据,已上传房本照片,10,null
海淀,世纪城,12,10,940,94340元/平米,金夕园,2室1厅1厨1卫,低楼层 (共17层),99.64㎡,暂无数据,暂无数据,塔楼,东 南,钢混结构,简装,两梯十二户,集中供暖,有,70年,null,null,null,2017-06-14,一类经济适用房,2006-09-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
海淀,世纪城,25,10,1780,86353元/平米,世纪金源国际公寓,4室2厅1厨2卫,高楼层 (共16层),206.13㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,精装,两梯两户,集中供暖,有,70年,null,null,null,2017-08-25,商品房,2015-03-19,普通住宅,满两年,非共有,有抵押,已上传房本照片,6,null
海淀,世纪城,40,36,857,104960元/平米,晨月园,2室1厅1厨1卫,低楼层 (共17层),81.65㎡,暂无数据,67.78㎡,塔楼,东南,钢混结构,精装,三梯十八户,集中供暖,有,70年,null,null,null,2017-08-06,商品房,2011-10-11,普通住宅,满五年,共有,有抵押 40万元 北京银行 业主自还,已上传房本照片,10,null
海淀,世纪城,94,78,730,99225元/平米,烟树园,2室1厅1厨1卫,中楼层 (共11层),73.57㎡,暂无数据,60㎡,塔楼,东北,钢混结构,简装,两梯十六户,集中供暖,有,70年,null,null,null,2017-06-06,商品房,2006-08-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,10,null
海淀,世纪城,44,26,1950,105519元/平米,远大园三区,3室2厅1厨2卫,高楼层 (共14层),184.8㎡,暂无数据,150㎡,板楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-06-11,商品房,2012-03-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
海淀,世纪城,49,21,1730,102787元/平米,春荫园,3室2厅1厨2卫,低楼层 (共12层),168.31㎡,暂无数据,141.41㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-05-23,私产,2007-12-11,普通住宅,满五年,非共有,有抵押 660万元 光大银行 客户偿还,已上传房本照片,2,null
