城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
海淀,中关村,38,25,760,117284元/平米,东南小区,2室1厅1厨1卫,低楼层 (共16层),64.8㎡,暂无数据,45.9㎡,塔楼,南,钢混结构,其他,两梯八户,集中供暖,有,70年,null,null,null,2017-07-29,央产房,2004-12-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,14,距离10号线知春里站559米
海淀,中关村,24,44,730,121061元/平米,中关村东大院,2室1厅1厨1卫,中楼层 (共6层),60.3㎡,平层,40.9㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-27,已购公房,2013-10-10,普通住宅,满两年,非共有,无抵押,已上传房本照片,9,null
海淀,中关村,25,32,1050,113969元/平米,科育小区,3室1厅1厨1卫,中楼层 (共4层),92.13㎡,暂无数据,66.12㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-28,央产房,2015-06-01,普通住宅,满两年,共有,无抵押,已上传房本照片,12,null
海淀,中关村,118,79,580,99983元/平米,知春路丙18号院,2室1厅1厨1卫,高楼层 (共6层),58.01㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-26,已购公房,2001-03-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
海淀,中关村,50,74,770,106574元/平米,中关村,3室1厅1厨1卫,底层 (共6层),72.25㎡,暂无数据,50㎡,板楼,东 西,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-05-14,已购公房,2001-05-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,14,null
海淀,中关村,61,36,740,124161元/平米,东南小区,2室1厅1厨1卫,顶层 (共6层),59.6㎡,暂无数据,52㎡,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-14,央产房,2000-02-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,15,null
海淀,中关村,43,13,1600,127632元/平米,东南小区,3室1厅1厨2卫,高楼层 (共11层),125.36㎡,暂无数据,75.59㎡,板塔结合,南 北,钢混结构,精装,两梯十八户,集中供暖,有,70年,null,null,null,2017-08-22,商品房,2011-03-07,普通住宅,满五年,共有,有抵押 150万元,已上传房本照片,6,null
海淀,中关村,40,16,868,115426元/平米,中关村南三街,3室1厅1厨1卫,中楼层 (共12层),75.2㎡,暂无数据,52.9㎡,板塔结合,南 西 北,钢混结构,简装,两梯十户,集中供暖,有,70年,null,null,null,2017-08-21,央产房,2000-02-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
海淀,中关村,21,8,710,134725元/平米,黄庄小区,2室1厅1厨1卫,底层 (共5层),52.7㎡,暂无数据,37.1㎡,板楼,南,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-09-06,央产房,2009-01-08,普通住宅,满五年,非共有,有抵押 40万元 中信 业主自还,已上传房本照片,8,null
海淀,中关村,40,113,999,125977元/平米,空间物理所小区,3室1厅1厨1卫,高楼层 (共6层),79.3㎡,平层,89.3㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2016-12-05,商品房,2009-03-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,9,null
海淀,中关村,34,44,1110,84411元/平米,怡升园,2室1厅1厨2卫,低楼层 (共14层),131.5㎡,暂无数据,106.33㎡,板塔结合,南 北,钢混结构,简装,一梯两户,集中供暖,有,70年,null,null,null,2017-05-29,私产,2004-02-11,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
海淀,中关村,18,9,1580,132539元/平米,东南小区,3室2厅1厨1卫,底层 (共6层),119.21㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-19,央产房,2005-08-01,普通住宅,满五年,共有,无抵押,已上传房本照片,4,null
海淀,中关村,30,19,665,110539元/平米,中关村,2室1厅1厨1卫,低楼层 (共6层),60.16㎡,平层,42㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-09-01,私产,2006-02-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,11,null
海淀,中关村,43,23,665,101326元/平米,中关村,2室1厅1厨1卫,高楼层 (共6层),65.63㎡,暂无数据,50㎡,板楼,南 西 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-25,商品房,2017-06-21,普通住宅,暂无数据,非共有,有抵押 500万元 工行 业主自还,已上传房本照片,2,null
海淀,中关村,63,23,1030,124547元/平米,东南小区,3室1厅1厨1卫,顶层 (共5层),82.7㎡,平层,57.1㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-14,央产房,2011-05-10,普通住宅,满五年,共有,无抵押,已上传房本照片,3,null
海淀,中关村,14,3,720,107962元/平米,科育小区,2室1厅1厨1卫,顶层 (共4层),66.69㎡,暂无数据,52.3㎡,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-17,央产房,2002-01-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
海淀,中关村,120,74,489,123797元/平米,东南小区,1室1厅1厨1卫,低楼层 (共12层),39.5㎡,平层,26.7㎡,板塔结合,南,钢混结构,简装,一梯八户,集中供暖,有,70年,null,null,null,2017-06-08,商品房,2011-04-13,普通住宅,满五年,非共有,无抵押,已上传房本照片,9,null
