城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
海淀,二里庄,88,97,550,89577元/平米,志新北里,3室1厅1厨1卫,中楼层 (共5层),61.4㎡,暂无数据,52.2㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-06-07,已购公房,2006-06-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,13,距离15号线六道口站914米
海淀,二里庄,88,64,723.5,94948元/平米,二里庄小区,3室1厅1厨1卫,中楼层 (共6层),76.2㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-04-20,已购公房,2002-07-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
海淀,二里庄,22,16,980,84738元/平米,健翔园,3室2厅1厨2卫,中楼层 (共24层),115.65㎡,暂无数据,暂无数据,塔楼,西,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-08-13,商品房,2002-03-29,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
海淀,二里庄,17,27,750,107604元/平米,二里庄小区,3室1厅1厨1卫,底层 (共6层),69.7㎡,暂无数据,暂无数据,板楼,南 北,砖混结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-15,商品房,2015-08-26,普通住宅,满两年,非共有,无抵押,已上传房本照片,5,null
海淀,二里庄,30,91,585,94968元/平米,二里庄小区,2室1厅1厨1卫,中楼层 (共18层),61.6㎡,平层,47.2㎡,塔楼,南,钢混结构,简装,两梯十一户,集中供暖,有,70年,null,null,null,2017-04-28,央产房,2003-06-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
海淀,二里庄,21,52,560,92869元/平米,志新北里,2室1厅1厨1卫,高楼层 (共6层),60.3㎡,暂无数据,42.4㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-12,已购公房,1998-02-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,12,null
海淀,二里庄,221,145,460,79174元/平米,二里庄北里,2室1厅1厨1卫,底层 (共6层),58.1㎡,暂无数据,40.1㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-04-30,商品房,2009-11-10,普通住宅,满五年,非共有,暂无数据,已上传房本照片,0,null
海淀,二里庄,46,42,820,94361元/平米,二里庄小区,3室1厅1厨1卫,中楼层 (共18层),86.9㎡,平层,80㎡,塔楼,东南,钢混结构,简装,两梯十一户,集中供暖,有,70年,null,null,null,2017-04-02,已购公房,2000-12-29,普通住宅,满五年,非共有,无抵押,已上传房本照片,10,null
海淀,二里庄,157,254,528,89720元/平米,志新村,2室1厅1厨1卫,高楼层 (共6层),58.85㎡,暂无数据,58㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-03-31,商品房,2010-09-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
海淀,二里庄,163,139,510,85113元/平米,志新村,2室1厅1厨1卫,顶层 (共6层),59.92㎡,暂无数据,暂无数据,板楼,南 北,混合结构,其他,一梯三户,集中供暖,无,70年,null,null,null,2017-05-17,商品房,2001-10-18,普通住宅,满五年,非共有,暂无数据,已上传房本照片,2,null
