城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
海淀,五棵松,38,17,710,76956元/平米,今日家园,2室1厅1厨1卫,中楼层 (共24层),92.26㎡,暂无数据,暂无数据,塔楼,东北,钢混结构,精装,两梯十一户,集中供暖,有,70年,null,null,null,2017-09-02,商品房,2011-09-19,普通住宅,满五年,非共有,有抵押 700000万元 公积金 客户偿还,已上传房本照片,8,距离1号线五棵松站188米
海淀,五棵松,213,86,360,59201元/平米,永金里小区,2室1厅1厨1卫,底层 (共7层),60.81㎡,暂无数据,41.23㎡,板楼,东 西,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-21,已购公房,2001-10-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,30,null
海淀,五棵松,192,73,405,75729元/平米,金沟河3号院,2室1厅1厨1卫,低楼层 (共6层),53.48㎡,平层,暂无数据,板楼,南,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-06-27,已购公房,2002-11-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,13,null
海淀,五棵松,60,62,550,88710元/平米,六建,2室1厅1厨1卫,高楼层 (共14层),62㎡,暂无数据,1㎡,板塔结合,南 北,钢混结构,简装,两梯三户,集中供暖,有,70年,null,null,null,2017-04-20,已购公房,2015-06-26,普通住宅,满两年,非共有,无抵押,已上传房本照片,15,null
海淀,五棵松,63,73,530,87028元/平米,六建,2室1厅1厨1卫,高楼层 (共14层),60.9㎡,暂无数据,42.5㎡,板塔结合,南 北,钢混结构,精装,两梯三户,集中供暖,有,70年,null,null,null,2017-07-13,商品房,2012-07-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
海淀,五棵松,40,30,870,60046元/平米,万地名苑,3室2厅1厨1卫,高楼层 (共13层),144.89㎡,暂无数据,120.06㎡,板塔结合,东 北,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-07-27,私产,2003-11-11,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
海淀,五棵松,76,158,730,99945元/平米,国家计委宿舍,3室1厅1厨1卫,底层 (共16层),73.04㎡,暂无数据,60㎡,塔楼,南 西,钢混结构,简装,一梯八户,集中供暖,暂无数据,70年,null,null,null,2017-04-23,央产房,2005-11-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
海淀,五棵松,72,63,880,62889元/平米,今日家园,2室2厅1厨2卫,低楼层 (共9层),139.93㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,简装,一梯六户,集中供暖,有,70年,null,null,null,2017-04-09,一类经济适用房,2012-04-09,普通住宅,满五年,非共有,无抵押,已上传房本照片,10,null
海淀,五棵松,34,23,900,96941元/平米,新兴年代,2室1厅1厨1卫,高楼层 (共18层),92.84㎡,暂无数据,75.22㎡,板塔结合,南,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-07-15,商品房,2010-05-07,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
海淀,五棵松,13,14,968,104265元/平米,新兴年代,2室1厅1厨1卫,中楼层 (共18层),92.84㎡,平层,75.22㎡,板塔结合,南,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-08-18,商品房,2010-04-02,普通住宅,满五年,非共有,有抵押 30万元 业主自还,已上传房本照片,3,null
