城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
海淀,五道口,16,3,700,115321元/平米,科源小区,2室1厅1厨1卫,中楼层 (共6层),60.7㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-09-05,已购公房,2000-02-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
海淀,五道口,82,49,920,89958元/平米,水清木华园,2室1厅1厨1卫,中楼层 (共18层),102.27㎡,平层,暂无数据,塔楼,西北,钢混结构,精装,两梯十户,集中供暖,有,70年,null,null,null,2017-02-14,商品房,2001-11-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
海淀,五道口,61,31,850,121429元/平米,科源小区,2室1厅1厨1卫,底层 (共6层),70㎡,暂无数据,65㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-06-20,商品房,2010-11-16,普通住宅,满五年,非共有,有抵押 800万元 担保公司 业主自还,已上传房本照片,3,null
海淀,五道口,99,37,505,80542元/平米,东王庄,2室1厅1厨1卫,顶层 (共6层),62.7㎡,平层,42.6㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-31,商品房,2009-03-13,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
海淀,五道口,111,37,370,91811元/平米,展春园,1室1厅1厨1卫,低楼层 (共6层),40.3㎡,暂无数据,暂无数据,板楼,东,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-14,已购公房,2002-03-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
海淀,五道口,28,19,790,107923元/平米,西王庄小区,3室1厅1厨1卫,底层 (共6层),73.2㎡,暂无数据,51.9㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-16,央产房,1995-03-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
海淀,五道口,17,8,740,97113元/平米,王庄路27号院,3室1厅1厨1卫,低楼层 (共6层),76.2㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-27,私产,2008-12-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
海淀,五道口,18,20,1360,104938元/平米,东升园,3室1厅1厨2卫,底层 (共12层),129.6㎡,平层,1㎡,板楼,东 南 北,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-06-18,商品房,2010-04-29,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
海淀,五道口,52,26,930,95287元/平米,东升园,2室1厅1厨1卫,底层 (共12层),97.6㎡,平层,97.6㎡,板楼,南 北,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-04-03,私产,2008-07-11,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,五道口,44,30,518,81319元/平米,成府路20号院,2室1厅1厨1卫,高楼层 (共9层),63.7㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,简装,一梯十二户,集中供暖,有,70年,null,null,null,2017-07-26,央产房,1994-06-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,五道口,37,45,736,117011元/平米,中关村北一条,2室1厅1厨1卫,低楼层 (共6层),62.9㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-05-15,商品房,1998-11-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
海淀,五道口,53,20,622.9,91995元/平米,成府路20号院,2室1厅1厨1卫,高楼层 (共7层),67.71㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-02,已购公房,2002-01-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
海淀,五道口,48,36,890,97162元/平米,东升园,2室1厅1厨1卫,低楼层 (共12层),91.6㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-04-05,私产,2001-03-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
海淀,五道口,64,15,845,104064元/平米,中关村北一条,3室1厅1厨1卫,顶层 (共5层),81.2㎡,暂无数据,57.9㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-05-23,央产房,2000-02-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,五道口,45,27,1250,102551元/平米,水清木华园,2室1厅1厨2卫,低楼层 (共18层),121.89㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯十户,集中供暖,有,70年,null,null,null,2017-04-30,私产,2003-09-15,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
海淀,五道口,89,29,397,97952元/平米,圆明园东里,1室1厅1厨1卫,中楼层 (共5层),40.53㎡,暂无数据,暂无数据,板楼,南,混合结构,简装,一梯四户,集中供暖,无,70年,null,null,null,2017-06-22,已购公房,2015-05-29,普通住宅,满两年,非共有,无抵押,已上传房本照片,2,null
海淀,五道口,9,1,582,129911元/平米,科源小区,1室1厅1厨1卫,中楼层 (共6层),44.8㎡,平层,34.5㎡,板楼,东 西,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-09-02,已购公房,2001-06-07,普通住宅,满五年,非共有,暂无数据,已上传房本照片,0,null
海淀,五道口,70,28,1250,69498元/平米,东升园,3室1厅1厨2卫,中楼层 (共12层),179.86㎡,暂无数据,暂无数据,板塔结合,南 西,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-08-01,私产,2002-06-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
海淀,五道口,78,17,758,101882元/平米,西王庄小区,3室1厅1厨1卫,顶层 (共6层),74.4㎡,平层,56.8㎡,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-03-19,已购公房,2011-02-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
海淀,五道口,67,23,390,83120元/平米,东王庄,1室1厅1厨1卫,顶层 (共6层),46.92㎡,暂无数据,32.5㎡,板楼,西,混合结构,简装,一梯二十三户,集中供暖,无,70年,null,null,null,2017-06-11,已购公房,2009-12-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
