城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
海淀,公主坟,114,81,510,93236元/平米,翠微南里,2室1厅1厨1卫,中楼层 (共5层),54.7㎡,暂无数据,38㎡,板楼,东南,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-13,已购公房,2000-07-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,距离1号线万寿路站709米
海淀,公主坟,169,173,515,88336元/平米,翠微南里,2室1厅1厨1卫,高楼层 (共6层),58.3㎡,暂无数据,暂无数据,板楼,南 北,砖混结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-03-12,已购公房,2000-10-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,公主坟,8,27,1200,110193元/平米,颐源居三期,2室1厅1厨1卫,中楼层 (共27层),108.9㎡,暂无数据,89.77㎡,塔楼,西北,钢混结构,精装,三梯十户,集中供暖,有,70年,null,null,null,2017-08-01,商品房,2011-09-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,13,null
海淀,公主坟,36,48,550,92282元/平米,普惠南里,2室1厅1厨1卫,低楼层 (共16层),59.6㎡,暂无数据,41.7㎡,塔楼,南,钢混结构,简装,两梯七户,集中供暖,有,70年,null,null,null,2017-08-25,已购公房,2004-06-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,29,null
海淀,公主坟,37,51,665,110963元/平米,翠微西里,2室1厅1厨1卫,低楼层 (共20层),59.93㎡,暂无数据,59.93㎡,塔楼,东南,钢混结构,精装,两梯九户,集中供暖,有,70年,null,null,null,2017-08-06,商品房,2013-10-25,普通住宅,满两年,共有,无抵押,已上传房本照片,8,null
海淀,公主坟,58,75,500,89767元/平米,翠微中里,2室1厅1厨1卫,高楼层 (共21层),55.7㎡,暂无数据,40㎡,塔楼,南,钢混结构,简装,两梯九户,集中供暖,有,70年,null,null,null,2017-08-14,已购公房,2006-02-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,23,null
海淀,公主坟,33,27,610,100993元/平米,翠微路2号院,2室1厅1厨1卫,低楼层 (共6层),60.4㎡,暂无数据,1㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-19,私产,2004-07-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
海淀,公主坟,60,37,640,94815元/平米,翠微东里,3室1厅1厨1卫,高楼层 (共6层),67.5㎡,暂无数据,60㎡,板楼,南 西 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-06-19,私产,2004-04-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
海淀,公主坟,19,26,1650,107289元/平米,颐源居三期,3室1厅1厨2卫,低楼层 (共14层),153.79㎡,暂无数据,129.24㎡,板塔结合,南 北,钢混结构,简装,一梯两户,集中供暖,有,70年,null,null,null,2017-09-06,私产,2004-05-28,普通住宅,满五年,非共有,有抵押 800万元 客户偿还,已上传房本照片,26,null
海淀,公主坟,11,24,580,94463元/平米,翠微路2号院,2室1厅1厨1卫,低楼层 (共6层),61.4㎡,暂无数据,暂无数据,板楼,东 西,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-22,已购公房,2002-01-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
海淀,公主坟,54,54,555,90391元/平米,普惠南里,2室1厅1厨1卫,中楼层 (共16层),61.4㎡,平层,47.1㎡,塔楼,西南,混合结构,简装,两梯七户,集中供暖,有,70年,null,null,null,2017-08-19,已购公房,2014-11-05,普通住宅,满两年,非共有,无抵押,已上传房本照片,20,null
海淀,公主坟,2,5,760,100529元/平米,翠微路26号院,3室1厅1厨1卫,底层 (共6层),75.6㎡,暂无数据,54.3㎡,板楼,东 西,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-09-05,私产,2005-08-09,普通住宅,满五年,非共有,有抵押 200万元 中信 客户偿还,已上传房本照片,5,null
海淀,公主坟,43,14,870,100230元/平米,翠微北里,3室2厅1厨1卫,高楼层 (共24层),86.8㎡,暂无数据,暂无数据,塔楼,南 北,钢混结构,其他,两梯八户,集中供暖,有,70年,null,null,null,2017-08-28,商品房,2006-05-11,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
海淀,公主坟,36,45,770,95179元/平米,翠微东里,2室1厅1厨1卫,中楼层 (共18层),80.9㎡,暂无数据,暂无数据,塔楼,南,钢混结构,精装,两梯七户,集中供暖,有,70年,null,null,null,2017-06-13,商品房,2010-12-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
海淀,公主坟,25,14,570,98958元/平米,翠微北里,2室1厅1厨1卫,高楼层 (共24层),57.6㎡,暂无数据,40.2㎡,塔楼,东南,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-08-27,商品房,2011-06-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,10,null
海淀,公主坟,54,19,530,91379元/平米,普惠南里,2室1厅1厨1卫,低楼层 (共16层),58㎡,暂无数据,39㎡,塔楼,西北,混合结构,精装,两梯七户,集中供暖,有,70年,null,null,null,2017-08-13,私产,2005-05-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
海淀,公主坟,58,14,510,91234元/平米,翠微路2号院,2室1厅1厨1卫,顶层 (共6层),55.9㎡,平层,48㎡,板楼,南,砖混结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-20,商品房,2012-05-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
海淀,公主坟,73,20,2500,85781元/平米,缘溪堂,3室2厅1厨3卫,低楼层 (共23层),291.44㎡,暂无数据,219.74㎡,板塔结合,南 北,钢混结构,精装,两梯一户,集中供暖,有,70年,null,null,null,2017-08-06,商品房,2009-09-01,普通住宅,满五年,共有,无抵押,已上传房本照片,4,null
海淀,公主坟,116,94,690,98431元/平米,普惠南里,2室1厅1厨1卫,中楼层 (共18层),70.1㎡,暂无数据,46.9㎡,塔楼,南,钢混结构,精装,两梯六户,集中供暖,有,70年,null,null,null,2017-05-05,央产房,2004-03-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
海淀,公主坟,45,34,635,98602元/平米,翠微中里,2室1厅1厨1卫,中楼层 (共6层),64.4㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-06,已购公房,1994-05-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
海淀,公主坟,50,13,620,100977元/平米,翠微路2号院,2室1厅1厨1卫,低楼层 (共6层),61.4㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-17,商品房,2012-08-20,普通住宅,满五年,共有,无抵押,已上传房本照片,7,null
海淀,公主坟,98,33,730,99185元/平米,翠微北里,3室1厅1厨1卫,底层 (共6层),73.6㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2016-12-09,已购公房,2011-08-15,普通住宅,满五年,共有,无抵押,已上传房本照片,4,null
海淀,公主坟,46,94,596,99832元/平米,普惠南里,2室1厅1厨1卫,中楼层 (共18层),59.7㎡,暂无数据,41.9㎡,塔楼,南,钢混结构,简装,两梯六户,集中供暖,有,70年,null,null,null,2017-05-22,央产房,2004-03-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,14,null
海淀,公主坟,18,0,670,109962元/平米,翠微嘉园,2室1厅1厨1卫,中楼层 (共20层),60.93㎡,暂无数据,48.66㎡,板塔结合,东,钢混结构,精装,三梯十户,集中供暖,有,70年,null,null,null,2017-09-01,商品房,2005-03-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,公主坟,54,97,1230,109178元/平米,颐源居二期,2室2厅1厨1卫,中楼层 (共28层),112.66㎡,平层,暂无数据,塔楼,西南,钢混结构,精装,三梯八户,集中供暖,有,70年,null,null,null,2016-12-17,商品房,2010-08-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
海淀,公主坟,99,26,540,71297元/平米,什坊院3号院,3室1厅1厨1卫,中楼层 (共6层),75.74㎡,平层,1㎡,板楼,东 南,混合结构,精装,一梯五户,集中供暖,无,70年,null,null,null,2017-08-11,商品房,2013-02-28,普通住宅,满两年,共有,无抵押,已上传房本照片,4,null
海淀,公主坟,41,9,610,100494元/平米,柳林馆,2室1厅1厨1卫,高楼层 (共6层),60.7㎡,暂无数据,暂无数据,板楼,南 北,混合结构,其他,一梯三户,集中供暖,无,70年,null,null,null,2017-08-13,央产房,2000-10-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,公主坟,29,3,570,97636元/平米,翠微南里,2室1厅1厨1卫,顶层 (共6层),58.38㎡,暂无数据,40㎡,板楼,南 北,砖混结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-26,已购公房,2010-11-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
海淀,公主坟,34,5,605,98534元/平米,翠微路2号院,2室1厅1厨1卫,高楼层 (共6层),61.4㎡,暂无数据,47.6㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-31,已购公房,2002-11-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
海淀,公主坟,77,31,860,95556元/平米,翠微南里,3室1厅1厨1卫,高楼层 (共18层),90㎡,暂无数据,70㎡,塔楼,东 南 北,钢混结构,简装,两梯七户,集中供暖,有,70年,null,null,null,2016-12-25,商品房,2014-02-19,普通住宅,满两年,非共有,无抵押,已上传房本照片,2,null
