城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
海淀,军博,32,27,389,83836元/平米,会城门小区,1室1厅1厨1卫,中楼层 (共16层),46.4㎡,暂无数据,31.9㎡,塔楼,西,钢混结构,简装,四梯二十八户,集中供暖,有,70年,null,null,null,2017-09-03,央产房,2003-02-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,27,距离9号线北京西站站756米
海淀,军博,105,45,485,82287元/平米,博望园,1室1厅1厨1卫,低楼层 (共16层),58.94㎡,暂无数据,47.21㎡,塔楼,东北,钢混结构,简装,两梯六户,自供暖,有,70年,null,null,null,2017-07-09,私产,2003-08-13,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,军博,138,43,323,79950元/平米,会城门小区,1室1厅1厨1卫,顶层 (共6层),40.4㎡,暂无数据,暂无数据,板楼,南,混合结构,简装,一梯四户,集中供暖,无,70年,null,null,null,2017-08-29,私产,2005-04-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,18,null
海淀,军博,101,40,605,78879元/平米,电信小区,3室1厅1厨1卫,低楼层 (共6层),76.7㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-22,已购公房,1999-05-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,13,null
海淀,军博,36,16,598,84943元/平米,铁东小区,3室1厅1厨1卫,中楼层 (共16层),70.4㎡,暂无数据,暂无数据,塔楼,东 北,钢混结构,简装,两梯七户,集中供暖,有,70年,null,null,null,2017-08-26,已购公房,2013-07-10,普通住宅,满两年,非共有,无抵押,已上传房本照片,9,null
海淀,军博,60,42,571.2,85000元/平米,茂林居,2室1厅1厨1卫,顶层 (共18层),67.2㎡,暂无数据,暂无数据,塔楼,南,钢混结构,简装,两梯七户,集中供暖,有,70年,null,null,null,2017-08-13,已购公房,2002-10-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,10,null
海淀,军博,70,33,650,87957元/平米,北蜂窝中路甲8号院,2室1厅1厨1卫,低楼层 (共22层),73.9㎡,暂无数据,暂无数据,塔楼,南,钢混结构,精装,三梯十二户,集中供暖,有,70年,null,null,null,2017-08-09,已购公房,2005-10-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,9,null
海淀,军博,40,38,550.8,85000元/平米,复兴路乙6号院,2室1厅1厨1卫,高楼层 (共16层),64.8㎡,暂无数据,暂无数据,塔楼,西 北,钢混结构,简装,两梯九户,集中供暖,有,70年,null,null,null,2017-08-06,已购公房,2012-03-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,13,null
海淀,军博,46,23,600,84746元/平米,复兴路乙6号院,3室1厅1厨1卫,高楼层 (共16层),70.8㎡,暂无数据,57㎡,塔楼,西北,钢混结构,精装,两梯九户,集中供暖,有,70年,null,null,null,2017-08-31,商品房,2014-12-31,普通住宅,满两年,非共有,无抵押,已上传房本照片,23,null
海淀,军博,52,30,778,82415元/平米,铁东小区,3室1厅1厨1卫,顶层 (共11层),94.4㎡,暂无数据,暂无数据,板塔结合,东,钢混结构,简装,一梯四户,集中供暖,有,70年,null,null,null,2017-08-05,已购公房,2016-12-20,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,9,null
