城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
海淀,厂洼,28,5,999,118604元/平米,厂洼西街6号院,2室1厅1厨1卫,顶层 (共16层),84.23㎡,暂无数据,58.33㎡,板塔结合,南 北,钢混结构,其他,两梯四户,集中供暖,有,70年,null,null,null,2017-09-05,已购公房,2007-06-07,普通住宅,满五年,非共有,暂无数据,已上传房本照片,5,null
海淀,厂洼,95,31,810,96429元/平米,厂洼小区,3室1厅1厨1卫,高楼层 (共20层),84㎡,暂无数据,65㎡,塔楼,东南,钢混结构,精装,两梯十户,集中供暖,有,70年,null,null,null,2017-08-01,商品房,2010-09-13,普通住宅,满五年,共有,暂无数据,已上传房本照片,7,null
海淀,厂洼,21,2,1290,97876元/平米,厂洼西街10号院,3室1厅1厨1卫,中楼层 (共6层),131.8㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-09-02,私产,2004-04-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
海淀,厂洼,164,77,750,99681元/平米,厂洼街7号院,4室1厅1厨1卫,顶层 (共6层),75.24㎡,暂无数据,60㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,暂无数据,70年,null,null,null,2017-07-02,私产,2007-06-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,9,null
海淀,厂洼,42,23,826,102736元/平米,厂洼西街10号院,2室1厅1厨1卫,中楼层 (共6层),80.4㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-06,二类经济适用房,2012-02-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
海淀,厂洼,16,2,490,97610元/平米,厂洼西街1号院,1室1厅1厨1卫,高楼层 (共6层),50.2㎡,暂无数据,41㎡,板楼,西南,混合结构,简装,一梯四户,集中供暖,无,70年,null,null,null,2017-08-27,商品房,2016-10-12,普通住宅,暂无数据,非共有,有抵押 50万元 招商银行 业主自还,已上传房本照片,1,null
海淀,厂洼,37,17,610,93286元/平米,厂洼小区,2室1厅1厨1卫,低楼层 (共6层),65.39㎡,暂无数据,暂无数据,板楼,南 北,混合结构,毛坯,一梯三户,集中供暖,无,70年,null,null,null,2017-08-15,商品房,2014-11-24,普通住宅,满两年,非共有,无抵押,已上传房本照片,5,null
海淀,厂洼,16,0,990,99139元/平米,厂洼街7号院,3室1厅1厨1卫,高楼层 (共6层),99.86㎡,暂无数据,99.86㎡,板楼,东 西 北,混合结构,简装,一梯两户,集中供暖,暂无数据,70年,null,null,null,2017-09-06,已购公房,2001-04-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,厂洼,108,42,670,92541元/平米,厂洼小区,2室1厅1厨1卫,中楼层 (共20层),72.4㎡,平层,暂无数据,塔楼,西南,钢混结构,精装,两梯十户,集中供暖,有,70年,null,null,null,2017-03-08,商品房,2010-12-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
海淀,厂洼,41,11,750,100227元/平米,厂洼街7号院,3室2厅1厨2卫,顶层 (共6层),74.83㎡,暂无数据,60㎡,板楼,东 西,混合结构,精装,一梯两户,集中供暖,暂无数据,70年,null,null,null,2017-07-25,已购公房,2001-04-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
海淀,厂洼,33,32,976,102954元/平米,厂洼西街10号院,2室1厅1厨1卫,低楼层 (共6层),94.8㎡,暂无数据,70㎡,板楼,南 北,混合结构,其他,一梯两户,集中供暖,无,70年,null,null,null,2017-07-22,已购公房,2000-10-12,普通住宅,满五年,非共有,暂无数据,已上传房本照片,2,null
海淀,厂洼,16,1,1200,98814元/平米,厂洼街23号院,3室2厅1厨1卫,中楼层 (共6层),121.44㎡,暂无数据,80㎡,板楼,东 南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-09-06,已购公房,2014-06-17,普通住宅,满两年,非共有,无抵押,已上传房本照片,1,null
