城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
海淀,双榆树,23,38,580,96990元/平米,双榆树东里,2室1厅1厨1卫,中楼层 (共16层),59.8㎡,暂无数据,暂无数据,塔楼,西南,钢混结构,简装,两梯九户,集中供暖,有,70年,null,null,null,2017-08-29,已购公房,1999-11-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,20,距离4号线海淀黄庄站713米
海淀,双榆树,115,78,735,102225元/平米,双榆树东里,3室1厅1厨1卫,中楼层 (共6层),71.9㎡,暂无数据,51.1㎡,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-05-06,已购公房,1999-11-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,11,null
海淀,双榆树,30,86,600,101351元/平米,青云北区,2室1厅1厨1卫,高楼层 (共6层),59.2㎡,平层,41.3㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-06,央产房,1997-11-11,普通住宅,满五年,非共有,无抵押,已上传房本照片,9,null
海淀,双榆树,58,54,660,100640元/平米,青云北区,2室1厅1厨1卫,高楼层 (共17层),65.58㎡,暂无数据,60㎡,塔楼,南,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-05-26,央产房,2004-09-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
海淀,双榆树,69,48,575,97458元/平米,双榆树东里,2室1厅1厨1卫,中楼层 (共16层),59㎡,暂无数据,暂无数据,塔楼,南,钢混结构,精装,两梯九户,集中供暖,有,70年,null,null,null,2017-07-27,已购公房,1993-09-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,11,null
海淀,双榆树,120,54,855,97826元/平米,满庭芳园,2室1厅1厨1卫,高楼层 (共24层),87.4㎡,平层,暂无数据,塔楼,西南,钢混结构,简装,三梯十户,集中供暖,有,70年,null,null,null,2017-04-19,已购公房,2003-12-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
海淀,双榆树,20,10,660,106779元/平米,双榆树北里,3室1厅1厨1卫,顶层 (共6层),61.81㎡,暂无数据,43.55㎡,板楼,南 西 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-30,已购公房,2004-12-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
海淀,双榆树,13,1,520,100193元/平米,知春里,1室1厅1厨1卫,中楼层 (共18层),51.9㎡,暂无数据,35.9㎡,塔楼,东南,钢混结构,简装,两梯十户,集中供暖,有,70年,null,null,null,2017-08-31,商品房,2011-04-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
海淀,双榆树,26,4,565,101254元/平米,双榆树东里,2室1厅1厨1卫,中楼层 (共16层),55.8㎡,暂无数据,36.6㎡,塔楼,东北,钢混结构,精装,两梯九户,集中供暖,有,70年,null,null,null,2017-08-30,私产,2007-10-11,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,双榆树,3,2,560,107900元/平米,知春里,1室1厅1厨1卫,顶层 (共18层),51.9㎡,暂无数据,暂无数据,塔楼,南,钢混结构,精装,两梯十户,集中供暖,有,70年,null,null,null,2017-09-02,已购公房,2000-10-31,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
海淀,双榆树,66,57,650,103668元/平米,双榆树北里,3室0厅1厨1卫,中楼层 (共6层),62.7㎡,暂无数据,58㎡,板楼,南 西 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-17,已购公房,2000-05-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,12,null
海淀,双榆树,130,31,600,92223元/平米,双榆树东里,2室1厅1厨1卫,高楼层 (共12层),65.06㎡,平层,45.84㎡,板塔结合,南 北,钢混结构,简装,两梯十六户,集中供暖,有,70年,null,null,null,2017-08-20,商品房,2009-06-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,12,null
海淀,双榆树,79,76,696,108767元/平米,青云北区,2室1厅1厨1卫,高楼层 (共17层),63.99㎡,暂无数据,暂无数据,塔楼,西南,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-05-30,商品房,2011-12-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
海淀,双榆树,162,47,457,104913元/平米,双榆树西里,1室1厅1厨1卫,高楼层 (共16层),43.56㎡,平层,暂无数据,塔楼,南,钢混结构,简装,两梯九户,集中供暖,有,70年,null,null,null,2017-03-22,商品房,2010-05-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,双榆树,25,3,500,98232元/平米,知春里,1室1厅1厨1卫,中楼层 (共18层),50.9㎡,暂无数据,暂无数据,塔楼,东南,钢混结构,精装,两梯十户,集中供暖,有,70年,null,null,null,2017-08-29,已购公房,2007-08-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
海淀,双榆树,119,72,950,92674元/平米,榆苑公寓,3室2厅1厨2卫,中楼层 (共10层),102.51㎡,暂无数据,72.12㎡,板塔结合,南 北,钢混结构,简装,两梯十七户,集中供暖,有,70年,null,null,null,2017-07-06,已购公房,2001-02-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
海淀,双榆树,34,37,530,104064元/平米,知春里,1室1厅1厨1卫,低楼层 (共18层),50.93㎡,暂无数据,暂无数据,塔楼,南 北,钢混结构,简装,两梯十户,集中供暖,有,70年,null,null,null,2017-07-27,私产,2008-12-12,普通住宅,满五年,非共有,有抵押 30万元 30万 业主自还,已上传房本照片,6,null
海淀,双榆树,95,57,480,96192元/平米,双榆树东里,2室1厅1厨1卫,底层 (共6层),49.9㎡,暂无数据,3704㎡,板楼,南,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-25,已购公房,2000-09-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,9,null
海淀,双榆树,50,40,1050,89744元/平米,满庭芳园,3室1厅1厨1卫,中楼层 (共24层),117㎡,暂无数据,暂无数据,塔楼,西北,钢混结构,简装,三梯十户,集中供暖,有,70年,null,null,null,2017-05-31,已购公房,2003-12-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,10,null
海淀,双榆树,35,33,610,97289元/平米,双榆树东里,2室1厅1厨1卫,高楼层 (共16层),62.7㎡,暂无数据,48㎡,塔楼,西南,钢混结构,简装,两梯七户,集中供暖,有,70年,null,null,null,2017-06-07,已购公房,1999-10-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
海淀,双榆树,45,14,840,111111元/平米,知春里,3室1厅1厨1卫,低楼层 (共18层),75.6㎡,平层,暂无数据,塔楼,东南,钢混结构,简装,两梯十户,集中供暖,有,70年,null,null,null,2017-08-21,已购公房,1995-05-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
海淀,双榆树,13,3,1200,96813元/平米,榆苑公寓,2室2厅1厨2卫,中楼层 (共10层),123.95㎡,平层,82.66㎡,板塔结合,南 西,钢混结构,简装,一梯三户,集中供暖,有,70年,null,null,null,2017-09-04,央产房,2001-12-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
海淀,双榆树,18,3,605,99507元/平米,双榆树西里,2室1厅1厨1卫,顶层 (共6层),60.8㎡,平层,60㎡,板楼,南 北,混合结构,其他,一梯三户,集中供暖,无,70年,null,null,null,2017-08-20,已购公房,2001-07-11,普通住宅,满五年,非共有,暂无数据,已上传房本照片,0,null
海淀,双榆树,45,65,1020,101060元/平米,青云北区,3室1厅1厨1卫,高楼层 (共17层),100.93㎡,暂无数据,100㎡,塔楼,南 西南,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-07-11,央产房,2004-09-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,9,null
海淀,双榆树,118,44,680,94708元/平米,榆苑公寓,2室1厅1厨1卫,顶层 (共10层),71.8㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,其他,两梯十七户,集中供暖,有,70年,null,null,null,2017-06-16,已购公房,2001-11-28,普通住宅,满五年,非共有,有抵押 120万元 北京银行 业主自还,已上传房本照片,5,null
海淀,双榆树,17,12,450,111386元/平米,知春里,1室1厅1厨1卫,中楼层 (共6层),40.4㎡,平层,39㎡,板楼,南,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-09-03,商品房,2014-12-29,普通住宅,满两年,非共有,无抵押,已上传房本照片,12,null
海淀,双榆树,33,25,550,104962元/平米,青云北区,2室1厅1厨1卫,中楼层 (共5层),52.4㎡,暂无数据,40㎡,板楼,南,混合结构,其他,一梯三户,集中供暖,无,70年,null,null,null,2017-05-07,央产房,1997-11-11,普通住宅,满五年,非共有,暂无数据,已上传房本照片,0,null
海淀,双榆树,20,6,640,105021元/平米,双榆树西里,2室1厅1厨1卫,低楼层 (共6层),60.94㎡,暂无数据,48㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-09-05,已购公房,2000-11-15,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
海淀,双榆树,87,66,580,107407元/平米,双榆树北路,2室1厅1厨1卫,中楼层 (共6层),54㎡,平层,46㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-24,已购公房,2006-10-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
海淀,双榆树,71,34,650,110922元/平米,知春东里,2室1厅1厨1卫,中楼层 (共6层),58.6㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-04-22,私产,2007-06-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
