城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
海淀,四季青,135,57,1258,94743元/平米,曙光花园,3室2厅2厨2卫,中楼层 (共17层),132.78㎡,暂无数据,111.94㎡,塔楼,东南,钢混结构,精装,两梯八户,自供暖,有,70年,null,null,null,2017-08-15,商品房,2006-03-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,四季青,55,24,900,78274元/平米,曙光花园,2室1厅1厨1卫,低楼层 (共17层),114.98㎡,暂无数据,94.81㎡,塔楼,东南,钢混结构,精装,两梯八户,自供暖,有,70年,null,null,null,2017-08-31,私产,2005-12-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,19,null
海淀,四季青,113,39,1620,104658元/平米,汤泉逸墅,3室2厅1厨2卫,中楼层 (共11层),154.79㎡,暂无数据,129.68㎡,板楼,南 北,钢混结构,其他,一梯两户,集中供暖,有,70年,null,null,null,2017-07-10,商品房,2011-08-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
海淀,四季青,46,33,1230,101771元/平米,美丽园,2室2厅1厨2卫,低楼层 (共6层),120.86㎡,暂无数据,100.73㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,有,70年,null,null,null,2017-07-30,私产,2006-06-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
海淀,四季青,61,30,1880,102715元/平米,美丽园,4室2厅1厨2卫,顶层 (共6层),183.03㎡,暂无数据,162.99㎡,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,有,70年,null,null,null,2017-05-26,私产,2007-03-21,普通住宅,满五年,非共有,有抵押 30万元 建设银行 业主自还,已上传房本照片,2,null
海淀,四季青,17,10,1490,104605元/平米,郦城三区,3室2厅1厨2卫,顶层 (共7层),142.44㎡,暂无数据,122.4㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-09-03,商品房,2009-05-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,9,null
海淀,四季青,99,117,1050,106437元/平米,郦城二区,2室1厅1厨1卫,低楼层 (共12层),98.65㎡,暂无数据,82.44㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-04-18,私产,2009-02-09,普通住宅,满五年,非共有,有抵押 300万元 浦发银行 客户偿还,已上传房本照片,0,null
海淀,四季青,60,38,1280,96575元/平米,曙光花园,3室1厅1厨2卫,中楼层 (共17层),132.54㎡,平层,暂无数据,塔楼,东南,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-08-22,央产房,2017-06-12,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,8,null
海淀,四季青,16,3,1100,94009元/平米,诚品建筑,2室1厅1厨2卫,低楼层 (共9层),117.01㎡,暂无数据,93.59㎡,板楼,东 西,钢混结构,精装,一梯两户,自供暖,有,70年,null,null,null,2017-08-31,私产,2006-04-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
海淀,四季青,11,19,570,87289元/平米,农林科学院宿舍,2室1厅1厨1卫,顶层 (共4层),65.3㎡,暂无数据,65.3㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-31,已购公房,1994-06-29,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
海淀,四季青,28,14,1020,82205元/平米,美丽星苑,3室2厅1厨2卫,顶层 (共9层),124.08㎡,暂无数据,102.29㎡,板塔结合,南 北,钢混结构,精装,一梯四户,自供暖,有,70年,null,null,null,2017-07-19,二类经济适用房,2010-10-29,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
海淀,四季青,28,4,1020,77791元/平米,金雅园,3室2厅1厨2卫,底层 (共9层),131.12㎡,暂无数据,108.31㎡,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,有,70年,null,null,null,2017-08-25,私产,2008-02-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
海淀,四季青,193,171,1650,96683元/平米,观澜国际,3室2厅1厨2卫,高楼层 (共17层),170.66㎡,平层,141.52㎡,板楼,南 北,钢混结构,精装,两梯两户,自供暖,有,70年,null,null,null,2017-02-25,商品房,2005-08-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,四季青,112,32,1650,96148元/平米,观澜国际,3室2厅1厨2卫,中楼层 (共17层),171.61㎡,暂无数据,141.11㎡,板楼,东南 西北,钢混结构,精装,两梯两户,自供暖,有,70年,null,null,null,2017-07-24,私产,2005-07-13,普通住宅,满五年,非共有,有抵押 800万元 中信银行 客户偿还,已上传房本照片,6,null
海淀,四季青,12,7,1160,115873元/平米,颐慧佳园,2室2厅1厨1卫,底层 (共6层),100.11㎡,暂无数据,暂无数据,板楼,东 南 北,砖混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-09-06,商品房,2015-06-19,普通住宅,满两年,共有,无抵押,已上传房本照片,7,null
海淀,四季青,37,24,520,78657元/平米,望河园,1室1厅1厨1卫,低楼层 (共17层),66.11㎡,平层,54.48㎡,塔楼,西南,钢混结构,简装,两梯十户,自供暖,有,70年,null,null,null,2017-03-10,二类经济适用房,2012-04-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
