城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
海淀,圆明园,113,49,488,96825元/平米,海淀路小区,2室1厅1厨1卫,中楼层 (共6层),50.4㎡,平层,35.6㎡,板楼,南,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-04-05,已购公房,2008-05-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,圆明园,153,39,520,95764元/平米,海淀路小区,2室1厅1厨2卫,底层 (共6层),54.3㎡,暂无数据,50㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-04-03,已购公房,2010-01-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,圆明园,19,7,799,88926元/平米,芙蓉里,3室1厅1厨1卫,顶层 (共5层),89.85㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-25,央产房,2000-05-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
海淀,圆明园,64,40,408,93578元/平米,芙蓉里,1室1厅1厨1卫,中楼层 (共15层),43.6㎡,暂无数据,35㎡,板塔结合,东,钢混结构,简装,三梯二十九户,集中供暖,有,70年,null,null,null,2017-06-14,央产房,2004-09-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,圆明园,47,8,980,94412元/平米,芙蓉里,3室1厅1厨1卫,低楼层 (共16层),103.8㎡,暂无数据,69.3㎡,塔楼,西北,钢混结构,精装,两梯五户,集中供暖,有,70年,null,null,null,2017-06-19,央产房,2004-10-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
海淀,圆明园,27,11,680,96866元/平米,海淀路小区,3室1厅1厨1卫,高楼层 (共6层),70.2㎡,暂无数据,49.8㎡,板楼,南 北,混合结构,其他,一梯四户,集中供暖,无,70年,null,null,null,2017-07-15,已购公房,1999-11-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,圆明园,82,47,650,101721元/平米,芙蓉里,2室1厅1厨1卫,顶层 (共6层),63.9㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-03-05,央产房,1999-12-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,圆明园,12,3,900,63140元/平米,百环地产,3室2厅1厨2卫,低楼层 (共18层),142.54㎡,暂无数据,117.54㎡,塔楼,西,钢混结构,简装,三梯十二户,自供暖,有,70年,null,null,null,2017-06-06,私产,2007-01-31,普通住宅,满五年,非共有,有抵押 262万元 中信银行 客户偿还,已上传房本照片,1,null
海淀,圆明园,92,16,560,91057元/平米,海淀路小区,3室1厅1厨1卫,底层 (共6层),61.5㎡,平层,46.1㎡,板楼,南 北,混合结构,简装,一梯四户,集中供暖,无,70年,null,null,null,2016-12-22,已购公房,2005-05-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,圆明园,250,13,379,87731元/平米,芙蓉里,1室1厅1厨1卫,中楼层 (共15层),43.2㎡,平层,暂无数据,板塔结合,西,钢混结构,精装,三梯二十九户,集中供暖,有,70年,null,null,null,2017-06-04,商品房,2009-07-10,普通住宅,满五年,非共有,有抵押 43.2万元 工商银行 客户偿还,已上传房本照片,1,null
海淀,圆明园,98,5,410,92907元/平米,芙蓉里,1室1厅1厨1卫,中楼层 (共15层),44.13㎡,平层,34㎡,板塔结合,东,钢混结构,精装,三梯二十九户,集中供暖,有,70年,null,null,null,2017-05-02,央产房,2003-07-07,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,圆明园,10,1,528,96881元/平米,海淀路小区,2室1厅1厨1卫,顶层 (共6层),54.5㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯四户,集中供暖,无,70年,null,null,null,2017-08-13,商品房,2015-03-26,普通住宅,满两年,共有,有抵押 40万元 工商银行,已上传房本照片,1,null
海淀,圆明园,16,8,460,96033元/平米,海淀路小区,2室1厅1厨1卫,高楼层 (共6层),47.9㎡,暂无数据,40㎡,板楼,南,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-05-29,私产,2007-10-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
海淀,圆明园,48,7,550,89431元/平米,海淀路小区,2室1厅1厨1卫,低楼层 (共6层),61.5㎡,暂无数据,40.7㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-27,已购公房,2009-05-15,普通住宅,满五年,非共有,暂无数据,已上传房本照片,1,null
海淀,圆明园,12,2,650,101721元/平米,芙蓉里,2室1厅1厨1卫,顶层 (共6层),63.9㎡,暂无数据,暂无数据,板楼,东 南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-09-06,商品房,2015-11-09,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,2,null
海淀,圆明园,24,9,460,95634元/平米,海淀路小区,2室1厅1厨1卫,顶层 (共5层),48.1㎡,暂无数据,36.8㎡,板楼,西 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-06-07,已购公房,2001-03-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,圆明园,33,0,1050,72444元/平米,百环地产,3室1厅1厨2卫,低楼层 (共18层),144.94㎡,暂无数据,119.52㎡,塔楼,东北,钢混结构,精装,三梯十二户,自供暖,有,70年,null,null,null,2017-05-31,商品房,2014-10-17,普通住宅,满两年,非共有,无抵押,已上传房本照片,0,null
海淀,圆明园,26,7,720,91720元/平米,芙蓉里,2室1厅1厨1卫,中楼层 (共16层),78.5㎡,暂无数据,暂无数据,塔楼,东北,钢混结构,精装,两梯五户,集中供暖,有,70年,null,null,null,2017-07-31,商品房,2014-08-18,普通住宅,满两年,非共有,无抵押,已上传房本照片,1,null
海淀,圆明园,207,13,488,96825元/平米,海淀路小区,2室1厅1厨1卫,低楼层 (共6层),50.4㎡,暂无数据,暂无数据,板楼,南,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2016-08-29,商品房,2012-12-20,普通住宅,满两年,非共有,无抵押,已上传房本照片,0,null
海淀,圆明园,145,2,380,87156元/平米,芙蓉里,1室1厅1厨1卫,低楼层 (共15层),43.6㎡,平层,暂无数据,板塔结合,西,钢混结构,精装,三梯二十九户,集中供暖,有,70年,null,null,null,2017-02-25,商品房,2012-10-26,普通住宅,满两年,非共有,无抵押,已上传房本照片,0,null
海淀,圆明园,13,0,600,96931元/平米,海淀路小区,2室1厅1厨1卫,低楼层 (共6层),61.9㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-04-06,央产房,2011-10-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,圆明园,176,13,462,96855元/平米,海淀路小区,2室1厅1厨1卫,中楼层 (共6层),47.7㎡,平层,1㎡,板楼,南,混合结构,精装,一梯四户,集中供暖,无,70年,null,null,null,2017-02-12,商品房,2016-06-13,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,0,null
海淀,圆明园,7,6,740,100271元/平米,北河沿,3室1厅1厨1卫,低楼层 (共6层),73.8㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-21,已购公房,2016-11-08,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,1,null
海淀,圆明园,53,17,550,89431元/平米,海淀路小区,2室1厅1厨1卫,顶层 (共6层),61.5㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-02-06,商品房,2014-02-11,普通住宅,满两年,非共有,无抵押,已上传房本照片,0,null
海淀,圆明园,199,8,860,90622元/平米,芙蓉里,4室1厅1厨1卫,顶层 (共6层),94.9㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2016-09-07,商品房,2015-10-13,普通住宅,暂无数据,非共有,有抵押 400万元 工商银行 客户偿还,已上传房本照片,0,null
