城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
海淀,学院路,113,44,510,74725元/平米,建清园,2室1厅1厨1卫,高楼层 (共6层),68.25㎡,平层,46㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-09,已购公房,2002-11-29,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
海淀,学院路,124,54,590,77560元/平米,逸成东苑,2室1厅1厨1卫,低楼层 (共22层),76.07㎡,平层,暂无数据,塔楼,南 北,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-04-09,商品房,2015-06-12,普通住宅,满两年,共有,有抵押 220万元 光大银行 客户偿还,已上传房本照片,0,null
海淀,学院路,200,77,590,75294元/平米,静淑东里,2室1厅1厨1卫,底层 (共6层),78.36㎡,暂无数据,65㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-28,私产,2007-08-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,14,null
海淀,学院路,154,153,580,76246元/平米,逸成东苑,2室1厅1厨1卫,低楼层 (共22层),76.07㎡,平层,55.6㎡,塔楼,南 北,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-06-17,私产,2006-10-27,普通住宅,满五年,非共有,有抵押 20万元 工商银行 业主自还,已上传房本照片,16,null
海淀,学院路,70,27,720,78261元/平米,城华园,3室1厅1厨1卫,中楼层 (共6层),92㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-18,已购公房,2001-02-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,12,null
海淀,学院路,14,36,660,77447元/平米,城华园,2室1厅1厨1卫,中楼层 (共16层),85.22㎡,暂无数据,68.24㎡,塔楼,南,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-07-13,已购公房,2002-04-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
海淀,学院路,32,25,695,81958元/平米,学知园,2室1厅1厨1卫,中楼层 (共18层),84.8㎡,暂无数据,暂无数据,塔楼,西南,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-07-20,私产,2004-07-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
海淀,学院路,5,1,2000,104932元/平米,竹溪园,4室2厅1厨2卫,中楼层 (共5层),190.6㎡,暂无数据,167.63㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-08-30,私产,2004-08-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,学院路,101,73,930,86802元/平米,清枫华景园,2室1厅1厨1卫,低楼层 (共18层),107.14㎡,暂无数据,86.15㎡,塔楼,东南,钢混结构,简装,两梯七户,集中供暖,有,70年,null,null,null,2017-04-09,商品房,2011-06-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,8,null
海淀,学院路,10,14,520,91598元/平米,学清路18号院,2室1厅1厨1卫,中楼层 (共6层),56.77㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-20,私产,2008-01-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,学院路,44,1,580,77540元/平米,双清路14号院,2室2厅1厨1卫,高楼层 (共15层),74.8㎡,暂无数据,50.3㎡,板塔结合,南 北,钢混结构,简装,两梯四户,集中供暖,有,70年,null,null,null,2017-08-28,已购公房,2001-02-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
海淀,学院路,63,38,1950,90698元/平米,逸成东苑,4室2厅1厨3卫,顶层 (共14层),215㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,有,70年,null,null,null,2017-03-10,商品房,2004-06-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,学院路,33,33,998,79821元/平米,文成杰座,2室2厅1厨2卫,低楼层 (共20层),125.03㎡,暂无数据,98.48㎡,塔楼,东 西,钢混结构,精装,四梯九户,集中供暖,有,70年,null,null,null,2017-05-03,商品房,2009-12-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
海淀,学院路,171,92,760,86364元/平米,林大北路10号院,2室2厅1厨1卫,底层 (共6层),88㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-05-18,央产房,2010-04-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
海淀,学院路,12,12,740,89915元/平米,静淑苑,2室1厅1厨1卫,高楼层 (共18层),82.3㎡,平层,暂无数据,塔楼,西南,钢混结构,精装,两梯六户,集中供暖,有,70年,null,null,null,2017-08-24,央产房,1999-04-07,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
海淀,学院路,68,6,799,90109元/平米,逸成东苑,3室1厅1厨1卫,低楼层 (共22层),88.67㎡,平层,暂无数据,塔楼,东南,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-08-25,商品房,2005-03-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,学院路,76,25,651,87973元/平米,清华东路27号院,2室1厅1厨1卫,高楼层 (共6层),74㎡,暂无数据,50.7㎡,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-06-12,已购公房,2004-08-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
海淀,学院路,65,41,1198,90771元/平米,逸成东苑,3室2厅1厨2卫,低楼层 (共15层),131.98㎡,暂无数据,107.34㎡,板楼,东 西,钢混结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-04-24,私产,2007-09-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,学院路,99,59,575,76473元/平米,逸成东苑,2室1厅1厨1卫,顶层 (共22层),75.19㎡,平层,70㎡,塔楼,东南,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-07-20,商品房,2014-08-29,普通住宅,满两年,非共有,无抵押,已上传房本照片,12,null
海淀,学院路,91,43,618,92932元/平米,静淑苑,2室1厅1厨1卫,高楼层 (共7层),66.5㎡,暂无数据,46.9㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-05-01,央产房,2003-03-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
海淀,学院路,11,0,825,76744元/平米,林大北路6号院,3室1厅1厨1卫,顶层 (共6层),107.5㎡,暂无数据,98㎡,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-26,商品房,2012-08-24,普通住宅,满五年,共有,有抵押 86万元 工行 客户偿还,已上传房本照片,0,null
海淀,学院路,36,13,876,90049元/平米,富润家园,2室1厅1厨1卫,中楼层 (共18层),97.28㎡,暂无数据,暂无数据,塔楼,西南,钢混结构,精装,两梯七户,集中供暖,有,70年,null,null,null,2017-08-05,商品房,2003-12-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,学院路,64,12,675,86097元/平米,清华东路27号院,2室1厅1厨1卫,中楼层 (共7层),78.4㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-04,商品房,2002-12-02,普通住宅,满五年,非共有,暂无数据,已上传房本照片,2,null
海淀,学院路,35,26,1575,99899元/平米,清林苑,3室2厅1厨2卫,中楼层 (共7层),157.66㎡,暂无数据,140㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-04-29,私产,2004-09-26,普通住宅,满五年,非共有,有抵押 300万元 中信银行 客户偿还,已上传房本照片,0,null
海淀,学院路,248,41,688,73301元/平米,城华园,3室1厅1厨1卫,低楼层 (共27层),93.86㎡,暂无数据,暂无数据,塔楼,东 南,钢混结构,精装,三梯十六户,集中供暖,有,70年,null,null,null,2017-03-13,商品房,2009-12-02,普通住宅,满五年,非共有,有抵押 86万元 广发银行 客户偿还,已上传房本照片,1,null
海淀,学院路,43,14,509,78671元/平米,学知园,1室1厅1厨1卫,顶层 (共18层),64.7㎡,平层,暂无数据,塔楼,东 南,钢混结构,简装,两梯十户,集中供暖,有,70年,null,null,null,2017-06-17,商品房,2009-12-24,普通住宅,满五年,非共有,有抵押 65万元 交通银行 客户偿还,已上传房本照片,1,null
海淀,学院路,45,24,655,88097元/平米,清华东路27号院,2室1厅1厨1卫,中楼层 (共6层),74.35㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-03,私产,2007-04-11,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
海淀,学院路,159,32,780,67944元/平米,学知园,3室2厅1厨1卫,低楼层 (共19层),114.8㎡,暂无数据,暂无数据,塔楼,东南,钢混结构,精装,两梯六户,集中供暖,有,70年,null,null,null,2017-03-13,商品房,2000-09-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
海淀,学院路,63,12,1500,90334元/平米,富润家园,4室2厅1厨2卫,低楼层 (共18层),166.05㎡,暂无数据,暂无数据,塔楼,南,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-03-14,商品房,2002-12-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,学院路,27,5,2000,97338元/平米,清林苑,4室3厅1厨3卫,中楼层 (共7层),205.47㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,有,70年,null,null,null,2017-06-15,私产,2004-12-10,普通住宅,满五年,非共有,暂无数据,已上传房本照片,0,null
海淀,学院路,63,4,986,81152元/平米,学知园,3室1厅1厨2卫,中楼层 (共19层),121.5㎡,暂无数据,暂无数据,塔楼,东南,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-07-02,私产,2001-02-12,普通住宅,满五年,非共有,暂无数据,已上传房本照片,0,距离15号线六道口站756米
海淀,学院路,46,15,620,74699元/平米,林大北路6号院,2室1厅1厨1卫,中楼层 (共6层),83㎡,平层,暂无数据,板楼,南 北,砖混结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-18,商品房,2012-10-15,普通住宅,满两年,非共有,无抵押,已上传房本照片,4,null
海淀,学院路,120,36,695,78178元/平米,城华园,2室1厅1厨1卫,低楼层 (共14层),88.9㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,简装,两梯两户,集中供暖,有,70年,null,null,null,2017-04-15,已购公房,2000-10-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,学院路,44,18,470,80273元/平米,文成杰座,1室1厅1厨1卫,中楼层 (共20层),58.55㎡,暂无数据,46.12㎡,塔楼,北,钢混结构,精装,四梯九户,集中供暖,有,70年,null,null,null,2017-07-25,商品房,2011-01-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
海淀,学院路,28,22,440,82013元/平米,清枫华景园,1室1厅1厨1卫,高楼层 (共15层),53.65㎡,平层,38.72㎡,塔楼,西,钢混结构,精装,两梯十一户,集中供暖,有,70年,null,null,null,2017-07-02,私产,2008-05-05,普通住宅,满五年,非共有,有抵押 10万元 中国银行 业主自还,已上传房本照片,0,null
海淀,学院路,43,17,1110,69987元/平米,海丰园公寓,3室2厅1厨2卫,中楼层 (共24层),158.6㎡,暂无数据,暂无数据,塔楼,东南,钢混结构,简装,三梯六户,自供暖,有,70年,null,null,null,2017-05-01,私产,2007-08-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,学院路,158,24,495,72242元/平米,城华园,1室1厅1厨1卫,中楼层 (共27层),68.52㎡,平层,暂无数据,塔楼,北,钢混结构,简装,三梯二十户,集中供暖,有,70年,null,null,null,2016-12-08,私产,2003-02-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,学院路,58,11,562,94932元/平米,生态园,2室1厅1厨1卫,底层 (共3层),59.2㎡,暂无数据,暂无数据,板楼,东,砖混结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-05-09,央产房,2005-12-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,学院路,20,16,870,84870元/平米,双泉堡125号院,2室2厅1厨1卫,中楼层 (共5层),102.51㎡,暂无数据,95㎡,板楼,东南,混合结构,精装,一梯四户,集中供暖,暂无数据,70年,null,null,null,2017-04-20,已购公房,2004-08-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,学院路,64,11,570,84046元/平米,林大北路9号院,3室1厅1厨1卫,顶层 (共6层),67.82㎡,暂无数据,48.03㎡,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-07-21,商品房,2012-03-09,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
海淀,学院路,40,13,660,73082元/平米,建清园,3室1厅1厨1卫,中楼层 (共6层),90.31㎡,暂无数据,85㎡,板楼,东 西,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-14,已购公房,2005-09-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
海淀,学院路,131,13,710,80045元/平米,城华园,2室1厅1厨1卫,顶层 (共14层),88.7㎡,平层,78㎡,板塔结合,南 北,钢混结构,精装,两梯两户,集中供暖,有,70年,null,null,null,2017-05-08,商品房,2010-10-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,学院路,52,13,830,77209元/平米,学知园,3室2厅1厨1卫,低楼层 (共19层),107.5㎡,暂无数据,100㎡,塔楼,东 南 西 北,钢混结构,简装,两梯六户,集中供暖,有,70年,null,null,null,2017-06-03,已购公房,2001-09-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,学院路,22,7,1790,95223元/平米,清林苑,3室2厅1厨2卫,中楼层 (共7层),187.98㎡,暂无数据,160㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-05-21,商品房,2004-12-09,普通住宅,满五年,非共有,有抵押 300万元 北京银行 业主自还,已上传房本照片,0,null
海淀,学院路,20,1,690,76403元/平米,建清园,2室1厅1厨1卫,中楼层 (共6层),90.31㎡,平层,1㎡,板楼,东 西,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-14,已购公房,2005-09-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,学院路,14,9,830,80637元/平米,双泉堡125号院,2室2厅1厨1卫,中楼层 (共5层),102.93㎡,暂无数据,95㎡,板楼,西南,混合结构,精装,一梯四户,集中供暖,暂无数据,70年,null,null,null,2017-08-17,商品房,2013-03-06,普通住宅,满两年,非共有,有抵押 230万元 农业银行 业主自还,已上传房本照片,1,null
海淀,学院路,93,19,607,92884元/平米,逸成东苑,1室1厅1厨1卫,低楼层 (共10层),65.35㎡,平层,暂无数据,塔楼,东,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-03-10,商品房,2011-03-25,普通住宅,满五年,共有,无抵押,已上传房本照片,0,null
海淀,学院路,24,27,670,76615元/平米,城华园,2室1厅1厨1卫,高楼层 (共16层),87.45㎡,暂无数据,70㎡,塔楼,西北,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-04-15,已购公房,2002-04-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
海淀,学院路,169,16,515,71211元/平米,林大北路9号院,2室2厅1厨1卫,顶层 (共6层),72.32㎡,平层,暂无数据,板楼,西南,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-06-07,商品房,2013-10-23,普通住宅,满两年,非共有,无抵押,已上传房本照片,4,null
海淀,学院路,146,102,670,88414元/平米,学院路14号院,2室1厅1厨1卫,低楼层 (共6层),75.78㎡,暂无数据,49.99㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-04-23,已购公房,2014-04-29,普通住宅,满两年,共有,无抵押,已上传房本照片,8,null
海淀,学院路,20,0,940,72453元/平米,海丰园公寓,2室1厅1厨1卫,中楼层 (共12层),129.74㎡,平层,110㎡,板楼,东 西,钢混结构,精装,两梯两户,自供暖,有,70年,null,null,null,2017-07-10,私产,2005-01-13,普通住宅,满五年,非共有,有抵押 400万元 民生银行 客户偿还,已上传房本照片,0,null
海淀,学院路,85,16,1200,80521元/平米,富润家园,4室2厅1厨2卫,顶层 (共27层),149.03㎡,暂无数据,120.49㎡,板塔结合,南,钢混结构,精装,两梯五户,集中供暖,有,70年,null,null,null,2017-05-25,私产,2005-06-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,学院路,23,34,630,80357元/平米,城华园,2室1厅1厨1卫,低楼层 (共6层),78.4㎡,暂无数据,78.4㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-03,商品房,2017-05-19,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,3,null
海淀,学院路,129,32,794,87997元/平米,静淑东里,2室1厅1厨1卫,中楼层 (共6层),90.23㎡,平层,暂无数据,板楼,南 西 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-02-18,商品房,2007-05-14,普通住宅,满五年,非共有,有抵押 140万元 农业银行 客户偿还,已上传房本照片,1,null
海淀,学院路,34,9,607,92884元/平米,逸成东苑,1室1厅1厨1卫,高楼层 (共10层),65.35㎡,暂无数据,暂无数据,塔楼,东,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-07-09,商品房,2009-11-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
海淀,学院路,119,40,920,78902元/平米,城华园,3室1厅1厨1卫,中楼层 (共14层),116.6㎡,暂无数据,100㎡,板塔结合,南 北,钢混结构,精装,两梯两户,集中供暖,有,70年,null,null,null,2017-04-21,商品房,2017-04-10,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,3,null
海淀,学院路,50,4,450,74553元/平米,城华园,1室1厅1厨1卫,低楼层 (共27层),60.36㎡,暂无数据,50㎡,塔楼,西北,钢混结构,精装,三梯二十户,集中供暖,有,70年,null,null,null,2017-07-15,商品房,2011-01-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,学院路,6,2,492,73996元/平米,城华园,1室1厅1厨1卫,低楼层 (共27层),66.49㎡,暂无数据,暂无数据,塔楼,西,钢混结构,简装,三梯二十户,集中供暖,有,70年,null,null,null,2017-08-28,商品房,2013-01-18,普通住宅,满两年,共有,有抵押 50万元 工商银行 业主自还,已上传房本照片,2,null
海淀,学院路,3,1,480,84552元/平米,学清路18号院,2室1厅1厨1卫,顶层 (共6层),56.77㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-28,已购公房,2006-12-11,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
海淀,学院路,8,4,620,89999元/平米,学院路甲39号院,2室1厅1厨1卫,低楼层 (共6层),68.89㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-06-16,央产房,2007-03-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
海淀,学院路,8,4,620,89999元/平米,学院路甲39号院,2室1厅1厨1卫,低楼层 (共6层),68.89㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-06-16,央产房,2007-03-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,距离15号线六道口站1182米
海淀,学院路,19,0,626,82804元/平米,逸成东苑,2室1厅1厨1卫,顶层 (共17层),75.6㎡,平层,57㎡,塔楼,南 北,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-07-12,商品房,2009-11-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,学院路,3,1,480,84552元/平米,学清路18号院,2室1厅1厨1卫,顶层 (共6层),56.77㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-28,已购公房,2006-12-11,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
海淀,学院路,91,30,825,89908元/平米,富润家园,2室1厅1厨1卫,高楼层 (共27层),91.76㎡,平层,74.18㎡,板塔结合,南,钢混结构,其他,两梯八户,集中供暖,有,70年,null,null,null,2017-04-29,商品房,2013-02-05,普通住宅,满两年,共有,暂无数据,已上传房本照片,1,null
海淀,学院路,115,31,518,75897元/平米,建清园,2室1厅1厨1卫,高楼层 (共6层),68.25㎡,暂无数据,46.24㎡,板楼,南 北,混合结构,其他,一梯两户,集中供暖,无,70年,null,null,null,2017-05-25,私产,2002-11-29,普通住宅,满五年,非共有,暂无数据,已上传房本照片,1,null
海淀,学院路,15,1,695,81958元/平米,学知园,2室1厅1厨1卫,低楼层 (共18层),84.8㎡,暂无数据,暂无数据,塔楼,西南,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-07-15,私产,2006-06-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,学院路,35,0,470,77866元/平米,城华园,1室1厅1厨1卫,低楼层 (共27层),60.36㎡,暂无数据,50㎡,塔楼,东北,钢混结构,精装,三梯二十户,集中供暖,有,70年,null,null,null,2017-07-30,私产,2003-04-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,学院路,22,0,610,71613元/平米,静淑东里,2室1厅1厨1卫,低楼层 (共14层),85.18㎡,暂无数据,64㎡,板塔结合,东 西,钢混结构,简装,一梯两户,集中供暖,有,70年,null,null,null,2017-07-30,商品房,2010-04-30,普通住宅,满五年,非共有,有抵押 50万元 中信银行 业主自还,已上传房本照片,0,null
海淀,学院路,99,15,610,80688元/平米,逸成东苑,2室1厅1厨1卫,顶层 (共17层),75.6㎡,平层,暂无数据,塔楼,南 北,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-06-25,商品房,2015-03-19,普通住宅,满两年,共有,有抵押 70万元 建设银行 业主自还,已上传房本照片,3,null
海淀,学院路,77,40,1200,92343元/平米,清枫华景园,3室1厅1厨2卫,中楼层 (共16层),129.95㎡,暂无数据,111.71㎡,板楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,70年,null,null,null,2017-05-16,商品房,2015-10-13,普通住宅,暂无数据,共有,无抵押,已上传房本照片,4,null
海淀,学院路,10,1,730,85771元/平米,清枫华景园,1室1厅1厨1卫,低楼层 (共18层),85.11㎡,暂无数据,68.44㎡,塔楼,东,钢混结构,精装,两梯六户,集中供暖,有,70年,null,null,null,2017-08-18,商品房,2013-04-03,普通住宅,满两年,非共有,无抵押,已上传房本照片,1,null
海淀,学院路,136,6,800,74419元/平米,林大北路6号院,3室2厅1厨1卫,顶层 (共6层),107.5㎡,平层,73㎡,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-05-27,商品房,2015-03-09,普通住宅,满两年,非共有,无抵押,已上传房本照片,1,null
海淀,学院路,51,11,1050,90486元/平米,清林苑,2室2厅1厨2卫,顶层 (共7层),116.04㎡,暂无数据,100.4㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,有,70年,null,null,null,2017-04-12,商品房,2015-08-19,普通住宅,满两年,非共有,无抵押,已上传房本照片,0,null
