城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
海淀,安宁庄,39,68,670,64182元/平米,清上园,2室1厅1厨1卫,中楼层 (共19层),104.39㎡,暂无数据,84.66㎡,板塔结合,东南,钢混结构,简装,两梯六户,集中供暖,有,70年,null,null,null,2017-06-03,商品房,2005-02-21,普通住宅,满五年,共有,无抵押,已上传房本照片,6,null
海淀,安宁庄,249,44,335,82249元/平米,安宁里,1室1厅1厨1卫,高楼层 (共6层),40.73㎡,暂无数据,27.61㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-18,商品房,2009-06-19,普通住宅,满五年,共有,无抵押,已上传房本照片,1,null
海淀,安宁庄,19,11,466,66363元/平米,安宁里南区,2室1厅1厨1卫,中楼层 (共7层),70.22㎡,暂无数据,暂无数据,板楼,南,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-27,商品房,2009-11-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
海淀,安宁庄,46,9,660,71144元/平米,上林溪,2室1厅1厨1卫,低楼层 (共21层),92.77㎡,暂无数据,75.9㎡,板楼,南,钢混结构,简装,两梯四户,集中供暖,有,70年,null,null,null,2017-08-30,商品房,2014-04-08,普通住宅,满两年,非共有,有抵押 92万元 北京银行 客户偿还,已上传房本照片,4,null
海淀,安宁庄,41,31,608,71496元/平米,安宁佳园,2室1厅1厨1卫,中楼层 (共18层),85.04㎡,暂无数据,68.36㎡,板塔结合,东南,钢混结构,精装,两梯七户,集中供暖,有,70年,null,null,null,2017-07-16,商品房,2010-11-03,普通住宅,满五年,共有,无抵押,已上传房本照片,4,null
海淀,安宁庄,67,32,680,65140元/平米,清上园,3室1厅1厨1卫,低楼层 (共19层),104.39㎡,暂无数据,84.66㎡,板塔结合,东南,钢混结构,精装,两梯六户,集中供暖,有,70年,null,null,null,2017-07-22,私产,2004-12-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
海淀,安宁庄,59,8,358,68543元/平米,二十中家属院,2室1厅1厨1卫,底层 (共6层),52.23㎡,暂无数据,39.18㎡,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-18,已购公房,2003-07-07,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
海淀,安宁庄,187,85,418,66056元/平米,安宁里南区,2室1厅1厨1卫,中楼层 (共7层),63.28㎡,暂无数据,57.39㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-15,私产,2007-01-08,普通住宅,满五年,非共有,暂无数据,已上传房本照片,0,null
海淀,安宁庄,124,50,515,75746元/平米,上林溪,1室1厅1厨1卫,低楼层 (共9层),67.99㎡,暂无数据,55.21㎡,板楼,西南,钢混结构,精装,一梯五户,集中供暖,有,70年,null,null,null,2017-05-01,商品房,2014-07-30,普通住宅,满两年,非共有,有抵押 72万元 中国建设银行 业主自还,已上传房本照片,3,null
海淀,安宁庄,37,17,490,61029元/平米,安宁里南区,2室1厅1厨1卫,高楼层 (共18层),80.29㎡,暂无数据,暂无数据,塔楼,东,钢混结构,简装,两梯十户,集中供暖,有,70年,null,null,null,2017-08-20,已购公房,2003-12-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
海淀,安宁庄,39,28,482,62974元/平米,安宁里南区,2室1厅1厨1卫,中楼层 (共18层),76.54㎡,暂无数据,62.64㎡,塔楼,东,钢混结构,精装,两梯十户,集中供暖,有,70年,null,null,null,2017-07-20,商品房,2012-08-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
海淀,安宁庄,43,63,760,73751元/平米,清上园,2室1厅1厨1卫,中楼层 (共6层),103.05㎡,暂无数据,90.2㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-11,私产,2006-04-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,9,null
海淀,安宁庄,22,20,710,65589元/平米,清上园,2室1厅1厨1卫,中楼层 (共11层),108.25㎡,暂无数据,91.42㎡,板塔结合,南 西,混合结构,简装,一梯三户,集中供暖,有,70年,null,null,null,2017-08-31,私产,2006-07-03,普通住宅,满五年,非共有,无抵押,已上传房本照片,12,null
海淀,安宁庄,44,15,435,51437元/平米,龙兴园南区,2室1厅1厨1卫,中楼层 (共7层),84.57㎡,暂无数据,76㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-18,私产,2004-07-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,9,null
海淀,安宁庄,94,56,550,64343元/平米,清上园,2室1厅1厨1卫,低楼层 (共19层),85.48㎡,暂无数据,69.32㎡,板塔结合,东南,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-05-21,商品房,2011-09-29,普通住宅,满五年,非共有,暂无数据,已上传房本照片,3,null
海淀,安宁庄,65,38,498,65960元/平米,毛纺住宅北小区,2室1厅1厨1卫,中楼层 (共14层),75.5㎡,暂无数据,70㎡,板楼,东 西,钢混结构,精装,两梯两户,集中供暖,有,70年,null,null,null,2017-07-03,商品房,2012-07-06,普通住宅,满五年,共有,有抵押 80万元 业主自还,已上传房本照片,8,null
海淀,安宁庄,159,138,630,71623元/平米,清上园,2室1厅1厨1卫,低楼层 (共11层),87.96㎡,暂无数据,72.72㎡,板塔结合,南 西 北,钢混结构,精装,一梯三户,集中供暖,有,70年,null,null,null,2017-05-08,商品房,2014-12-30,普通住宅,满两年,非共有,有抵押 150万元 北京农商银行 客户偿还,已上传房本照片,17,null
海淀,安宁庄,16,6,485,60406元/平米,安宁里南区,2室1厅1厨1卫,低楼层 (共18层),80.29㎡,暂无数据,62.02㎡,塔楼,西,钢混结构,精装,两梯十户,集中供暖,有,70年,null,null,null,2017-08-17,商品房,2011-01-28,普通住宅,满五年,非共有,有抵押 60万元 客户偿还,已上传房本照片,1,null
海淀,安宁庄,9,2,467,51952元/平米,天巢园,3室1厅1厨1卫,低楼层 (共22层),89.89㎡,暂无数据,71.59㎡,塔楼,南 北,钢混结构,精装,两梯六户,自供暖,有,70年,null,null,null,2017-08-31,限价商品房,2011-06-01,普通住宅,满五年,非共有,有抵押 40万元,已上传房本照片,1,null
海淀,安宁庄,27,5,410,77917元/平米,安宁佳园,1室1厅1厨1卫,中楼层 (共18层),52.62㎡,暂无数据,42.3㎡,板塔结合,东北,钢混结构,简装,两梯七户,集中供暖,有,70年,null,null,null,2017-09-02,商品房,2010-08-31,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
海淀,安宁庄,41,29,388,64026元/平米,安宁庄东路2号院,2室1厅1厨1卫,中楼层 (共6层),60.6㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,暂无数据,70年,null,null,null,2017-07-13,二类经济适用房,2010-10-13,普通住宅,满五年,非共有,无抵押,已上传房本照片,5,null
海淀,安宁庄,17,6,480,65164元/平米,清上园,2室1厅1厨1卫,低楼层 (共19层),73.66㎡,平层,59.74㎡,板塔结合,南 西 北,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-08-30,私产,2005-06-30,普通住宅,满五年,共有,无抵押,已上传房本照片,4,null
海淀,安宁庄,120,58,368,67647元/平米,丝绸厂宿舍,2室1厅1厨1卫,中楼层 (共6层),54.4㎡,暂无数据,37.8㎡,板楼,东南,混合结构,其他,一梯三户,集中供暖,无,70年,null,null,null,2017-06-21,私产,2003-08-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,安宁庄,91,48,435,68938元/平米,清上园,1室1厅1厨1卫,中楼层 (共19层),63.1㎡,暂无数据,51.17㎡,板塔结合,东,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-05-05,商品房,2004-10-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
海淀,安宁庄,13,11,365,69656元/平米,安宁里,1室1厅1厨1卫,中楼层 (共6层),52.4㎡,暂无数据,1㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-20,商品房,2015-08-28,普通住宅,满两年,非共有,有抵押 100万元 公积金管理中心 客户偿还,已上传房本照片,3,null
海淀,安宁庄,30,12,588,63465元/平米,安宁里南区,2室2厅1厨1卫,中楼层 (共18层),92.65㎡,平层,75.82㎡,塔楼,西南,钢混结构,简装,两梯十户,集中供暖,有,70年,null,null,null,2017-08-05,私产,2007-07-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,安宁庄,172,51,360,71856元/平米,丝绸厂宿舍,2室1厅1厨1卫,中楼层 (共6层),50.1㎡,平层,40㎡,板楼,东 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-05-27,商品房,2011-04-11,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
海淀,安宁庄,14,2,458,51963元/平米,金达园,2室1厅1厨2卫,高楼层 (共6层),88.14㎡,平层,82㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-12,商品房,2010-02-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
海淀,安宁庄,22,3,680,45903元/平米,龙兴园南区,5室2厅1厨2卫,高楼层 (共7层),148.14㎡,暂无数据,暂无数据,板楼,南 北,混合结构,其他,一梯两户,集中供暖,无,70年,null,null,null,2017-07-02,私产,2005-08-10,普通住宅,满五年,共有,有抵押 20万元,已上传房本照片,1,null
海淀,安宁庄,60,7,460,44466元/平米,金达园,2室1厅1厨1卫,低楼层 (共6层),103.45㎡,暂无数据,94㎡,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-16,商品房,2010-09-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
海淀,安宁庄,57,30,400,68143元/平米,动力厂宿舍,2室1厅1厨1卫,高楼层 (共6层),58.7㎡,暂无数据,40.4㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-05-10,已购公房,2000-05-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,安宁庄,46,6,520,68098元/平米,安宁里,3室1厅1厨1卫,顶层 (共6层),76.36㎡,暂无数据,56㎡,板楼,西北,混合结构,毛坯,一梯两户,集中供暖,无,70年,null,null,null,2017-05-03,私产,1999-09-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,安宁庄,22,0,580,66590元/平米,安宁里南区,2室2厅1厨1卫,中楼层 (共18层),87.1㎡,暂无数据,暂无数据,塔楼,东南,钢混结构,简装,两梯十户,集中供暖,有,70年,null,null,null,2017-08-22,已购公房,2006-09-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
