城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
海淀,定慧寺,52,36,670,107372元/平米,西三环北路105号院,2室1厅1厨1卫,底层 (共18层),62.4㎡,暂无数据,43.8㎡,塔楼,南,钢混结构,简装,两梯七户,集中供暖,有,70年,null,null,null,2017-09-02,已购公房,2003-04-07,普通住宅,满五年,非共有,无抵押,已上传房本照片,25,距离10号线西钓鱼台站770米
海淀,定慧寺,43,21,880,76615元/平米,恩济庄96号院,3室2厅1厨2卫,中楼层 (共6层),114.86㎡,暂无数据,暂无数据,板楼,东 西,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-19,商品房,2009-04-07,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
海淀,定慧寺,35,11,495,73551元/平米,八宝庄,2室1厅1厨1卫,高楼层 (共16层),67.3㎡,暂无数据,51.6㎡,塔楼,西北,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-08-25,央产房,2000-12-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,6,null
海淀,定慧寺,37,30,2250,105416元/平米,西钓鱼台嘉园,3室2厅1厨2卫,中楼层 (共22层),213.44㎡,暂无数据,169.95㎡,塔楼,南 北,钢混结构,简装,两梯四户,集中供暖,有,70年,null,null,null,2017-07-02,商品房,2009-11-16,普通住宅,满五年,非共有,有抵押 1200万元 兴业银行 客户偿还,已上传房本照片,6,null
海淀,定慧寺,336,55,475,87963元/平米,八里庄北里,2室1厅1厨1卫,中楼层 (共6层),54㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-02,已购公房,2000-08-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,9,null
海淀,定慧寺,58,60,350,68226元/平米,定慧西里,1室1厅1厨1卫,顶层 (共16层),51.3㎡,平层,暂无数据,塔楼,南,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-03-09,央产房,2007-07-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,11,null
海淀,定慧寺,41,15,435,78378元/平米,八宝庄,2室1厅1厨1卫,低楼层 (共6层),55.5㎡,暂无数据,37.9㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-11,已购公房,2000-10-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,10,null
海淀,定慧寺,112,17,335,81192元/平米,定慧西里,1室1厅1厨1卫,高楼层 (共6层),41.26㎡,暂无数据,40㎡,板楼,南,混合结构,精装,一梯十四户,集中供暖,无,70年,null,null,null,2017-08-26,商品房,2013-02-27,普通住宅,满两年,共有,有抵押 30万元 浦发 业主自还,已上传房本照片,4,null
海淀,定慧寺,281,94,684,91874元/平米,中塔园,3室1厅1厨1卫,中楼层 (共6层),74.45㎡,平层,74㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-05-13,已购公房,2005-09-28,普通住宅,满五年,非共有,无抵押,已上传房本照片,4,null
海淀,定慧寺,199,69,587,79864元/平米,定慧北里,2室1厅1厨1卫,中楼层 (共6层),73.5㎡,暂无数据,56㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-07-12,已购公房,2004-08-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
