城区,区域,关注,带看,挂牌价,单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,用水类型,用电类型,燃气价格,挂牌时间,交易属性,上次交易,房屋用途,房屋年限,产权所属,抵押信心,房本备件,近七天带看,地铁
海淀,小西天,128,85,680,99430元/平米,今典花园,2室1厅1厨1卫,低楼层 (共26层),68.39㎡,暂无数据,55㎡,塔楼,南,钢混结构,简装,两梯十二户,集中供暖,有,70年,null,null,null,2017-07-21,已购公房,2002-11-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,11,距离2号线积水潭站803米
海淀,小西天,33,33,960,96970元/平米,今典花园,2室1厅1厨1卫,中楼层 (共25层),99㎡,暂无数据,74.4㎡,塔楼,东,钢混结构,简装,三梯十三户,集中供暖,有,70年,null,null,null,2017-05-13,私产,2006-06-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,9,null
海淀,小西天,47,25,605,100332元/平米,交科院,2室1厅1厨1卫,高楼层 (共16层),60.3㎡,暂无数据,暂无数据,塔楼,西南,钢混结构,精装,两梯六户,集中供暖,有,70年,null,null,null,2017-08-24,商品房,2012-08-23,普通住宅,满五年,共有,有抵押 80万元 客户偿还,已上传房本照片,9,null
海淀,小西天,56,104,1300,84197元/平米,今典花园,4室1厅1厨2卫,中楼层 (共23层),154.4㎡,暂无数据,暂无数据,塔楼,西北,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-05-16,商品房,2005-11-11,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
海淀,小西天,77,15,455,91549元/平米,学院南路乙12号,2室1厅1厨1卫,低楼层 (共6层),49.7㎡,暂无数据,38㎡,板楼,南,混合结构,精装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-07,私产,2008-06-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
海淀,小西天,40,22,468,84936元/平米,学院南路乙12号,2室1厅1厨1卫,中楼层 (共6层),55.1㎡,暂无数据,40㎡,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-09-04,已购公房,2001-05-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,22,null
海淀,小西天,229,66,740,90134元/平米,北京邮电大学,3室1厅1厨1卫,高楼层 (共6层),82.1㎡,暂无数据,暂无数据,板塔结合,南 北,混合结构,精装,一梯三户,集中供暖,无,50年,null,null,null,2017-04-01,商品房,2017-01-23,普通住宅,暂无数据,共有,无抵押,已上传房本照片,6,null
海淀,小西天,47,54,570,98787元/平米,北京邮电大学,2室1厅1厨1卫,中楼层 (共16层),57.7㎡,暂无数据,41㎡,板塔结合,西北,钢混结构,精装,两梯六户,集中供暖,有,50年,null,null,null,2017-07-26,已购公房,1998-04-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,14,null
海淀,小西天,23,53,428,76840元/平米,志强北园,2室1厅1厨1卫,中楼层 (共6层),55.7㎡,暂无数据,39.5㎡,板楼,西北,混合结构,简装,一梯五户,集中供暖,无,70年,null,null,null,2017-08-17,私产,1993-10-07,普通住宅,满五年,非共有,无抵押,已上传房本照片,24,null
海淀,小西天,5,11,680,91570元/平米,北三环中路46号院,2室1厅1厨1卫,中楼层 (共13层),74.26㎡,暂无数据,52.13㎡,板楼,东,钢混结构,精装,一梯三户,集中供暖,有,70年,null,null,null,2017-08-13,已购公房,2001-12-25,普通住宅,满五年,非共有,无抵押,已上传房本照片,3,null
海淀,小西天,154,54,1360,98722元/平米,今典花园,4室2厅1厨2卫,中楼层 (共23层),137.76㎡,暂无数据,137.76㎡,塔楼,东南 北,钢混结构,精装,两梯八户,集中供暖,有,70年,null,null,null,2017-03-30,私产,2003-03-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,小西天,392,116,500,87873元/平米,学院南路丙10号院,3室1厅1厨1卫,顶层 (共5层),56.9㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2016-12-23,已购公房,2002-01-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,小西天,82,267,1252,98988元/平米,今典花园,3室2厅1厨2卫,低楼层 (共25层),126.48㎡,暂无数据,100㎡,塔楼,西南,钢混结构,简装,三梯十二户,集中供暖,有,70年,null,null,null,2017-04-23,商品房,2003-11-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,小西天,193,273,1096,98979元/平米,今典花园,3室1厅1厨1卫,低楼层 (共25层),110.73㎡,暂无数据,100㎡,塔楼,东南,钢混结构,简装,三梯十二户,集中供暖,有,70年,null,null,null,2017-04-23,商品房,2003-11-21,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,小西天,50,68,530,87171元/平米,学院南路乙10号院,2室1厅1厨1卫,高楼层 (共16层),60.8㎡,暂无数据,42.6㎡,板塔结合,东,钢混结构,简装,两梯八户,集中供暖,有,70年,null,null,null,2017-07-14,已购公房,1993-02-11,普通住宅,满五年,非共有,无抵押,已上传房本照片,2,null
海淀,小西天,17,20,538,93565元/平米,学院南路8号,3室1厅1厨1卫,高楼层 (共6层),57.5㎡,平层,43㎡,板楼,南 北,混合结构,其他,一梯三户,集中供暖,无,70年,null,null,null,2017-07-22,央产房,1997-04-07,普通住宅,满五年,非共有,无抵押,已上传房本照片,7,null
海淀,小西天,9,4,550,98868元/平米,今典花园,1室1厅1厨1卫,中楼层 (共25层),55.63㎡,暂无数据,暂无数据,塔楼,西,钢混结构,精装,三梯十二户,集中供暖,有,70年,null,null,null,2017-09-07,私产,2005-05-31,普通住宅,满五年,非共有,有抵押 10万元 中国建设银行 业主自还,已上传房本照片,4,null
海淀,小西天,76,46,576,89860元/平米,新外大街甲25号院,2室1厅1厨1卫,中楼层 (共6层),64.1㎡,暂无数据,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-28,已购公房,1999-04-21,普通住宅,满五年,非共有,暂无数据,已上传房本照片,0,null
海淀,小西天,172,20,750,79787元/平米,学院南路32号院,3室1厅1厨1卫,底层 (共5层),94㎡,暂无数据,暂无数据,板楼,东 西,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-05-05,已购公房,2000-04-11,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,小西天,212,67,420,76503元/平米,志强北园,2室1厅1厨1卫,中楼层 (共6层),54.9㎡,平层,暂无数据,板楼,西北,混合结构,精装,一梯五户,集中供暖,无,70年,null,null,null,2017-05-15,商品房,2011-01-30,普通住宅,满五年,非共有,暂无数据,已上传房本照片,3,null
海淀,小西天,6,0,500,87873元/平米,红联北村,2室1厅1厨1卫,顶层 (共6层),56.9㎡,暂无数据,暂无数据,板楼,南 北,混合结构,其他,一梯两户,集中供暖,无,70年,null,null,null,2017-09-06,已购公房,2000-02-10,普通住宅,满五年,非共有,暂无数据,已上传房本照片,0,null
海淀,小西天,3,2,460,93610元/平米,学院南路32号院,2室1厅1厨1卫,低楼层 (共6层),49.14㎡,暂无数据,暂无数据,板楼,东,混合结构,简装,一梯三户,集中供暖,无,70年,null,null,null,2017-08-24,已购公房,2008-07-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,1,null
海淀,小西天,45,60,560,83958元/平米,红联北村,2室1厅1厨1卫,高楼层 (共14层),66.7㎡,平层,暂无数据,板塔结合,东 西,钢混结构,其他,两梯十一户,集中供暖,有,70年,null,null,null,2017-03-14,已购公房,2015-12-03,普通住宅,暂无数据,非共有,暂无数据,已上传房本照片,1,null
海淀,小西天,204,13,655,86640元/平米,志强北园,2室1厅1厨1卫,顶层 (共6层),75.6㎡,暂无数据,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,null,null,null,2017-06-17,央产房,2001-07-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,0,null
海淀,小西天,86,76,609,89956元/平米,交科院,3室0厅1厨1卫,顶层 (共16层),67.7㎡,暂无数据,52.3㎡,塔楼,东北,钢混结构,简装,两梯六户,集中供暖,有,70年,null,null,null,2017-06-22,商品房,2012-09-19,普通住宅,满两年,非共有,有抵押 150万元 业主自还,已上传房本照片,6,null
海淀,小西天,52,21,330,81481元/平米,志强北园,1室1厅1厨1卫,高楼层 (共6层),40.5㎡,暂无数据,27.5㎡,板楼,东,混合结构,简装,一梯两户,集中供暖,无,70年,null,null,null,2017-08-03,商品房,2016-03-24,普通住宅,暂无数据,共有,有抵押 170万元 客户偿还,已上传房本照片,6,null
